Sample,Holobiont,Host,Sym
AA2,803054,798516,4538
AA3,501486,500026,1460
AA4,461190,451386,9804
AB1,840389,808200,32189
AB2,431065,412061,19004
AB3,166605,159105,7500
AC1,1042291,1040372,1919
AC3,1346544,1341710,4834
AD4,798837,798349,488
AD5,196826,190888,5938
AD6,906367,901485,4882
AE2,635600,635319,281
AE5,422829,418223,4606
AE6,641046,637949,3097
AF2,1819,1777,42
AF3,431599,429961,1638
AF5,839721,820051,19670
AG1,12,12,0
AG2,889190,854987,34203
AG3,1091862,1078685,13177
AH1,561560,559144,2416
AH2,268667,267140,1527
AH3,495050,488689,6361
AI1,820281,808872,11409
AI2,236099,227487,8612
AI5,392419,385682,6737
AJ2,546622,536851,9771
AJ3,421185,400548,20637
AJ4,479366,473939,5427
AK2,22,22,0
AK3,430878,430466,412
AK5,708327,705404,2923
AL1,533857,518472,15385
AL2,330314,319939,10375
AL3,4457,4254,203
AM1,282586,276521,6065
AM2,639763,629393,10370
AM3,699360,696755,2605
AN1,699902,683114,16788
AN2,851402,818400,33002
AN3,372732,356396,16336
AP1,751645,750027,1618
AP2,390979,389417,1562
AP4,464986,462555,2431
AS1,10,10,0
AS3,246102,213229,32873
AS5,388756,380554,8202
