All	Host	Sym
803054	798516	4538 AA2.fastq_relative_Counts.tsv
501486	500026	1460 AA3.fastq_relative_Counts.tsv
461190	451386	9804 AA4.fastq_relative_Counts.tsv
840389	808200	32189 AB1.fastq_relative_Counts.tsv
431065	412061	19004 AB2.fastq_relative_Counts.tsv
166605	159105	7500 AB3.fastq_relative_Counts.tsv
1042291	1040372	1919 AC1.fastq_relative_Counts.tsv
1346544	1341710	4834 AC3.fastq_relative_Counts.tsv
798837	798349	488 AD4.fastq_relative_Counts.tsv
196826	190888	5938 AD5.fastq_relative_Counts.tsv
906367	901485	4882 AD6.fastq_relative_Counts.tsv
635600	635319	281 AE2.fastq_relative_Counts.tsv
422829	418223	4606 AE5.fastq_relative_Counts.tsv
641046	637949	3097 AE6.fastq_relative_Counts.tsv
1819	1777	42 AF2.fastq_relative_Counts.tsv
431599	429961	1638 AF3.fastq_relative_Counts.tsv
839721	820051	19670 AF5.fastq_relative_Counts.tsv
12	12	0 AG1.fastq_relative_Counts.tsv
889190	854987	34203 AG2.fastq_relative_Counts.tsv
1091862	1078685	13177 AG3.fastq_relative_Counts.tsv
561560	559144	2416 AH1.fastq_relative_Counts.tsv
268667	267140	1527 AH2.fastq_relative_Counts.tsv
495050	488689	6361 AH3.fastq_relative_Counts.tsv
820281	808872	11409 AI1.fastq_relative_Counts.tsv
236099	227487	8612 AI2.fastq_relative_Counts.tsv
392419	385682	6737 AI5.fastq_relative_Counts.tsv
546622	536851	9771 AJ2.fastq_relative_Counts.tsv
421185	400548	20637 AJ3.fastq_relative_Counts.tsv
479366	473939	5427 AJ4.fastq_relative_Counts.tsv
22	22	0 AK2.fastq_relative_Counts.tsv
430878	430466	412 AK3.fastq_relative_Counts.tsv
708327	705404	2923 AK5.fastq_relative_Counts.tsv
AK5 AK5.test.tsv		
533857	518472	15385 AL1.fastq_relative_Counts.tsv
330314	319939	10375 AL2.fastq_relative_Counts.tsv
4457	4254	203 AL3.fastq_relative_Counts.tsv
282586	276521	6065 AM1.fastq_relative_Counts.tsv
639763	629393	10370 AM2.fastq_relative_Counts.tsv
699360	696755	2605 AM3.fastq_relative_Counts.tsv
699902	683114	16788 AN1.fastq_relative_Counts.tsv
851402	818400	33002 AN2.fastq_relative_Counts.tsv
372732	356396	16336 AN3.fastq_relative_Counts.tsv
751645	750027	1618 AP1.fastq_relative_Counts.tsv
390979	389417	1562 AP2.fastq_relative_Counts.tsv
464986	462555	2431 AP4.fastq_relative_Counts.tsv
10	10	0 AS1.fastq_relative_Counts.tsv
246102	213229	32873 AS3.fastq_relative_Counts.tsv
388756	380554	8202 AS5.fastq_relative_Counts.tsv
