"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
-333 0.432456928921071 5 5 "GO:0000014" "single-stranded DNA endodeoxyribonuclease activity" 0.652992887214433
33 0.909099963155679 4 11 "GO:0000030" "mannosyltransferase activity" 0.969270608199076
-470 0.0414698105765085 5 17 "GO:0000049" "tRNA binding" 0.142125633852169
-113 0.736133455669413 3 8 "GO:0000062;GO:0120227" "fatty-acyl-CoA binding" 0.867967854812735
225 0.502837896202428 5 8 "GO:0000099" "sulfur amino acid transmembrane transporter activity" 0.713798622770113
-123 0.714543863273104 2 8 "GO:0000149" "SNARE binding" 0.859540588774951
51 0.391908320595738 3 281 "GO:0000166;GO:1901265" "nucleotide binding" 0.61656914131941
-807 0.00215869482492378 4 13 "GO:0000175" "3'-5'-exoribonuclease activity" 0.0195474013429313
-436 0.0976693654958418 2 13 "GO:0000217" "DNA secondary structure binding" 0.254785657842681
-2 0.988811012397912 2 44 "GO:0000287" "magnesium ion binding" 0.998114586922232
271 0.522541665657784 5 5 "GO:0000339" "RNA cap binding" 0.729196561680636
-788 0.0416211370390293 3 6 "GO:0000403" "Y-form DNA binding" 0.142125633852169
343 0.00830968764584194 2 54 "GO:0000976" "transcription regulatory region sequence-specific DNA binding" 0.0477323918261153
207 0.149380163244041 6 44 "GO:0000977" "RNA polymerase II transcription regulatory region sequence-specific DNA binding" 0.334412993848442
-67 0.73547724106359 2 23 "GO:0000978" "RNA polymerase II cis-regulatory region sequence-specific DNA binding" 0.867967854812735
230 0.0329855990923467 2 79 "GO:0000981" "DNA-binding transcription factor activity, RNA polymerase II-specific" 0.121001628353608
-23 0.90063854180051 2 26 "GO:0000987" "cis-regulatory region sequence-specific DNA binding" 0.965807756113137
0 0.996121578454711 -1 133 "GO:0000988" "obsolete transcription factor activity, protein binding" 0.998114586922232
-14 0.86971885840631 -1 130 "GO:0000989" "obsolete transcription factor activity, transcription factor binding" 0.949133540617195
442 0.297369710888584 3 5 "GO:0001046" "core promoter sequence-specific DNA binding" 0.519695650397266
181 0.0825875691270256 2 85 "GO:0001067" "regulatory region nucleic acid binding" 0.230381922766663
210 0.205739740967085 -1 33 "GO:0001076" "obsolete transcription factor activity, RNA polymerase II transcription factor binding" 0.418640266936664
118 0.707899280572601 2 9 "GO:0001085" "RNA polymerase II transcription factor binding" 0.858516148779537
514 0.0603393529489045 -1 12 "GO:0001190" "obsolete transcriptional activator activity, RNA polymerase II transcription factor binding" 0.188655951625056
391 0.243892603713437 -1 8 "GO:0001191" "obsolete transcriptional repressor activity, RNA polymerase II transcription factor binding" 0.462561810559077
-442 0.140924616763345 2 10 "GO:0001227;GO:0001217" "DNA-binding transcription repressor activity, RNA polymerase II-specific" 0.324301680191424
315 0.128463569981474 3 21 "GO:0001228;GO:0001216" "DNA-binding transcription activator activity, RNA polymerase II-specific" 0.307069372117007
-111 0.756829242230717 2 7 "GO:0001530" "lipopolysaccharide binding" 0.879013273499939
32 0.94047621197328 2 5 "GO:0001540" "amyloid-beta binding" 0.987407261039097
581 0.066196638308673 2 9 "GO:0001653;GO:0008528" "peptide receptor activity" 0.196994815207738
50 0.771645702182945 2 31 "GO:0001664" "G protein-coupled receptor binding" 0.893421039558691
535 0.207342750291168 2 5 "GO:0001846" "opsonin binding" 0.418640266936664
335 0.386842983431793 2 6 "GO:0001848" "complement binding" 0.6117529360362
303 0.398090037838358 2 7 "GO:0001871;GO:0030247" "polysaccharide binding" 0.623646338347195
