"","Estimate","Std. Error","z value","Pr(>|z|)"
"1|2",-4.73361694901744,0.541964771231217,-8.73417830879259,2.45433692979837e-18
"2|3",-3.74790062071509,0.521420316227436,-7.18786841263068,6.58106401432679e-13
"3|4",-2.68534783496353,0.503645297948372,-5.33182349940018,9.72314201275719e-08
"4|5",-1.05955262806619,0.488072498450963,-2.17089188886688,0.0299393456160565
"TreatmentCold",4.88574396734807,0.834617421100681,5.85387249753884,4.802568625514e-09
"TreatmentHeat",1.95974101071422,0.78292936009609,2.50308790370781,0.0123114961786963
"Sym.StatusBrown",-1.03541097224474,1.2275075284474,-0.843506820324239,0.398945052944821
"Day",0.0587679463121267,0.052645007899632,1.11630615431131,0.264291108175713
"TreatmentCold:Sym.StatusBrown",2.65333022219522,1.53064459752957,1.73347243800268,0.0830117322310623
"TreatmentHeat:Sym.StatusBrown",5.4601958317106,1.8145533837004,3.00911281021432,0.00262011808453309
"TreatmentCold:Day",-0.770673312643396,0.089361131175541,-8.6242564580957,6.45104077732971e-18
"TreatmentHeat:Day",-0.187600680106006,0.0848138727343092,-2.21191031676729,0.0269728622709685
"Sym.StatusBrown:Day",0.782470245110498,0.354435836993465,2.20764991415054,0.0272686867938902
"TreatmentCold:Sym.StatusBrown:Day",-0.903774290325876,0.365937089193125,-2.46975318167026,0.0135206303734293
"TreatmentHeat:Sym.StatusBrown:Day",-1.1791013181292,0.37476690856426,-3.1462258037839,0.00165392261191975
