"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
1733 0.0391602593537421 2 34 "GO:0000002" "mitochondrial genome maintenance" 0.20198674078428
-695 0.638001293538715 1 11 "GO:0000003" "reproduction" 0.830120946193353
-2393 0.10498347652976 4 11 "GO:0000012" "single strand break repair" 0.339934740590432
-2100 0.00110665449440913 2 58 "GO:0000018" "regulation of DNA recombination" 0.0223932009872959
-601 0.683968474890101 2 11 "GO:0000019" "regulation of mitotic recombination" 0.857223591478197
3833 0.000896319546336618 7 18 "GO:0000027" "ribosomal large subunit assembly" 0.0198321170649714
-1779 0.123347048513333 2 18 "GO:0000038" "very long-chain fatty acid metabolic process" 0.371295788118647
48 0.923223796426806 2 96 "GO:0000041" "transition metal ion transport" 0.970358418663912
2666 0.00398019500895905 6 28 "GO:0000045" "autophagosome assembly" 0.0522056048959033
4909 0.000514244861004629 4 12 "GO:0000054;GO:0033750" "ribosome localization" 0.0133788429497633
1033 0.398645377464286 -1 16 "GO:0000060" "obsolete protein import into nucleus, translocation" 0.662353805069874
1363 0.265665315803898 5 16 "GO:0000070" "mitotic sister chromatid segregation" 0.54642234648328
-368 0.400773083151787 3 126 "GO:0000075" "cell cycle checkpoint signaling" 0.663450906091341
-3633 0.0055057598811906 2 14 "GO:0000076" "DNA replication checkpoint signaling" 0.063896502542739
-451 0.405427409242735 5 82 "GO:0000077" "DNA damage checkpoint signaling" 0.666580982227018
109 0.898497212106036 2 33 "GO:0000079" "regulation of cyclin-dependent protein serine/threonine kinase activity" 0.957968086001148
-1994 8.06652815415406e-07 3 148 "GO:0000082;GO:0044843" "cell cycle G1/S phase transition" 0.000141463002999702
-1251 0.0382285213367638 2 66 "GO:0000086" "G2/M transition of mitotic cell cycle" 0.199133166699204
-40 0.946328784054276 2 68 "GO:0000096" "sulfur amino acid metabolic process" 0.978782610855613
-345 0.648084929558733 2 42 "GO:0000097" "sulfur amino acid biosynthetic process" 0.836381068809104
779 0.597570539121085 2 11 "GO:0000098" "sulfur amino acid catabolic process" 0.8062816567502
-1277 0.282135294420606 2 17 "GO:0000101" "sulfur amino acid transport" 0.560600343718661
865 0.540384724191051 2 12 "GO:0000105" "histidine biosynthetic process" 0.767923670181461
283 0.255471988581056 2 395 "GO:0000122" "negative regulation of transcription by RNA polymerase II" 0.536910726112428
75 0.951488112711952 2 16 "GO:0000132" "establishment of mitotic spindle orientation" 0.980893483501296
2327 0.0258714346066714 3 22 "GO:0000154" "rRNA modification" 0.157063907070725
-194 0.600251933375158 2 177 "GO:0000165" "MAPK cascade" 0.808359756692655
1321 0.0771462217172716 2 43 "GO:0000184" "nuclear-transcribed mRNA catabolic process, nonsense-mediated decay" 0.291496035834248
1627 0.270509852417266 -1 11 "GO:0000185" "obsolete activation of MAPKKK activity" 0.549963139199551
-669 0.485875505291585 -1 26 "GO:0000186" "obsolete activation of MAPKK activity" 0.726836098259007
326 0.51281969504546 -1 97 "GO:0000187" "obsolete activation of MAPK activity" 0.748982497236352
296 0.269672422366011 3 341 "GO:0000209" "protein polyubiquitination" 0.549203836517446
-3286 0.0337829105946587 2 10 "GO:0000212" "meiotic spindle organization" 0.184648717516603
-935 0.00394347925111852 4 231 "GO:0000226" "microtubule cytoskeleton organization" 0.0520121845516607
5009 0.000225725291237201 8 13 "GO:0000244" "spliceosomal tri-snRNP complex assembly" 0.00780152740151932
3838 0.00240100868136252 7 15 "GO:0000245" "spliceosomal complex assembly" 0.0378959203541718
125 0.929406898776995 2 12 "GO:0000266" "mitochondrial fission" 0.972220765448793
-591 0.398951014162467 4 49 "GO:0000271" "polysaccharide biosynthetic process" 0.662353805069874
-3359 1.26446410106722e-06 5 50 "GO:0000272" "polysaccharide catabolic process" 0.000194741216400633
-1702 0.00106961139438735 3 89 "GO:0000278" "mitotic cell cycle" 0.0218302153121729
-1502 0.00245630547461016 2 98 "GO:0000281" "mitotic cytokinesis" 0.0383689514759186
891 0.56504609420033 2 10 "GO:0000288" "nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay" 0.782765727337204
-611 0.617638612013136 2 16 "GO:0000289" "nuclear-transcribed mRNA poly(A) tail shortening" 0.819422479092799
1909 0.074129702372586 2 21 "GO:0000291" "nuclear-transcribed mRNA catabolic process, exonucleolytic" 0.283888601103907
-120 0.798320550507323 4 110 "GO:0000302" "response to reactive oxygen species" 0.914266649864353
3427 3.77771981049443e-15 8 127 "GO:0000375" "RNA splicing, via transesterification reactions" 3.57750066053822e-12
3303 0.000955019804757229 2 24 "GO:0000381" "regulation of alternative mRNA splicing, via spliceosome" 0.0206484875594771
4659 2.89373004794002e-09 3 39 "GO:0000387" "spliceosomal snRNP assembly" 9.134541184664e-07
3395 1.1122933465489e-14 3 125 "GO:0000398;GO:0000377" "mRNA splicing, via spliceosome" 8.77784832651507e-12
2311 0.0125304435041364 2 28 "GO:0000422;GO:0061726" "autophagy of mitochondrion" 0.105384813485055
1875 0.204063394506587 4 11 "GO:0000447" "endonucleolytic cleavage in ITS1 to separate SSU-rRNA from 5.8S rRNA and LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)" 0.474830988725002
2771 0.0413334734210993 4 13 "GO:0000460" "maturation of 5.8S rRNA" 0.20763548172715
2239 0.0155725612332027 4 28 "GO:0000462" "maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)" 0.118464561750148
1942 0.0432385648229305 7 26 "GO:0000469" "cleavage involved in rRNA processing" 0.212578466999574
3229 0.00515621515281279 2 18 "GO:0000470" "maturation of LSU-rRNA" 0.0612304328475048
1228 0.301222894391578 2 17 "GO:0000478" "endonucleolytic cleavage involved in rRNA processing" 0.578894434211673
956 0.434813154623952 2 16 "GO:0000479" "endonucleolytic cleavage of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)" 0.691056504127223
1390 0.193394894007698 2 21 "GO:0000578" "embryonic axis specification" 0.463559779459998
-1823 0.179415065965503 2 13 "GO:0000712" "resolution of meiotic recombination intermediates" 0.447121230182451
-2931 0.0111172581135098 6 18 "GO:0000722" "telomere maintenance via recombination" 0.0987621335224557
-551 0.243851534653309 3 108 "GO:0000723" "telomere maintenance" 0.523417291117245
-1221 0.0116060055513732 2 103 "GO:0000724;GO:0000725" "recombinational repair" 0.101391948866701
-837 0.508216297532223 2 15 "GO:0000729" "DNA double-strand break processing" 0.744382615236191
-1012 0.170578761910621 3 44 "GO:0000731" "DNA synthesis involved in DNA repair" 0.434709600455754
22 0.986336144326858 2 14 "GO:0000732" "strand displacement" 0.995698423676229
-2404 0.0213316579134244 2 22 "GO:0000737" "DNA catabolic process, endonucleolytic" 0.142461777461304
-1009 0.251428460920121 2 31 "GO:0000768;GO:0140253" "syncytium formation by plasma membrane fusion" 0.531479358239631
1944 0.0922228143084796 2 18 "GO:0000819" "sister chromatid segregation" 0.318044447014312
451 0.152896813430707 2 244 "GO:0000902" "cell morphogenesis" 0.411036973556078
635 0.0851912040376831 4 178 "GO:0000904" "cell morphogenesis involved in differentiation" 0.306147781960177
-1159 0.00575909569907865 2 137 "GO:0000910" "cytokinesis" 0.0655744925091666
-2042 0.118723476528984 5 14 "GO:0000915;GO:0000912;GO:0044837" "actomyosin contractile ring assembly" 0.36338439648658
1160 0.017548995011705 7 101 "GO:0000956" "nuclear-transcribed mRNA catabolic process" 0.126548600528267
1063 0.416622943455387 3 14 "GO:0000959" "mitochondrial RNA metabolic process" 0.675354206525593
1718 0.126178752617259 2 19 "GO:0000966" "RNA 5'-end processing" 0.375115292960671
