"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
270 0.748114680008902 6 34 "GO:0000002" "mitochondrial genome maintenance" 0.903423363897514
25 0.986354325687841 1 11 "GO:0000003" "reproduction" 0.996059295043938
1486 0.314176417460135 2 11 "GO:0000012" "single strand break repair" 0.618100384268934
-11 0.986382689432107 2 58 "GO:0000018" "regulation of DNA recombination" 0.996059295043938
-2065 0.16182940276771 4 11 "GO:0000019" "regulation of mitotic recombination" 0.434389014798813
-2670 0.0207116325689269 4 18 "GO:0000027" "ribosomal large subunit assembly" 0.119889462364143
-3302 0.00422521583208614 6 18 "GO:0000038" "very long-chain fatty acid metabolic process" 0.0409967150920653
4 0.994092479015729 2 96 "GO:0000041" "transition metal ion transport" 0.998187622015433
971 0.294037185531708 6 28 "GO:0000045" "autophagosome assembly" 0.596026243986267
-2703 0.0557955333523808 2 12 "GO:0000054;GO:0033750" "ribosomal subunit export from nucleus" 0.229333203492642
-558 0.648455226582274 -1 16 "GO:0000060" "obsolete protein import into nucleus, translocation" 0.849124861135804
937 0.443752858310681 4 16 "GO:0000070" "mitotic sister chromatid segregation" 0.720350190308441
647 0.139408459667999 2 126 "GO:0000075" "cell cycle checkpoint signaling" 0.402081446386728
450 0.730790504369347 7 14 "GO:0000076" "DNA replication checkpoint signaling" 0.893893839373991
926 0.0872241737902053 4 82 "GO:0000077" "DNA damage checkpoint signaling" 0.30279066194767
1676 0.0493210687435104 2 33 "GO:0000079" "regulation of cyclin-dependent protein serine/threonine kinase activity" 0.210030297054825
1245 0.00206737117093458 3 148 "GO:0000082;GO:0044843" "cell cycle G1/S phase transition" 0.0245954836542091
1161 0.0543882478568319 2 66 "GO:0000086" "G2/M transition of mitotic cell cycle" 0.22532494432592
-876 0.140573904913696 2 68 "GO:0000096" "sulfur amino acid metabolic process" 0.404237641626388
-229 0.761542106630198 3 42 "GO:0000097" "sulfur amino acid biosynthetic process" 0.907065764771747
-1644 0.265259099543799 2 11 "GO:0000098" "sulfur amino acid catabolic process" 0.565054664630608
-1226 0.301867515071419 2 17 "GO:0000101" "sulfur amino acid transport" 0.606018298797823
-2186 0.121970440523029 2 12 "GO:0000105" "histidine biosynthetic process" 0.372119868477154
938 0.000166135070764391 4 395 "GO:0000122" "negative regulation of transcription by RNA polymerase II" 0.0038751209855635
1548 0.206074777041721 2 16 "GO:0000132" "establishment of mitotic spindle orientation" 0.497109146657544
-3359 0.00129419518785639 3 22 "GO:0000154" "rRNA modification" 0.0185136381102719
635 0.0857430987179571 2 177 "GO:0000165" "MAPK cascade" 0.299626252715518
-974 0.192498360692224 2 43 "GO:0000184" "nuclear-transcribed mRNA catabolic process, nonsense-mediated decay" 0.478557643542419
-351 0.812051720511178 -1 11 "GO:0000185" "obsolete activation of MAPKKK activity" 0.931658706163949
108 0.910141722097539 -1 26 "GO:0000186" "obsolete activation of MAPKK activity" 0.967127705146285
-374 0.452772088999064 -1 97 "GO:0000187" "obsolete activation of MAPK activity" 0.72995432121572
554 0.0383556535900561 2 341 "GO:0000209" "protein polyubiquitination" 0.180172638639797
3039 0.0496350693626296 6 10 "GO:0000212" "meiotic spindle organization" 0.210815494156415
933 0.00400063041845278 2 231 "GO:0000226" "microtubule cytoskeleton organization" 0.0397197410050671
260 0.847915258939241 4 13 "GO:0000244" "spliceosomal tri-snRNP complex assembly" 0.944246718897992
-415 0.742605204853194 3 15 "GO:0000245" "spliceosomal complex assembly" 0.900906595075672
37 0.978979505060928 4 12 "GO:0000266" "mitochondrial fission" 0.993669444043621
29 0.967282889451724 3 49 "GO:0000271" "polysaccharide biosynthetic process" 0.988990898621698
-3084 8.59234631549912e-06 3 50 "GO:0000272" "polysaccharide catabolic process" 0.000341888737847801
431 0.4072630146244 3 89 "GO:0000278" "mitotic cell cycle" 0.698321013402223
426 0.389739895401594 2 98 "GO:0000281" "mitotic cytokinesis" 0.682847453074069
1670 0.280706779991082 2 10 "GO:0000288" "nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay" 0.581428960305238
848 0.488221366610885 2 16 "GO:0000289" "nuclear-transcribed mRNA poly(A) tail shortening" 0.759173085842188
-1139 0.286266693185496 3 21 "GO:0000291" "nuclear-transcribed mRNA catabolic process, exonucleolytic" 0.587802598540036
2 0.997364205391825 3 110 "GO:0000302" "response to reactive oxygen species" 0.998544904409366
792 0.0693293418557021 4 127 "GO:0000375" "RNA splicing, via transesterification reactions" 0.260742203087172
545 0.585666717721442 3 24 "GO:0000381" "regulation of alternative mRNA splicing, via spliceosome" 0.818125708680698
-109 0.889360929104539 3 39 "GO:0000387" "spliceosomal snRNP assembly" 0.958539732196839
862 0.0496429305141295 9 125 "GO:0000398;GO:0000377" "RNA splicing, via transesterification reactions with bulged adenosine as nucleophile" 0.210815494156415
1672 0.0708589109609639 3 28 "GO:0000422;GO:0061726" "mitochondrion disassembly" 0.264886570384309
-1052 0.475997667268128 10 11 "GO:0000447" "endonucleolytic cleavage in ITS1 to separate SSU-rRNA from 5.8S rRNA and LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)" 0.749240046533264
182 0.893354268339733 2 13 "GO:0000460" "maturation of 5.8S rRNA" 0.960279786739758
-711 0.442169982305041 4 28 "GO:0000462" "maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)" 0.719970724282796
-2185 0.0229286198661142 3 26 "GO:0000469" "cleavage involved in rRNA processing" 0.128175728949187
-2745 0.0173708102115489 9 18 "GO:0000470" "maturation of LSU-rRNA" 0.106559467169883
-1402 0.237692379558229 2 17 "GO:0000478" "endonucleolytic cleavage involved in rRNA processing" 0.534504033875281
-1537 0.209162533295076 3 16 "GO:0000479" "endonucleolytic cleavage of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)" 0.500194239975851
1814 0.0896663667968099 2 21 "GO:0000578" "embryonic axis specification" 0.308598416371135
-201 0.882156957279424 2 13 "GO:0000712" "resolution of meiotic recombination intermediates" 0.953900564302248
131 0.90973837589591 2 18 "GO:0000722" "telomere maintenance via recombination" 0.967122368425857
731 0.121639686158515 2 108 "GO:0000723" "telomere maintenance" 0.371589621910044
-252 0.602060488626679 2 103 "GO:0000724;GO:0000725" "recombinational repair" 0.828703198203989
-622 0.62254141338768 2 15 "GO:0000729" "DNA double-strand break processing" 0.839695707831475
-932 0.207267591480031 2 44 "GO:0000731" "DNA synthesis involved in DNA repair" 0.497673451145003
-332 0.799765538218939 2 14 "GO:0000732" "strand displacement" 0.927023212598942
278 0.790191618951146 3 22 "GO:0000737" "DNA catabolic process, endonucleolytic" 0.921658288740089
306 0.728271833356857 3 31 "GO:0000768;GO:0140253" "syncytium formation by plasma membrane fusion" 0.893459042421835
891 0.440005952391212 2 18 "GO:0000819" "sister chromatid segregation" 0.719167478278353
612 0.0524207216488222 3 244 "GO:0000902" "cell morphogenesis" 0.218881937396096
1029 0.00524035683638908 4 178 "GO:0000904" "cell morphogenesis involved in differentiation" 0.0467289823357859
860 0.0404210821635948 3 137 "GO:0000910" "cytokinesis" 0.185639014592261
1444 0.269894832371711 4 14 "GO:0000915;GO:0000912;GO:0044837" "actomyosin contractile ring assembly" 0.569497340142625
-401 0.411723811249553 2 101 "GO:0000956" "nuclear-transcribed mRNA catabolic process" 0.702273863928903
597 0.648077631416677 2 14 "GO:0000959" "mitochondrial RNA metabolic process" 0.849045256286899
-400 0.722017205443273 3 19 "GO:0000966" "RNA 5'-end processing" 0.890383079881953
-261 0.566336357046579 3 116 "GO:0001101" "response to acid chemical" 0.802704132450526
487 0.592093359432537 2 29 "GO:0001171" "reverse transcription" 0.822087158925919
-773 0.541012150619145 -1 15 "GO:0001302" "obsolete replicative cell aging" 0.790517561407082
219 0.515175330790962 2 215 "GO:0001501" "skeletal system development" 0.776123191630673
-517 0.583583294777029 2 27 "GO:0001502" "cartilage condensation" 0.818125708680698
-435 0.146132218629623 2 272 "GO:0001503" "ossification" 0.41268829151917
270 0.459766278451578 2 182 "GO:0001505" "regulation of neurotransmitter levels" 0.736715170378417
82 0.864224183209671 2 106 "GO:0001508" "action potential" 0.947903985985127
-2311 0.00223980867933047 2 42 "GO:0001510" "RNA methylation" 0.0260577250531444
-2339 0.0738756561430949 2 14 "GO:0001516;GO:0046457" "prostaglandin biosynthetic process" 0.272430865917098
-5264 0.000195475895666932 7 12 "GO:0001522" "pseudouridine synthesis" 0.004345438337948
144 0.850344859671423 7 41 "GO:0001523" "retinoid metabolic process" 0.944246718897992
746 0.00898491344292869 2 299 "GO:0001525" "angiogenesis" 0.0680697042436278
-472 0.466946064396446 2 57 "GO:0001539" "cilium or flagellum-dependent cell motility" 0.742461090050434
-609 0.49571915138414 3 30 "GO:0001541" "ovarian follicle development" 0.762912360400242
433 0.166031697945688 4 249 "GO:0001558" "regulation of cell growth" 0.440425820601027
-2373 0.0930705150390874 2 12 "GO:0001561" "fatty acid alpha-oxidation" 0.315906013412243
899 0.051712911852076 2 113 "GO:0001568" "blood vessel development" 0.216882761399096
759 0.420712684399634 4 27 "GO:0001569" "branching involved in blood vessel morphogenesis" 0.707161718364312
1292 0.0572554797169232 2 52 "GO:0001570" "vasculogenesis" 0.232410458008956
-2212 0.153093308792305 4 10 "GO:0001573" "ganglioside metabolic process" 0.421553712957801
-537 0.482454782120368 5 41 "GO:0001578" "microtubule bundle formation" 0.754433088949783
490 0.431153866920959 2 62 "GO:0001649" "osteoblast differentiation" 0.712321549152387
796 0.0425818487069901 2 157 "GO:0001654" "eye development" 0.191285036128202
117 0.936899350712557 2 11 "GO:0001655" "urogenital system development" 0.977429821552658
2022 0.00127558245686895 2 61 "GO:0001656" "metanephros development" 0.0183583067880683
1538 0.00735752375899633 2 73 "GO:0001657" "ureteric bud development" 0.0595519230749532
349 0.660185335283757 2 38 "GO:0001658" "branching involved in ureteric bud morphogenesis" 0.855260619033814
-260 0.635083070177421 3 80 "GO:0001659" "temperature homeostasis" 0.844886591515452
402 0.637431209138825 3 33 "GO:0001662;GO:0002209" "behavioral defense response" 0.84511210401109
452 0.194327608015541 2 200 "GO:0001666" "response to hypoxia" 0.481497239117523
253 0.47245053230247 3 195 "GO:0001667" "ameboidal-type cell migration" 0.746845167392167
-1687 0.0122310484416248 6 53 "GO:0001676" "long-chain fatty acid metabolic process" 0.0847935788742217
1652 0.0208078863510196 3 47 "GO:0001678" "cellular glucose homeostasis" 0.120152855941558
-1684 0.276776782306495 4 10 "GO:0001682" "tRNA 5'-leader removal" 0.577329543709803
-790 0.531896925163561 3 15 "GO:0001695;GO:0001692;GO:0052805;GO:0052803" "histamine catabolic process" 0.785795701593409
-172 0.765015290016297 4 73 "GO:0001696" "gastric acid secretion" 0.90893214009406
-151 0.800841492564987 2 67 "GO:0001697" "histamine-induced gastric acid secretion" 0.92769403496728
-88 0.891319432484999 2 58 "GO:0001698" "gastrin-induced gastric acid secretion" 0.958539732196839
