"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
1676 0.0461049480677538 2 34 "GO:0000002" "mitochondrial genome maintenance" 0.215674297767542
-122 0.934139128758865 1 11 "GO:0000003" "reproduction" 0.969987647064586
-1404 0.341454196019836 2 11 "GO:0000012" "single strand break repair" 0.612084433137753
-2093 0.00115160686311229 2 58 "GO:0000018" "regulation of DNA recombination" 0.0211831818897367
-723 0.624194762418638 4 11 "GO:0000019" "regulation of mitotic recombination" 0.813703934713644
4714 4.43036642210084e-05 2 18 "GO:0000027" "ribosomal large subunit assembly" 0.00194279771991385
-1969 0.0879764111893753 4 18 "GO:0000038" "very long-chain fatty acid metabolic process" 0.299293391700876
165 0.742222574773648 2 96 "GO:0000041" "transition metal ion transport" 0.877913614917082
2273 0.014076724508883 2 28 "GO:0000045" "autophagosome assembly" 0.103360259339643
4426 0.00174070316146959 4 12 "GO:0000054;GO:0033750" "ribosomal subunit export from nucleus" 0.0275718065977257
1335 0.275345024051407 -1 16 "GO:0000060" "obsolete protein import into nucleus, translocation" 0.551065705823836
1224 0.317471738619138 5 16 "GO:0000070" "mitotic sister chromatid segregation" 0.589579763600034
-774 0.0768861728744878 4 126 "GO:0000075" "cell cycle checkpoint signaling" 0.281394528840196
-4039 0.00202593604913592 2 14 "GO:0000076" "DNA replication checkpoint signaling" 0.0309328763538518
-849 0.117303205753102 3 82 "GO:0000077" "DNA damage checkpoint signaling" 0.344632743453282
39 0.96356741830679 5 33 "GO:0000079" "regulation of cyclin-dependent protein serine/threonine kinase activity" 0.983358241316711
-2097 2.10508155327622e-07 4 148 "GO:0000082;GO:0044843" "cell cycle G1/S phase transition" 3.21602136655361e-05
-1912 0.00153502492570429 2 66 "GO:0000086" "G2/M transition of mitotic cell cycle" 0.0255981621413222
-135 0.820688753516451 2 68 "GO:0000096" "sulfur amino acid metabolic process" 0.916337521988055
-261 0.730092411575608 2 42 "GO:0000097" "sulfur amino acid biosynthetic process" 0.871991558859979
570 0.699371280485904 3 11 "GO:0000098" "sulfur amino acid catabolic process" 0.854245160935146
-1681 0.156887788021885 2 17 "GO:0000101" "sulfur amino acid transport" 0.407066927534223
613 0.664678657860051 4 12 "GO:0000105" "histidine biosynthetic process" 0.836544810955408
178 0.474428571309191 2 395 "GO:0000122" "negative regulation of transcription by RNA polymerase II" 0.713299591657247
261 0.831147112378113 2 16 "GO:0000132" "establishment of mitotic spindle orientation" 0.920555875646782
1822 0.0810483715618579 3 22 "GO:0000154" "rRNA modification" 0.287524410274876
-225 0.542220173284237 2 177 "GO:0000165" "MAPK cascade" 0.759525211675287
1929 0.00985317805990908 7 43 "GO:0000184" "nuclear-transcribed mRNA catabolic process, nonsense-mediated decay" 0.0839292289419594
1154 0.434278984801456 -1 11 "GO:0000185" "obsolete activation of MAPKKK activity" 0.684213330678542
-958 0.318584513380589 -1 26 "GO:0000186" "obsolete activation of MAPKK activity" 0.590425311659877
227 0.649194835784931 -1 97 "GO:0000187" "obsolete activation of MAPK activity" 0.828937514084142
443 0.0977214826467404 4 341 "GO:0000209" "protein polyubiquitination" 0.313445105636995
-3091 0.0458765653289149 6 10 "GO:0000212" "meiotic spindle organization" 0.215244659981108
-1303 5.88337775683771e-05 2 231 "GO:0000226" "microtubule cytoskeleton organization" 0.00242292843968551
5677 2.91213413410617e-05 2 13 "GO:0000244" "spliceosomal tri-snRNP complex assembly" 0.00143279284058895
3578 0.00464912783926228 2 15 "GO:0000245" "spliceosomal complex assembly" 0.052549569085313
118 0.933322224110299 2 12 "GO:0000266" "mitochondrial fission" 0.969983334076449
-480 0.493367902648384 2 49 "GO:0000271" "polysaccharide biosynthetic process" 0.728392721862613
-3170 4.8082195992538e-06 2 50 "GO:0000272" "polysaccharide catabolic process" 0.000406638000394036
-1741 0.000816492150706953 2 89 "GO:0000278" "mitotic cell cycle" 0.0165786908360939
-1461 0.00321884953900408 3 98 "GO:0000281" "mitotic cytokinesis" 0.0422284526779039
119 0.938875042213806 6 10 "GO:0000288" "nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay" 0.969987647064586
-510 0.67669199900986 2 16 "GO:0000289" "nuclear-transcribed mRNA poly(A) tail shortening" 0.843254448538018
1849 0.0835855103560952 2 21 "GO:0000291" "nuclear-transcribed mRNA catabolic process, exonucleolytic" 0.291717742849275
-488 0.297236350139039 4 110 "GO:0000302" "response to reactive oxygen species" 0.570356146847331
3270 6.28648166700855e-14 2 127 "GO:0000375" "RNA splicing, via transesterification reactions" 2.89038253305542e-11
3456 0.000547309240828043 2 24 "GO:0000381" "regulation of alternative mRNA splicing, via spliceosome" 0.0130254098721689
4998 1.88660621595893e-10 3 39 "GO:0000387" "spliceosomal snRNP assembly" 5.58435439923843e-08
