"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
210 0.802479445358521 2 34 "GO:0000002" "mitochondrial genome maintenance" 0.944444145904361
-1353 0.359337521166712 1 11 "GO:0000003" "reproduction" 0.717717145086544
2832 0.0550764632586875 2 11 "GO:0000012" "single strand break repair" 0.276315815670703
1219 0.0582397749940171 4 58 "GO:0000018" "regulation of DNA recombination" 0.284326607445018
-737 0.617581101566572 5 11 "GO:0000019" "regulation of mitotic recombination" 0.861469461117807
-1236 0.284243399719334 2 18 "GO:0000027" "ribosomal large subunit assembly" 0.649111536542157
-4494 9.87946260225505e-05 6 18 "GO:0000038" "very long-chain fatty acid metabolic process" 0.00305811339112941
-233 0.642307772488846 3 96 "GO:0000041" "transition metal ion transport" 0.87312560577129
296 0.748897489073518 3 28 "GO:0000045" "autophagosome assembly" 0.921015067584948
-2391 0.0907516975817997 4 12 "GO:0000054;GO:0033750" "ribosome localization" 0.363621015014724
1330 0.277434485902938 -1 16 "GO:0000060" "obsolete protein import into nucleus, translocation" 0.643243982230393
2478 0.0429054005274567 5 16 "GO:0000070" "mitotic sister chromatid segregation" 0.237288957967425
1616 0.000221703222306796 3 126 "GO:0000075" "cell cycle checkpoint signaling" 0.00567560249105398
1440 0.271285662364934 2 14 "GO:0000076" "DNA replication checkpoint signaling" 0.640017094011796
902 0.0958804128057565 4 82 "GO:0000077" "DNA damage checkpoint signaling" 0.375591095986818
1338 0.116774943758557 4 33 "GO:0000079" "regulation of cyclin-dependent protein serine/threonine kinase activity" 0.414577311574607
1851 4.62037419648669e-06 3 148 "GO:0000082;GO:0044843" "cell cycle G1/S phase transition" 0.000248660138574556
1558 0.00983119050966101 3 66 "GO:0000086" "G2/M transition of mitotic cell cycle" 0.0921990460470387
-1194 0.0446200784394737 2 68 "GO:0000096" "sulfur amino acid metabolic process" 0.24289641509666
-852 0.259949644288859 2 42 "GO:0000097" "sulfur amino acid biosynthetic process" 0.626629568276279
-1713 0.24587393168959 2 11 "GO:0000098" "sulfur amino acid catabolic process" 0.607121449677736
-2335 0.04926454431882 2 17 "GO:0000101" "sulfur amino acid transport" 0.258666166179525
-1232 0.383420132352022 5 12 "GO:0000105" "histidine biosynthetic process" 0.738161685698852
1170 2.64984683375488e-06 2 395 "GO:0000122" "negative regulation of transcription by RNA polymerase II" 0.000160893264162348
835 0.494949742499648 2 16 "GO:0000132" "establishment of mitotic spindle orientation" 0.805526453772623
-2327 0.0258540231606319 3 22 "GO:0000154" "rRNA modification" 0.176179357825543
-262 0.477828745315839 2 177 "GO:0000165" "MAPK cascade" 0.799928221214498
1186 0.112393345436202 2 43 "GO:0000184" "nuclear-transcribed mRNA catabolic process, nonsense-mediated decay" 0.407796726290094
-448 0.761329822535738 -1 11 "GO:0000185" "obsolete activation of MAPKKK activity" 0.92875503065842
-37 0.969337520682702 -1 26 "GO:0000186" "obsolete activation of MAPKK activity" 0.993675865357852
-276 0.579301305811047 -1 97 "GO:0000187" "obsolete activation of MAPK activity" 0.847259996326583
861 0.00130557682765243 5 341 "GO:0000209" "protein polyubiquitination" 0.0214694856102844
4258 0.00594839216574933 3 10 "GO:0000212" "meiotic spindle organization" 0.0662860830517384
735 0.0234007915653459 4 231 "GO:0000226" "microtubule cytoskeleton organization" 0.166655862937561
-901 0.507186841699075 2 13 "GO:0000244" "spliceosomal tri-snRNP complex assembly" 0.80974658623609
362 0.774718918617966 2 15 "GO:0000245" "spliceosomal complex assembly" 0.934080651368301
175 0.901290498909027 2 12 "GO:0000266" "mitochondrial fission" 0.974280152041656
-992 0.156657782621747 2 49 "GO:0000271" "polysaccharide biosynthetic process" 0.479022879632888
