"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
-43 0.959265845965412 2 34 "GO:0000002" "mitochondrial genome maintenance" 0.989143131891329
1303 0.377068094253614 1 11 "GO:0000003" "reproduction" 0.689124401617325
-467 0.751538728017428 2 11 "GO:0000012" "single strand break repair" 0.91222017959457
-2122 0.000976638012108599 4 58 "GO:0000018" "regulation of DNA recombination" 0.0186466975295735
-1094 0.458270389802233 2 11 "GO:0000019" "regulation of mitotic recombination" 0.75052685516134
-777 0.500538635002333 2 18 "GO:0000027" "ribosomal large subunit assembly" 0.77893737668457
-1227 0.287521851203955 2 18 "GO:0000038" "very long-chain fatty acid metabolic process" 0.602907339001469
-10 0.984067523146729 2 96 "GO:0000041" "transition metal ion transport" 0.996315587169938
716 0.438963201704491 2 28 "GO:0000045" "autophagosome assembly" 0.734708646189737
-356 0.801343243024147 4 12 "GO:0000054;GO:0033750" "ribosomal subunit export from nucleus" 0.929079396601209
-2672 0.0289971836764469 -1 16 "GO:0000060" "obsolete protein import into nucleus, translocation" 0.16384446862527
-4289 0.000456458325514175 3 16 "GO:0000070" "mitotic sister chromatid segregation" 0.0118997283425477
-1681 0.000121898029307827 2 126 "GO:0000075" "cell cycle checkpoint signaling" 0.00477085182739097
-3900 0.00286622756698532 2 14 "GO:0000076" "DNA replication checkpoint signaling" 0.0382298240272549
-1030 0.0571340537449018 2 82 "GO:0000077" "DNA damage checkpoint signaling" 0.248634113550371
507 0.552265336292077 2 33 "GO:0000079" "regulation of cyclin-dependent protein serine/threonine kinase activity" 0.810594038234031
299 0.458875447875835 5 148 "GO:0000082;GO:0044843" "G1/S transition of mitotic cell cycle" 0.75052685516134
-1415 0.0189948750284674 2 66 "GO:0000086" "G2/M transition of mitotic cell cycle" 0.127394806316987
-171 0.774147810027872 3 68 "GO:0000096" "sulfur amino acid metabolic process" 0.920871230640539
694 0.358817155690747 2 42 "GO:0000097" "sulfur amino acid biosynthetic process" 0.675009627411874
-1134 0.442290362607895 3 11 "GO:0000098" "sulfur amino acid catabolic process" 0.737410164418445
-1184 0.31843528642562 2 17 "GO:0000101" "sulfur amino acid transport" 0.636957617435562
-1375 0.330466964855794 2 12 "GO:0000105" "histidine biosynthetic process" 0.649276152903718
-623 0.0123132286329611 8 395 "GO:0000122" "negative regulation of transcription by RNA polymerase II" 0.0990872482244112
54 0.965010970361254 2 16 "GO:0000132" "establishment of mitotic spindle orientation" 0.989954964848922
-3184 0.00228418931869288 2 22 "GO:0000154" "rRNA modification" 0.0325586981710097
827 0.0252343993360652 2 177 "GO:0000165" "MAPK cascade" 0.152989604169358
-295 0.692567712372397 3 43 "GO:0000184" "nuclear-transcribed mRNA catabolic process, nonsense-mediated decay" 0.885745102318637
1394 0.344898259947896 -1 11 "GO:0000185" "obsolete activation of MAPKKK activity" 0.661274901367061
31 0.974252440149402 -1 26 "GO:0000186" "obsolete activation of MAPKK activity" 0.992776637444948
52 0.916411215066013 -1 97 "GO:0000187" "obsolete activation of MAPK activity" 0.974714533486285
-58 0.827703517166371 2 341 "GO:0000209" "protein polyubiquitination" 0.942846436903312
-514 0.739701489013101 5 10 "GO:0000212" "meiotic spindle organization" 0.906675265461308
-664 0.0410020319438937 3 230 "GO:0000226" "microtubule cytoskeleton organization" 0.200922729352359
-1077 0.427474843720989 2 13 "GO:0000244" "spliceosomal tri-snRNP complex assembly" 0.7270450377223
22 0.986329674068691 2 15 "GO:0000245" "spliceosomal complex assembly" 0.996315587169938
1492 0.291093818050981 4 12 "GO:0000266" "mitochondrial fission" 0.607193492718676
964 0.168588220451476 2 49 "GO:0000271" "polysaccharide biosynthetic process" 0.463729119775138
1299 0.0608300336245796 2 50 "GO:0000272" "polysaccharide catabolic process" 0.258461520468462
-990 0.056797444028596 2 89 "GO:0000278" "mitotic cell cycle" 0.247638947951567
339 0.494324763030247 2 98 "GO:0000281" "mitotic cytokinesis" 0.775077159234545
2042 0.186908196347802 6 10 "GO:0000288" "nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay" 0.487702989373548
502 0.681388429082152 2 16 "GO:0000289" "nuclear-transcribed mRNA poly(A) tail shortening" 0.882608656150881
10 0.992895467816997 3 21 "GO:0000291" "nuclear-transcribed mRNA catabolic process, exonucleolytic" 0.997578415193401
-355 0.447581882522403 2 110 "GO:0000302" "response to reactive oxygen species" 0.741643176255345
-1628 0.00018719361870747 2 127 "GO:0000375" "RNA splicing, via transesterification reactions" 0.00656564284873978
-2257 0.0239009679280666 3 24 "GO:0000381" "regulation of alternative mRNA splicing, via spliceosome" 0.147936056391366
-979 0.211934837969511 2 39 "GO:0000387" "spliceosomal snRNP assembly" 0.520223669147555
-1641 0.000187098988445493 3 125 "GO:0000398;GO:0000377" "mRNA splicing, via spliceosome" 0.00656564284873978
1399 0.130555267396526 2 28 "GO:0000422;GO:0061726" "autophagy of mitochondrion" 0.4038295407172
-2637 0.073868018121888 10 11 "GO:0000447" "endonucleolytic cleavage in ITS1 to separate SSU-rRNA from 5.8S rRNA and LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)" 0.285940829453058
-3088 0.0228880357131495 2 13 "GO:0000460" "maturation of 5.8S rRNA" 0.144307388950417
-2494 0.00702343750922268 10 28 "GO:0000462" "maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)" 0.0688529536359615
-3556 0.000212624194406724 7 26 "GO:0000469" "cleavage involved in rRNA processing" 0.00712032990017753
