"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
-123 0.883714583385946 2 34 "GO:0000002" "mitochondrial genome maintenance" 0.980130099642562
655 0.657180265638959 1 11 "GO:0000003" "reproduction" 0.923677080436075
81 0.956213205902914 4 11 "GO:0000012" "single strand break repair" 0.987577552698587
-203 0.752913772865193 3 58 "GO:0000018" "regulation of DNA recombination" 0.95815970917496
2554 0.0835629975603599 7 11 "GO:0000019" "regulation of mitotic recombination" 0.47796368415764
4248 0.000233192908937665 2 18 "GO:0000027" "ribosomal large subunit assembly" 0.0133032340219258
-2219 0.0545762457755303 2 18 "GO:0000038" "very long-chain fatty acid metabolic process" 0.392733318764644
286 0.56808969223623 7 96 "GO:0000041" "transition metal ion transport" 0.888305032595312
-265 0.774802509719325 2 28 "GO:0000045" "autophagosome assembly" 0.964528398711184
3203 0.0234491755838234 4 12 "GO:0000054;GO:0033750" "ribosome localization" 0.253497366185853
-323 0.791762825014489 -1 16 "GO:0000060" "obsolete protein import into nucleus, translocation" 0.965048131386692
-1990 0.104012391540037 3 16 "GO:0000070" "mitotic sister chromatid segregation" 0.510668093758969
-1014 0.0205504954815626 2 126 "GO:0000075" "cell cycle checkpoint signaling" 0.239082545713019
-1788 0.171922640872565 2 14 "GO:0000076" "DNA replication checkpoint signaling" 0.619243715966337
-1378 0.0109681528160619 4 82 "GO:0000077" "DNA damage checkpoint signaling" 0.170836196000175
-1096 0.198658654985336 3 33 "GO:0000079" "regulation of cyclin-dependent protein serine/threonine kinase activity" 0.653682231657794
-227 0.573614971983 2 148 "GO:0000082;GO:0044843" "G1/S transition of mitotic cell cycle" 0.892855651656642
-2305 0.000134493082066246 2 66 "GO:0000086" "G2/M transition of mitotic cell cycle" 0.00915852757511293
113 0.848892518628736 2 68 "GO:0000096" "sulfur amino acid metabolic process" 0.974612255967954
373 0.621807639450139 2 42 "GO:0000097" "sulfur amino acid biosynthetic process" 0.913153943977107
-414 0.779016609261013 3 11 "GO:0000098" "sulfur amino acid catabolic process" 0.964528398711184
-2127 0.073326055739698 3 17 "GO:0000101" "sulfur amino acid transport" 0.4462951939373
-348 0.80526639736993 6 12 "GO:0000105" "histidine biosynthetic process" 0.966877867155917
-462 0.0639800734822856 2 395 "GO:0000122" "negative regulation of transcription by RNA polymerase II" 0.421095877350481
-1595 0.192725999972358 2 16 "GO:0000132" "establishment of mitotic spindle orientation" 0.646115844847678
-321 0.758434673470205 2 22 "GO:0000154" "rRNA modification" 0.958959309284343
286 0.438579673701248 5 177 "GO:0000165" "MAPK cascade" 0.820627529714398
2728 0.000261303635351508 6 43 "GO:0000184" "nuclear-transcribed mRNA catabolic process, nonsense-mediated decay" 0.0140599171976067
575 0.696800648145999 -1 11 "GO:0000185" "obsolete activation of MAPKKK activity" 0.942402476141475
52 0.956651777402075 -1 26 "GO:0000186" "obsolete activation of MAPKK activity" 0.987577552698587
970 0.0517087585681008 -1 97 "GO:0000187" "obsolete activation of MAPK activity" 0.385210101082269
332 0.215213421823132 3 341 "GO:0000209" "protein polyubiquitination" 0.666908083987258
-3392 0.028469184781329 5 10 "GO:0000212" "meiotic spindle organization" 0.280119588392279
-2277 2.20014027548652e-12 3 231 "GO:0000226" "microtubule cytoskeleton organization" 1.48823774348981e-09
-889 0.512518905514132 2 13 "GO:0000244" "spliceosomal tri-snRNP complex assembly" 0.859767423205522
-279 0.825644047527309 2 15 "GO:0000245" "spliceosomal complex assembly" 0.968720595373051
1106 0.43412546060811 3 12 "GO:0000266" "mitochondrial fission" 0.818957791226853
-562 0.422198471251083 2 49 "GO:0000271" "polysaccharide biosynthetic process" 0.815563476897326
791 0.253693297716692 2 50 "GO:0000272" "polysaccharide catabolic process" 0.705218063210945
-1012 0.0518223515077942 3 89 "GO:0000278" "mitotic cell cycle" 0.385210101082269
-638 0.197921890338117 2 98 "GO:0000281" "mitotic cytokinesis" 0.653052695703306
-1325 0.392260192808174 7 10 "GO:0000288" "nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay" 0.802727951055107
1356 0.268133856858743 6 16 "GO:0000289" "nuclear-transcribed mRNA poly(A) tail shortening" 0.715688525318013
641 0.548716981607576 6 21 "GO:0000291" "nuclear-transcribed mRNA catabolic process, exonucleolytic" 0.879842501832669
382 0.414223035373599 4 110 "GO:0000302" "response to reactive oxygen species" 0.815153839609938
-1025 0.0187250807488861 3 127 "GO:0000375" "RNA splicing, via transesterification reactions" 0.227341685502502
-260 0.794840460493052 2 24 "GO:0000381" "regulation of alternative mRNA splicing, via spliceosome" 0.965048131386692
-351 0.655019660340041 2 39 "GO:0000387" "spliceosomal snRNP assembly" 0.92279621889619
-1058 0.0160314610764091 2 125 "GO:0000398;GO:0000377" "mRNA splicing, via spliceosome" 0.208612982719267
129 0.88906732002731 4 28 "GO:0000422;GO:0061726" "autophagy of mitochondrion" 0.980494619358019
-1350 0.360461099831206 4 11 "GO:0000447" "endonucleolytic cleavage in ITS1 to separate SSU-rRNA from 5.8S rRNA and LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)" 0.786536086498046
614 0.651204418423172 2 13 "GO:0000460" "maturation of 5.8S rRNA" 0.921001316023001
-1273 0.169190969522011 2 28 "GO:0000462" "maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)" 0.616554209997042
-1126 0.241234973449185 3 26 "GO:0000469" "cleavage involved in rRNA processing" 0.694434004050405
4411 0.000132429823341517 2 18 "GO:0000470" "maturation of LSU-rRNA" 0.00915852757511293
-1303 0.272480613063493 2 17 "GO:0000478" "endonucleolytic cleavage involved in rRNA processing" 0.719241379785711
-963 0.431427134274143 3 16 "GO:0000479" "endonucleolytic cleavage of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)" 0.817402387536921
-1301 0.223506333204629 2 21 "GO:0000578" "embryonic axis specification" 0.677530401871907
-1699 0.210810921546152 2 13 "GO:0000712" "resolution of meiotic recombination intermediates" 0.664573710733042
-1036 0.369514418950655 6 18 "GO:0000722" "telomere maintenance via recombination" 0.793995976022701
-792 0.093593825786862 4 108 "GO:0000723" "telomere maintenance" 0.49405436466086
394 0.415485982430681 2 103 "GO:0000724;GO:0000725" "recombinational repair" 0.815153839609938
155 0.902255723494857 2 15 "GO:0000729" "DNA double-strand break processing" 0.982336364853564
428 0.562357098135063 6 44 "GO:0000731" "DNA synthesis involved in DNA repair" 0.885596456177494
1841 0.159582638098551 5 14 "GO:0000732" "strand displacement" 0.607414623309195
117 0.911134429178981 5 22 "GO:0000737" "DNA catabolic process, endonucleolytic" 0.984091307289731
75 0.932326027160148 2 31 "GO:0000768;GO:0140253" "syncytium formation by plasma membrane fusion" 0.984091307289731
-2229 0.053500449467555 2 18 "GO:0000819" "sister chromatid segregation" 0.390360419605921
-135 0.669449360954135 3 244 "GO:0000902" "cell morphogenesis" 0.927882396593526
-290 0.431835315525831 2 178 "GO:0000904" "cell morphogenesis involved in differentiation" 0.817569059981931
-854 0.041943587361412 3 137 "GO:0000910" "cytokinesis" 0.339492113087668
-1272 0.331067214158945 3 14 "GO:0000915;GO:0000912;GO:0044837" "assembly of actomyosin apparatus involved in cytokinesis" 0.768923878534432
1058 0.0303798848893794 2 101 "GO:0000956" "nuclear-transcribed mRNA catabolic process" 0.288014441553044
-3067 0.0191089171817715 2 14 "GO:0000959" "mitochondrial RNA metabolic process" 0.229873596516662
-3419 0.00234006321219971 2 19 "GO:0000966" "RNA 5'-end processing" 0.063613138356727
403 0.376551725630696 3 116 "GO:0001101" "response to acid chemical" 0.7960784520937
-458 0.614786806502863 2 29 "GO:0001171" "reverse transcription" 0.911686667331994
274 0.828439984961814 -1 15 "GO:0001302" "obsolete replicative cell aging" 0.969683203353923
-358 0.285975394475785 2 215 "GO:0001501" "skeletal system development" 0.734354869646023
-258 0.784443187827167 3 27 "GO:0001502" "cartilage condensation" 0.964528398711184
698 0.0195614917353324 2 272 "GO:0001503" "ossification" 0.232722772278389
-421 0.248005924589331 3 182 "GO:0001505" "regulation of neurotransmitter levels" 0.697717255207528
235 0.621499906355506 2 106 "GO:0001508" "action potential" 0.913153943977107
1471 0.051700475742865 6 42 "GO:0001510" "RNA methylation" 0.385210101082269
1789 0.171597117626148 3 14 "GO:0001516;GO:0046457" "prostaglandin biosynthetic process" 0.619243715966337
1156 0.413612781290118 6 12 "GO:0001522" "pseudouridine synthesis" 0.815153839609938
1000 0.191410890833232 3 41 "GO:0001523" "retinoid metabolic process" 0.645994702847722
418 0.143293417243534 2 299 "GO:0001525" "angiogenesis" 0.585413572604084
-347 0.593448371936224 2 57 "GO:0001539" "cilium or flagellum-dependent cell motility" 0.901272179667523
1835 0.0401677779127681 2 30 "GO:0001541" "ovarian follicle development" 0.329056104527607
-125 0.68806995542041 2 249 "GO:0001558" "regulation of cell growth" 0.937287468042475
-390 0.782836188255829 2 12 "GO:0001561" "fatty acid alpha-oxidation" 0.964528398711184
-645 0.162834649997665 3 113 "GO:0001568" "blood vessel development" 0.611601097304973
