"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
-2423 0.0394996418017113 2 11 "GO:0000109" "nucleotide-excision repair complex" 0.162108500488483
292 0.628243204935516 2 42 "GO:0000118" "histone deacetylase complex" 0.789134757419002
1659 0.00181203509575601 2 54 "GO:0000123" "histone acetyltransferase complex" 0.0179029341755029
176 0.264004877859557 2 640 "GO:0000139" "Golgi membrane" 0.497994678581498
150 0.351618078893717 3 616 "GO:0000151" "ubiquitin ligase complex" 0.575202982050731
8 0.989715006676889 2 44 "GO:0000152" "nuclear ubiquitin ligase complex" 0.991319082862751
-1093 0.0381767304783502 2 55 "GO:0000153" "cytoplasmic ubiquitin ligase complex" 0.159413644835273
2336 0.025131520184814 3 14 "GO:0000176" "nuclear exosome (RNase complex)" 0.118559385299352
332 0.741712416613019 2 15 "GO:0000177" "cytoplasmic exosome (RNase complex)" 0.852456293919348
1580 0.0522044362981346 3 23 "GO:0000178;GO:1905354" "exoribonuclease complex" 0.182273116566368
-670 0.157911017350616 3 68 "GO:0000228" "nuclear chromosome" 0.366900573890334
-935 0.387658688728148 2 13 "GO:0000242" "pericentriolar material" 0.611155789882642
-1703 0.115672493617184 2 13 "GO:0000307" "cyclin-dependent protein kinase holoenzyme complex" 0.305494021604358
-283 0.758283289545476 6 18 "GO:0000322" "storage vacuole" 0.862921072152501
-575 0.00603479352748805 6 356 "GO:0000323" "lytic vacuole" 0.0414389155554179
-384 0.712505303895528 7 14 "GO:0000324" "fungal-type vacuole" 0.840321140853886
1890 0.0606656579089754 2 15 "GO:0000407" "phagophore assembly site" 0.203757481455146
2232 0.0221569025515383 6 16 "GO:0000421" "autophagosome membrane" 0.106976295131646
809 0.151254205029952 4 48 "GO:0000428" "DNA-directed RNA polymerase complex" 0.358142140645633
4776 5.28866723583429e-17 2 47 "GO:0000502" "proteasome complex" 1.08946545058186e-14
-1595 0.00616649848479175 3 45 "GO:0000775" "chromosome, centromeric region" 0.0418779787208934
-994 0.0665875825792388 2 52 "GO:0000776" "kinetochore" 0.216584873862998
-522 0.322313615583226 2 55 "GO:0000781" "chromosome, telomeric region" 0.547224764918774
-859 0.0406223313953234 2 87 "GO:0000785" "chromatin" 0.162108500488483
-1314 0.00265599176214144 3 80 "GO:0000786" "nucleosome" 0.024003493425005
-973 0.203826689301302 3 26 "GO:0000792" "heterochromatin" 0.425557074284475
-1333 0.028864196633429 3 41 "GO:0000793" "condensed chromosome" 0.129261402314921
-1074 0.108770920768979 4 34 "GO:0000794" "condensed nuclear chromosome" 0.297435526704553
-3357 0.00651560332338007 3 10 "GO:0000795;GO:0099086" "synaptonemal complex" 0.0430607949767663
491 0.676689317441493 2 11 "GO:0000812" "Swr1 complex" 0.821599210567471
-1487 0.00838172694063958 4 48 "GO:0000836;GO:0000835" "ER ubiquitin ligase complex" 0.0507834044050516
-264 0.201924196550518 2 366 "GO:0000922" "spindle pole" 0.424459887620462
-663 0.0209414306259454 4 187 "GO:0000932" "P-body" 0.101903969502632
902 0.221607943149776 2 28 "GO:0000943" "retrotransposon nucleocapsid" 0.448158417620465
3668 0.00182505639653185 2 11 "GO:0000974" "Prp19 complex" 0.0179029341755029
-966 0.0643963947581387 3 56 "GO:0001527" "microfibril" 0.211626491516444
513 0.297276193138908 2 63 "GO:0001650" "fibrillar center" 0.524698936423095
-1799 0.00915890739888211 4 32 "GO:0001669" "acrosomal vesicle" 0.0533981582312183
-1440 0.0400548065668977 3 31 "GO:0001725;GO:0097517" "contractile actin filament bundle" 0.162108500488483
