"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
1141 0.332125949623315 3 11 "GO:0000109" "nucleotide-excision repair complex" 0.614097235647122
885 0.141968412188972 3 42 "GO:0000118" "histone deacetylase complex" 0.37334671801185
800 0.132589565515118 4 54 "GO:0000123" "histone acetyltransferase complex" 0.358273228333872
15 0.922861065980486 5 640 "GO:0000139" "Golgi membrane" 0.965502552971136
476 0.00311550021684781 2 616 "GO:0000151" "ubiquitin ligase complex" 0.0231973389639994
154 0.793286331810994 3 44 "GO:0000152" "nuclear ubiquitin ligase complex" 0.912927993248293
1796 0.000655581282423 3 55 "GO:0000153" "cytoplasmic ubiquitin ligase complex" 0.0074965263595351
-1363 0.191324988257874 2 14 "GO:0000176" "nuclear exosome (RNase complex)" 0.436933227371395
-201 0.841542835026809 3 15 "GO:0000177" "cytoplasmic exosome (RNase complex)" 0.940458358131226
215 0.791978749412779 3 23 "GO:0000178;GO:1905354" "exoribonuclease complex" 0.912927993248293
-247 0.602665719304474 4 68 "GO:0000228" "nuclear chromosome" 0.820292125243333
727 0.501959492197173 2 13 "GO:0000242" "pericentriolar material" 0.767001382461907
385 0.72204237488907 2 13 "GO:0000307" "cyclin-dependent protein kinase holoenzyme complex" 0.882059787825418
-668 0.467724105093396 2 18 "GO:0000322" "storage vacuole" 0.739124575749496
-1455 3.74474360029483e-12 2 356 "GO:0000323" "lytic vacuole" 1.1571257724911e-09
-1593 0.126590295842751 2 14 "GO:0000324" "fungal-type vacuole" 0.350819743635965
879 0.383313168045601 2 15 "GO:0000407" "phagophore assembly site" 0.658020938478282
1277 0.190509632405096 2 16 "GO:0000421" "autophagosome membrane" 0.436933227371395
-220 0.696403311089877 2 48 "GO:0000428" "DNA-directed RNA polymerase complex" 0.881315016872622
-3144 3.47017990962163e-08 2 47 "GO:0000502" "proteasome complex" 1.53183656010441e-06
874 0.133683444318387 2 45 "GO:0000775" "chromosome, centromeric region" 0.358273228333872
984 0.0694725176133177 2 52 "GO:0000776" "kinetochore" 0.229593667834387
567 0.281874364244015 2 55 "GO:0000781" "chromosome, telomeric region" 0.561930184202585
1336 0.00144847231286569 2 87 "GO:0000785" "chromatin" 0.0127879412764428
249 0.56864143874909 2 80 "GO:0000786" "nucleosome" 0.811594478399394
942 0.218633258501864 2 26 "GO:0000792" "heterochromatin" 0.474094694547881
205 0.736603854827878 4 41 "GO:0000793" "condensed chromosome" 0.88461504068789
31 0.962851035750841 7 34 "GO:0000794" "condensed nuclear chromosome" 0.983540396849619
-344 0.780407636612639 2 10 "GO:0000795;GO:0099086" "synaptonemal complex" 0.909984753635115
639 0.587066336976277 4 11 "GO:0000812" "Swr1 complex" 0.815296620789526
2023 0.000334476052613297 4 48 "GO:0000836;GO:0000835" "ER ubiquitin ligase complex" 0.00484041487336286
1200 6.3638324516881e-09 2 366 "GO:0000922" "spindle pole" 3.93284845514325e-07
997 0.000516323716141245 2 187 "GO:0000932" "P-body" 0.00638176113150579
93 0.899787126857488 2 28 "GO:0000943" "retrotransposon nucleocapsid" 0.963497021518692
-648 0.581886033568232 2 11 "GO:0000974" "Prp19 complex" 0.813665274486811
510 0.329109738175683 5 56 "GO:0001527" "microfibril" 0.612493786088257
-501 0.308734080274335 2 63 "GO:0001650" "fibrillar center" 0.58888167163438
-364 0.59841406040647 6 32 "GO:0001669" "acrosomal vesicle" 0.820292125243333
1458 0.0376509564299548 3 31 "GO:0001725;GO:0097517" "contractile actin filament bundle" 0.146414114941323
1398 0.00171545527827103 4 77 "GO:0001726" "ruffle" 0.0149317093235422
-1043 0.0799356576730104 2 43 "GO:0001750" "photoreceptor outer segment" 0.253955337944745
-1876 0.0241777916358155 2 22 "GO:0001891" "phagocytic cup" 0.108568695072803
1620 0.0343488329656106 2 26 "GO:0001917" "photoreceptor inner segment" 0.140579991872499
35 0.968989938598278 3 19 "GO:0002102" "podosome" 0.986549888062168
-1212 0.262966278415517 2 13 "GO:0002116" "semaphorin receptor complex" 0.539910830766743
-504 0.0134384490232668 2 376 "GO:0005581" "collagen trimer" 0.07285053944192
-1224 0.0809896669518383 2 31 "GO:0005583" "fibrillar collagen trimer" 0.255365378450184
-749 0.524672500387939 4 11 "GO:0005584" "collagen type I trimer" 0.78364757694866
1744 0.107045021292906 2 13 "GO:0005593" "FACIT collagen trimer" 0.311449780795199
314 0.177392906992752 2 286 "GO:0005604" "basement membrane" 0.424917893494266
110 0.919000207094034 3 13 "GO:0005614" "interstitial matrix" 0.965502552971136
-441 0.000194022041485792 2 1191 "GO:0005615" "extracellular space" 0.00324069247670863
-917 0.0847219103681692 3 54 "GO:0005618" "cell wall" 0.264194862246908
30 0.839513588196089 2 749 "GO:0005622" "intracellular anatomical structure" 0.940458358131226
428 0.467176604930922 -1 44 "GO:0005623" "obsolete cell" 0.739124575749496
38 0.902693811422852 2 157 "GO:0005635" "nuclear envelope" 0.963497021518692
1758 0.0496560635423013 3 19 "GO:0005637" "nuclear inner membrane" 0.181506387664394
-120 0.868180729107785 2 29 "GO:0005639;GO:0031229" "integral component of nuclear inner membrane" 0.948501580027675
-637 0.387972494750174 2 28 "GO:0005641" "nuclear envelope lumen" 0.658700554273647
823 0.132802841380195 2 51 "GO:0005643" "nuclear pore" 0.358273228333872
409 0.000165825523926555 2 1445 "GO:0005654" "nucleoplasm" 0.00284667149407253
364 0.470638686405833 2 60 "GO:0005657" "replication fork" 0.739124575749496
-339 0.736551195813737 2 15 "GO:0005665" "RNA polymerase II, core complex" 0.88461504068789
311 0.749663171296173 2 16 "GO:0005666" "RNA polymerase III complex" 0.888658894604227
739 0.0115662395001853 2 180 "GO:0005667" "transcription regulator complex" 0.0649812364646774
-452 0.60428905217357 2 20 "GO:0005669" "transcription factor TFIID complex" 0.820292125243333
-577 0.594125907388533 -1 13 "GO:0005671" "obsolete Ada2/Gcn5/Ada3 transcription activator complex" 0.819575470460075
-2114 0.0867210627150343 3 10 "GO:0005675" "transcription factor TFIIH holo complex" 0.265314934445006
37 0.967300683248975 2 19 "GO:0005680" "anaphase-promoting complex" 0.986455152224202
662 0.0233093698314037 3 181 "GO:0005681" "spliceosomal complex" 0.105920518792702
1280 0.072548976335029 2 30 "GO:0005682" "U5 snRNP" 0.238485464760893
-61 0.937881935180557 2 25 "GO:0005684" "U2-type spliceosomal complex" 0.971807782901118
-83 0.934571806859561 2 15 "GO:0005685" "U1 snRNP" 0.971807782901118
184 0.855137234623127 2 15 "GO:0005686" "U2 snRNP" 0.943290138687874
-599 0.471505855151597 2 22 "GO:0005689" "U12-type spliceosomal complex" 0.739124575749496
189 0.476282444340318 2 219 "GO:0005694" "chromosome" 0.740545285695041
1109 0.182879488995053 3 22 "GO:0005700" "polytene chromosome" 0.433024996930815
-83 0.616993346221457 2 579 "GO:0005730" "nucleolus" 0.83072306746157
-4007 4.00535800642295e-05 3 16 "GO:0005732" "sno(s)RNA-containing ribonucleoprotein complex" 0.000853555602748063
-1699 0.168490585943045 2 10 "GO:0005736" "RNA polymerase I complex" 0.4148493311267
-709 7.01003139090464e-08 4 946 "GO:0005739" "mitochondrion" 2.70762462473692e-06
-122 0.748539462553105 5 106 "GO:0005741" "mitochondrial outer membrane" 0.888658894604227
-1486 8.21976417127482e-10 5 265 "GO:0005743" "mitochondrial inner membrane" 7.2568775112112e-08
-1930 0.00777388361553199 4 29 "GO:0005747;GO:0045271;GO:0030964" "mitochondrial respiratory chain complex I" 0.0466433016931919
-604 0.294327474755613 2 46 "GO:0005758" "mitochondrial intermembrane space" 0.571994903770342
-1520 2.6176823959828e-07 2 177 "GO:0005759" "mitochondrial matrix" 8.51435642482826e-06
1321 0.189849831195296 4 15 "GO:0005761;GO:0000313" "organellar ribosome" 0.436933227371395
-1319 0.0349969003649618 2 39 "GO:0005762;GO:0000315" "mitochondrial large ribosomal subunit" 0.141992786064531
-2175 0.00635701432312747 2 24 "GO:0005763;GO:0000314" "mitochondrial small ribosomal subunit" 0.0409232797051331
-1446 1.28286362468171e-11 3 342 "GO:0005764" "lysosome" 2.03583272843688e-09
-555 0.0192790290120178 2 276 "GO:0005765;GO:0098852" "lytic vacuole membrane" 0.0904229414862052
-1928 0.118139350574349 2 10 "GO:0005767" "secondary lysosome" 0.33645215970022
477 0.00108900711739985 4 755 "GO:0005768" "endosome" 0.010286522528377
383 0.0564307510543744 2 389 "GO:0005769" "early endosome" 0.198148887225019
33 0.92488270446426 2 127 "GO:0005770" "late endosome" 0.965502552971136
202 0.808520402702784 6 22 "GO:0005771" "multivesicular body" 0.920299688844327
-1316 1.31769108636691e-11 4 415 "GO:0005773" "vacuole" 2.03583272843688e-09
-520 0.0159157197684245 5 335 "GO:0005774" "vacuolar membrane" 0.0819659568073862
-758 0.0632413209820776 2 92 "GO:0005775" "vacuolar lumen" 0.213171074318104
325 0.58078726357576 2 44 "GO:0005776" "autophagosome" 0.813665274486811
-1279 0.000236328051758672 5 127 "GO:0005777" "peroxisome" 0.00374489066632973
-1272 0.0744100940834216 3 30 "GO:0005778;GO:0031903" "peroxisomal membrane" 0.242468473268601
-992 0.378690695121454 5 12 "GO:0005779;GO:0031231" "integral component of peroxisomal membrane" 0.651896516950024
-1011 0.258936102689321 2 19 "GO:0005782;GO:0031907" "peroxisomal matrix" 0.537665017665874
-474 0.00176419442119655 3 698 "GO:0005783" "endoplasmic reticulum" 0.0151426687819371
-103 0.714464115620038 2 195 "GO:0005788" "endoplasmic reticulum lumen" 0.881315016872622
-337 0.0272677310123752 2 688 "GO:0005789" "endoplasmic reticulum membrane" 0.118672237786253
369 0.714343050847683 4 15 "GO:0005790" "smooth endoplasmic reticulum" 0.881315016872622
-758 0.193089761970289 5 45 "GO:0005791" "rough endoplasmic reticulum" 0.437104296328346
-218 0.733932773702292 4 37 "GO:0005793" "endoplasmic reticulum-Golgi intermediate compartment" 0.88461504068789
56 0.708371948059815 5 716 "GO:0005794" "Golgi apparatus" 0.881315016872622
1053 0.10584153803945 2 36 "GO:0005795" "Golgi stack" 0.310242220605406
347 0.433911365689417 2 78 "GO:0005796" "Golgi lumen" 0.703824734897795
-429 0.575658140120244 3 26 "GO:0005797" "Golgi medial cisterna" 0.813665274486811
59 0.921532329186038 3 43 "GO:0005798" "Golgi-associated vesicle" 0.965502552971136
-735 0.310878324630496 2 29 "GO:0005801" "cis-Golgi network" 0.589333756508118
16 0.956153881016046 2 176 "GO:0005802" "trans-Golgi network" 0.983199831061425
528 0.303388742397085 3 58 "GO:0005811" "lipid droplet" 0.584094214334575
837 3.37726801111402e-05 3 384 "GO:0005813" "centrosome" 0.000773019122543876
1343 0.000387129486444358 3 107 "GO:0005814" "centriole" 0.00520100049179594
1084 7.28535557608878e-14 2 769 "GO:0005815" "microtubule organizing center" 4.50234974602287e-11
790 0.00746969306698006 3 177 "GO:0005819" "spindle" 0.0453645076772312
-860 0.409385053329276 2 14 "GO:0005827" "polar microtubule" 0.674666567886647
1191 0.290422413936135 8 12 "GO:0005828" "kinetochore microtubule" 0.571994903770342
1513 0.162266286151053 2 13 "GO:0005834;GO:1905360" "heterotrimeric G-protein complex" 0.406208466265171
-5863 1.8692314305497e-09 2 16 "GO:0005839" "proteasome core complex" 1.44398128009964e-07
-1025 0.0129479125930224 3 90 "GO:0005840" "ribosome" 0.0708124777211313
-1323 0.045038494259501 3 35 "GO:0005844" "polysome" 0.169175771773089
-748 0.524823704987703 3 11 "GO:0005845" "mRNA cap binding complex" 0.78364757694866
3062 0.0065675726099687 3 12 "GO:0005849" "mRNA cleavage factor complex" 0.0416679516513624
-2888 0.000938847335762955 2 20 "GO:0005852" "eukaryotic translation initiation factor 3 complex" 0.00935818795970171
603 5.88936512636444e-05 2 713 "GO:0005856" "cytoskeleton" 0.00113738364002913
-433 0.530120600971821 2 32 "GO:0005858" "axonemal dynein complex" 0.785646358274785
413 0.672266224357393 3 16 "GO:0005859" "muscle myosin complex" 0.869164281700562
1298 0.170195808612686 2 17 "GO:0005865;GO:0036379" "striated muscle thin filament" 0.416472931525656
480 0.56387759019271 2 22 "GO:0005868" "cytoplasmic dynein complex" 0.80665821930346
395 0.457677506997146 2 54 "GO:0005871" "kinesin complex" 0.732758288404757
180 0.417051512712577 2 315 "GO:0005874" "microtubule" 0.683654734367036
-124 0.692261994908979 2 158 "GO:0005875" "microtubule associated complex" 0.88028377130401
462 0.408320304314913 5 49 "GO:0005876" "spindle microtubule" 0.674666567886647
109 0.868692385591689 7 35 "GO:0005881" "cytoplasmic microtubule" 0.948501580027675
801 0.147112374750812 6 50 "GO:0005882" "intermediate filament" 0.381997678974798
2185 0.0301539894567486 7 15 "GO:0005883" "neurofilament" 0.128892748690657
842 0.229980531323022 6 31 "GO:0005884" "actin filament" 0.488412262397346
489 0.556694262237463 2 22 "GO:0005891" "voltage-gated calcium channel complex" 0.802273001704133
268 0.628170000722235 3 50 "GO:0005892" "acetylcholine-gated channel complex" 0.834671901833208
53 0.899440212780169 2 86 "GO:0005901" "caveola" 0.963497021518692
21 0.971636314675533 2 43 "GO:0005902" "microvillus" 0.987617175114275
-862 0.126368332411846 2 48 "GO:0005903" "brush border" 0.350819743635965
719 0.184341651080644 2 52 "GO:0005905" "clathrin-coated pit" 0.433167834098243
803 7.37299506653148e-05 4 382 "GO:0005911" "cell-cell junction" 0.00138076089427771
949 0.0200960782285807 2 92 "GO:0005912" "adherens junction" 0.0930093547897466
278 0.686920643626351 2 32 "GO:0005918" "septate junction" 0.88028377130401
1450 0.000263960662949595 2 97 "GO:0005923" "bicellular tight junction" 0.00407819224257124
826 0.00211445982886338 5 214 "GO:0005925" "focal adhesion" 0.016970599665423
697 0.000418780655898112 3 402 "GO:0005929" "cilium" 0.00548601646761526
163 0.70899016711097 2 80 "GO:0005930" "axoneme" 0.881315016872622
531 0.0170741216530107 2 314 "GO:0005938" "cell cortex" 0.0850924795060762
1216 0.280340026940614 2 12 "GO:0005942" "phosphatidylinositol 3-kinase complex" 0.560680053881228
1535 0.192027593553421 3 11 "GO:0005952" "cAMP-dependent protein kinase complex" 0.436933227371395
-684 0.527503870567383 3 13 "GO:0005963" "magnesium-dependent protein serine/threonine phosphatase complex" 0.78364757694866
34 0.978195454612978 2 10 "GO:0005971" "ribonucleoside-diphosphate reductase complex" 0.988663769500111
375 0.391878448860178 2 80 "GO:0008021" "synaptic vesicle" 0.659893409797248
118 0.855708976581369 3 36 "GO:0008023" "transcription elongation factor complex" 0.943290138687874
235 0.750418729645505 2 28 "GO:0008074" "guanylate cyclase complex, soluble" 0.888658894604227
461 0.206652810466055 5 115 "GO:0008076" "voltage-gated potassium channel complex" 0.454619421578054
247 0.806181297873531 3 15 "GO:0008180" "COP9 signalosome" 0.920299688844327
19 0.979083800183284 4 30 "GO:0008287" "protein serine/threonine phosphatase complex" 0.988663769500111
119 0.859340369063549 3 34 "GO:0008328;GO:0098878" "ionotropic glutamate receptor complex" 0.943290138687874
-2290 0.0634684104765875 2 10 "GO:0008540" "proteasome regulatory particle, base subcomplex" 0.213171074318104
-5326 1.58444318097138e-05 2 10 "GO:0008541" "proteasome regulatory particle, lid subcomplex" 0.000391674354336125
-1293 0.074545323496819 2 29 "GO:0009295" "nucleoid" 0.242468473268601
-1779 0.0201670769285211 2 26 "GO:0009507" "chloroplast" 0.0930093547897466
-1767 0.0187205631130195 4 27 "GO:0009536" "plastid" 0.0896845581693492
591 0.0528827767157857 2 165 "GO:0009897" "external side of plasma membrane" 0.188910728383558
1234 0.00533441072996594 2 78 "GO:0009898" "cytoplasmic side of plasma membrane" 0.0355518415407916
1484 0.0374398693406263 2 30 "GO:0009925" "basal plasma membrane" 0.146414114941323
-2358 0.0559779436772084 2 10 "GO:0009941;GO:0009526" "chloroplast envelope" 0.197682109671513
91 0.606134991488517 2 510 "GO:0009986" "cell surface" 0.820292125243333
169 0.402552979670329 5 383 "GO:0010008" "endosome membrane" 0.67031682185272
756 0.54016545563874 2 10 "GO:0010009" "cytoplasmic side of endosome membrane" 0.794814884725575
-493 0.553558775988465 2 22 "GO:0010494" "cytoplasmic stress granule" 0.802273001704133
222 0.601191170813614 2 85 "GO:0012505" "endomembrane system" 0.820292125243333
46 0.730789931783704 4 902 "GO:0012506" "vesicle membrane" 0.88461504068789
-1498 0.137014515425096 2 15 "GO:0012507" "ER to Golgi transport vesicle membrane" 0.361858848430382
726 0.0046869231461519 3 235 "GO:0014069;GO:0099572" "postsynaptic specialization" 0.0323025445933817
-858 0.206712067092934 6 33 "GO:0014704" "intercalated disc" 0.454619421578054
-118 0.880227348360447 4 25 "GO:0014731" "spectrin-associated cytoskeleton" 0.95771215015274
1013 0.185743724989312 3 26 "GO:0015030" "Cajal body" 0.434809174406799
204 0.39324811118471 2 273 "GO:0015629" "actin cytoskeleton" 0.660400360630845
264 0.597292169116048 4 61 "GO:0015630" "microtubule cytoskeleton" 0.820292125243333
-1696 0.000141577605668142 4 77 "GO:0015934" "large ribosomal subunit" 0.00249985600865462
-2306 3.01195592091601e-05 4 50 "GO:0015935" "small ribosomal subunit" 0.000715918753510036
2482 0.0173489521323068 2 14 "GO:0016010;GO:0090665" "dystrophin-associated glycoprotein complex" 0.0850924795060762
253 0.605202472173778 3 64 "GO:0016234" "inclusion body" 0.820292125243333
-287 0.702796510787854 4 27 "GO:0016235" "aggresome" 0.881315016872622
-295 0.192307180978996 2 304 "GO:0016323" "basolateral plasma membrane" 0.436933227371395
155 0.449983592329853 2 372 "GO:0016324" "apical plasma membrane" 0.724192343905857
2977 0.00121080307626538 2 18 "GO:0016327" "apicolateral plasma membrane" 0.0110040632519412
18 0.974842056071013 2 49 "GO:0016328" "lateral plasma membrane" 0.988663769500111
581 0.166452562876473 2 87 "GO:0016363" "nuclear matrix" 0.413007243615193
1303 0.211684389847236 3 14 "GO:0016442;GO:0031332" "RNAi effector complex" 0.462290773402364
-344 0.49255641456357 2 61 "GO:0016459" "myosin complex" 0.759101905736375
-1356 0.0571491907852284 2 30 "GO:0016460" "myosin II complex" 0.198859748371657
-2739 0.0264626459171971 3 10 "GO:0016461" "unconventional myosin complex" 0.115985214020055
-1821 0.0419798313936932 3 19 "GO:0016469" "proton-transporting two-sector ATPase complex" 0.159162796327009
41 0.951934502719039 5 33 "GO:0016529" "sarcoplasmic reticulum" 0.983199831061425
478 0.488877881630319 3 32 "GO:0016592" "mediator complex" 0.755316327118843
674 0.000344625007164993 2 444 "GO:0016604" "nuclear body" 0.00484041487336286
85 0.827975521589584 3 100 "GO:0016605" "PML body" 0.932038018838548
937 0.000548851896800957 2 210 "GO:0016607" "nuclear speck" 0.00652289369659599
1837 0.0186725527554335 3 25 "GO:0017053" "transcription repressor complex" 0.0896845581693492
-3999 0.000220137613908523 2 13 "GO:0017101" "aminoacyl-tRNA synthetase multienzyme complex" 0.00358013277356493
-593 0.556284406533463 2 15 "GO:0017119" "Golgi transport complex" 0.802273001704133
1280 0.276474922921776 2 11 "GO:0017146" "NMDA selective glutamate receptor complex" 0.559339274443761
219 0.621298596892065 2 78 "GO:0018995" "host cellular component" 0.834459717104212
665 0.0242434950162569 5 177 "GO:0019005" "SCF ubiquitin ligase complex" 0.108568695072803
242 0.810183525938411 2 15 "GO:0019013" "viral nucleocapsid" 0.920392314393268
-1277 4.3122390441572e-08 2 286 "GO:0019866" "organelle inner membrane" 1.77664248619277e-06
0 0.999246088798723 3 128 "GO:0019867" "outer membrane" 0.999246088798723
1085 0.00414731272340013 2 107 "GO:0019897" "extrinsic component of plasma membrane" 0.0294602214144975
905 0.000872939923219387 2 209 "GO:0019898" "extrinsic component of membrane" 0.00899128120915969
-51 0.95823951989611 2 16 "GO:0020002" "host cell plasma membrane" 0.983237099166626
-3928 9.70033770250366e-05 2 15 "GO:0022624" "proteasome accessory complex" 0.00176317902945508
-2162 0.000760208451068743 5 37 "GO:0022625" "cytosolic large ribosomal subunit" 0.00824226004842953
