"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
-1812 0.123546394444609 2 11 "GO:0000109" "nucleotide-excision repair complex" 0.304189927357643
-1342 0.0259650161326346 3 42 "GO:0000118" "histone deacetylase complex" 0.10915904741475
-1830 0.000577826150461098 2 54 "GO:0000123" "histone acetyltransferase complex" 0.00924742153267026
155 0.327131502268331 4 640 "GO:0000139" "Golgi membrane" 0.566294869472909
-21 0.896284640035343 3 616 "GO:0000151" "ubiquitin ligase complex" 0.976434314492388
-758 0.198279415932115 2 44 "GO:0000152" "nuclear ubiquitin ligase complex" 0.416791425326691
1231 0.019461767620938 2 55 "GO:0000153" "cytoplasmic ubiquitin ligase complex" 0.0962189791179175
-2000 0.0551470214110114 3 14 "GO:0000176" "nuclear exosome (RNase complex)" 0.184220860713541
-460 0.647870863828836 5 15 "GO:0000177" "cytoplasmic exosome (RNase complex)" 0.821462356299455
-755 0.353416166785057 3 23 "GO:0000178;GO:1905354" "exoribonuclease complex" 0.593508671394471
-1605 0.000708729154384805 4 68 "GO:0000228" "nuclear chromosome" 0.0106827955465807
-1840 0.0890181228554619 2 13 "GO:0000242" "pericentriolar material" 0.251164171303883
-333 0.757996176254006 3 13 "GO:0000307" "cyclin-dependent protein kinase holoenzyme complex" 0.89397258955148
368 0.689060852964348 3 18 "GO:0000322" "storage vacuole" 0.843246746795974
375 0.073500672852677 3 356 "GO:0000323" "lytic vacuole" 0.220502018558031
116 0.911194334779208 2 14 "GO:0000324" "fungal-type vacuole" 0.980383532465315
773 0.443022335158135 2 15 "GO:0000407" "phagophore assembly site" 0.677692581999325
2996 0.002128965512947 3 16 "GO:0000421" "autophagosome membrane" 0.0202031542970708
528 0.349031968950908 2 48 "GO:0000428" "DNA-directed RNA polymerase complex" 0.589349062326943
-816 0.152116347091582 3 47 "GO:0000502" "proteasome complex" 0.346892629160877
-2411 4.22809730827586e-05 2 44 "GO:0000775" "chromosome, centromeric region" 0.00118771097114295
-1863 0.000583575145265599 3 52 "GO:0000776" "kinetochore" 0.00924742153267026
-2137 4.9831468890858e-05 2 55 "GO:0000781" "chromosome, telomeric region" 0.00133894990324132
-1189 0.00482776269768347 2 86 "GO:0000785" "chromatin" 0.0342937626111309
414 0.343553406182291 2 80 "GO:0000786" "nucleosome" 0.584892575814479
-2371 0.00239023460162215 3 25 "GO:0000792" "heterochromatin" 0.0214081881710506
-1782 0.00348804846427669 4 41 "GO:0000793" "condensed chromosome" 0.027286252543329
-1700 0.0111294127342983 2 34 "GO:0000794" "condensed nuclear chromosome" 0.0631007070623518
-2748 0.0258905215519664 3 10 "GO:0000795;GO:0099086" "synaptonemal complex" 0.10915904741475
-790 0.502011071457481 2 11 "GO:0000812" "Swr1 complex" 0.722509118935765
1332 0.0181593247565268 3 48 "GO:0000836;GO:0000835" "Hrd1p ubiquitin ligase complex" 0.092896582816936
509 0.0138469014741486 2 366 "GO:0000922" "spindle pole" 0.0737975279031438
401 0.16273785999314 2 187 "GO:0000932" "P-body" 0.367051085677958
101 0.891433278458555 2 28 "GO:0000943" "retrotransposon nucleocapsid" 0.973331742203864
-2914 0.0132459762314179 2 11 "GO:0000974" "Prp19 complex" 0.0724425956727103
-5 0.992602405481522 2 56 "GO:0001527" "microfibril" 0.994211161406127
-1504 0.00224960712831777 2 63 "GO:0001650" "fibrillar center" 0.0204449589014762
-1512 0.0284976619504086 6 32 "GO:0001669" "acrosomal vesicle" 0.115108203172239
1280 0.067956140186034 3 31 "GO:0001725;GO:0097517" "stress fiber" 0.212105528459439
523 0.240627839651084 4 77 "GO:0001726" "ruffle" 0.469110425565836
-148 0.803968635099915 2 43 "GO:0001750" "photoreceptor outer segment" 0.918396703311918
-768 0.356161432536827 2 22 "GO:0001891" "phagocytic cup" 0.594885852183133
950 0.214608865036189 2 26 "GO:0001917" "photoreceptor inner segment" 0.440256881923589
-993 0.267563742792334 3 19 "GO:0002102" "podosome" 0.499560099835838
-883 0.414397283370724 2 13 "GO:0002116" "semaphorin receptor complex" 0.658517666680629
280 0.169973073698024 2 376 "GO:0005581" "collagen trimer" 0.37515485551921
206 0.768861541755245 2 31 "GO:0005583" "fibrillar collagen trimer" 0.89940833330725
1328 0.258957041430135 3 11 "GO:0005584" "collagen type I trimer" 0.487912962206779
2293 0.0340928139524913 2 13 "GO:0005593" "FACIT collagen trimer" 0.135931348533159
616 0.00821306588870781 2 286 "GO:0005604" "basement membrane" 0.0518427641904009
-627 0.562389758962969 2 13 "GO:0005614" "interstitial matrix" 0.751481332902885
308 0.00929518461484928 2 1191 "GO:0005615" "extracellular space" 0.0547088008759701
522 0.326628292500703 3 54 "GO:0005618" "cell wall" 0.566294869472909
338 0.0210889599252285 2 749 "GO:0005622" "intracellular anatomical structure" 0.0994883758304673
42 0.943630250889169 -1 44 "GO:0005623" "obsolete cell" 0.985829655395171
38 0.903809496148224 2 157 "GO:0005635" "nuclear envelope" 0.97789681759485
297 0.739813123322442 4 19 "GO:0005637" "nuclear inner membrane" 0.879239442717825
-194 0.789374104863511 4 29 "GO:0005639;GO:0031229" "intrinsic component of nuclear inner membrane" 0.914097199122676
766 0.299132426907502 5 28 "GO:0005641" "nuclear envelope lumen" 0.536209964842683
-787 0.150187465916717 3 51 "GO:0005643" "nuclear pore" 0.344123998849092
-862 2.00267671046142e-15 2 1445 "GO:0005654" "nucleoplasm" 1.23765420706516e-12
-749 0.137530025469769 2 60 "GO:0005657" "replication fork" 0.325645807434166
997 0.322451887520483 2 15 "GO:0005665" "RNA polymerase II, core complex" 0.564519168520279
423 0.664666538102181 2 16 "GO:0005666" "RNA polymerase III complex" 0.82982610211545
-505 0.0845601270354424 2 180 "GO:0005667" "transcription regulator complex" 0.243398334065829
-1794 0.0397782290931853 2 20 "GO:0005669" "transcription factor TFIID complex" 0.15104030094672
-475 0.660887789143187 -1 13 "GO:0005671" "obsolete Ada2/Gcn5/Ada3 transcription activator complex" 0.82982610211545
326 0.791330099564129 6 10 "GO:0005675" "transcription factor TFIIH holo complex" 0.914097199122676
-1053 0.239743283109386 2 19 "GO:0005680" "anaphase-promoting complex" 0.468865028359495
-939 0.00129267382927329 2 181 "GO:0005681" "spliceosomal complex" 0.0147939338239054
651 0.360857243410891 5 30 "GO:0005682" "U5 snRNP" 0.599488646311641
-1585 0.0422566399979593 4 25 "GO:0005684" "U2-type spliceosomal complex" 0.156374871369694
