"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
-1424 0.22619712084848 2 11 "GO:0000109" "nucleotide-excision repair complex" 0.519664760908404
-179 0.7671444164315 3 42 "GO:0000118" "histone deacetylase complex" 0.913470487964843
545 0.305857168925726 2 54 "GO:0000123" "histone acetyltransferase complex" 0.596276752038166
-109 0.490224616492865 2 640 "GO:0000139" "Golgi membrane" 0.734106681017803
170 0.291398656388845 2 616 "GO:0000151" "ubiquitin ligase complex" 0.583944362666686
99 0.867194514574278 3 44 "GO:0000152" "nuclear ubiquitin ligase complex" 0.935545885634777
-1294 0.0140832104498286 3 55 "GO:0000153" "cytoplasmic ubiquitin ligase complex" 0.0755219030533742
2866 0.00600458395222559 3 14 "GO:0000176" "nuclear exosome (RNase complex)" 0.0386545091924522
811 0.421030140162463 3 15 "GO:0000177" "cytoplasmic exosome (RNase complex)" 0.701338616227499
1841 0.0237326321974718 3 23 "GO:0000178;GO:1905354" "exoribonuclease complex" 0.108778192796698
-185 0.69705426039018 6 68 "GO:0000228" "nuclear chromosome" 0.875568156343763
-1497 0.166574234120287 2 13 "GO:0000242" "pericentriolar material" 0.432533095320745
-1721 0.1118118827497 3 13 "GO:0000307" "cyclin-dependent protein kinase holoenzyme complex" 0.342077938313439
-678 0.460994635576074 2 18 "GO:0000322" "storage vacuole" 0.718072223190406
-333 0.111585922156778 2 356 "GO:0000323" "lytic vacuole" 0.342077938313439
-308 0.767815103130069 2 14 "GO:0000324" "fungal-type vacuole" 0.913470487964843
1910 0.0580571552752829 2 15 "GO:0000407" "phagophore assembly site" 0.218776353415395
2938 0.00260453432297036 6 16 "GO:0000421" "autophagosome membrane" 0.0201673336418941
878 0.119326317918283 2 48 "GO:0000428" "DNA-directed RNA polymerase complex" 0.347423808975341
5093 4.04383852566053e-19 3 47 "GO:0000502" "proteasome complex" 1.2495461044291e-16
-1748 0.00269454971726992 3 45 "GO:0000775" "chromosome, centromeric region" 0.0203077039667416
-1151 0.0336577155934139 2 52 "GO:0000776" "kinetochore" 0.142468960525547
-1029 0.0508810329652928 3 55 "GO:0000781" "chromosome, telomeric region" 0.195307319084167
-1166 0.00544860879694162 2 87 "GO:0000785" "chromatin" 0.0358217046437226
-1680 0.000122352884425346 2 80 "GO:0000786" "nucleosome" 0.00164378440380139
-1847 0.0158385898405845 2 26 "GO:0000792" "heterochromatin" 0.0836602437733438
-1496 0.0141756322883356 3 41 "GO:0000793" "condensed chromosome" 0.0755219030533742
-1017 0.128973029609835 2 34 "GO:0000794" "condensed nuclear chromosome" 0.360657612212118
-2097 0.0891961107030319 3 10 "GO:0000795;GO:0099086" "synaptonemal complex" 0.294776451414298
115 0.921886665181515 3 11 "GO:0000812" "Swr1 complex" 0.962951199019391
-1577 0.00516567588946791 5 48 "GO:0000836;GO:0000835" "Hrd1p ubiquitin ligase complex" 0.034699866300991
-382 0.0645931755194306 2 366 "GO:0000922" "spindle pole" 0.233442002754433
-671 0.0194301684792167 2 187 "GO:0000932" "P-body" 0.0952988809643849
307 0.677201013086765 2 28 "GO:0000943" "retrotransposon nucleocapsid" 0.861132152443664
2982 0.0112523685726169 2 11 "GO:0000974" "Prp19 complex" 0.0609996822620811
-1027 0.0492777481114031 2 56 "GO:0001527" "microfibril" 0.190335302080294
621 0.207366107667565 2 63 "GO:0001650" "fibrillar center" 0.492893286686751
-1614 0.0193571004228699 9 32 "GO:0001669" "acrosomal vesicle" 0.0952988809643849
-1184 0.0912717859652439 2 31 "GO:0001725;GO:0097517" "stress fiber" 0.300031721949578
-105 0.813329088068715 2 77 "GO:0001726" "ruffle" 0.927406030675727
-1559 0.00888081553752992 2 43 "GO:0001750" "photoreceptor outer segment" 0.0517768302093725
603 0.468603507105497 2 22 "GO:0001891" "phagocytic cup" 0.722335318563026
-1146 0.134533231647094 2 26 "GO:0001917" "photoreceptor inner segment" 0.371167576597786
-214 0.811520103759755 2 19 "GO:0002102" "podosome" 0.927406030675727
-74 0.945324217945158 2 13 "GO:0002116" "semaphorin receptor complex" 0.976940412525264
-841 3.77800449053275e-05 2 376 "GO:0005581" "collagen trimer" 0.000631028858148443
-1203 0.0862558345031098 2 31 "GO:0005583" "fibrillar collagen trimer" 0.288141112015794
-4771 5.01590064729835e-05 3 11 "GO:0005584" "collagen type I trimer" 0.000794827333341123
-1134 0.294634253441503 2 13 "GO:0005593" "FACIT collagen trimer" 0.586252874199107
-435 0.0619426391587073 2 286 "GO:0005604" "basement membrane" 0.226512136095154
-2179 0.0441335868300268 4 13 "GO:0005614" "interstitial matrix" 0.176964469906006
-396 0.000817055761404249 2 1191 "GO:0005615" "extracellular space" 0.00797132425491353
-1006 0.0585735895340958 2 54 "GO:0005618" "cell wall" 0.219384717164068
431 0.00332015658091255 2 749 "GO:0005622" "intracellular anatomical structure" 0.0235845605402754
-140 0.811722603025115 -1 44 "GO:0005623" "obsolete cell" 0.927406030675727
-166 0.596865178118029 3 157 "GO:0005635" "nuclear envelope" 0.811319894251886
-964 0.28165392850933 2 19 "GO:0005637" "nuclear inner membrane" 0.577516222825754
407 0.574587325729478 4 29 "GO:0005639;GO:0031229" "intrinsic component of nuclear inner membrane" 0.799379596448984
1081 0.14295997358804 6 28 "GO:0005641" "nuclear envelope lumen" 0.39092594547526
158 0.773170702820334 2 51 "GO:0005643" "nuclear pore" 0.915363015982694
328 0.00249448594913227 2 1445 "GO:0005654" "nucleoplasm" 0.0197640040585095
-111 0.825460417302354 2 60 "GO:0005657" "replication fork" 0.927406030675727
2087 0.0383387181901906 4 15 "GO:0005665" "RNA polymerase II, core complex" 0.159015623097569
3194 0.00106086172826052 4 16 "GO:0005666" "RNA polymerase III complex" 0.00950163113137683
62 0.832466368383727 2 180 "GO:0005667" "transcription regulator complex" 0.927406030675727
1960 0.0247265780067491 3 20 "GO:0005669" "transcription factor TFIID complex" 0.112360479471845
-1063 0.326174449205583 -1 13 "GO:0005671" "obsolete Ada2/Gcn5/Ada3 transcription activator complex" 0.614560395149544
1329 0.28139930435771 6 10 "GO:0005675" "transcription factor TFIIH holo complex" 0.577516222825754
-572 0.522709395430884 2 19 "GO:0005680" "anaphase-promoting complex" 0.758296728582832
2212 3.51377857013349e-14 3 181 "GO:0005681" "spliceosomal complex" 4.14144819880963e-12
1814 0.0109279740100332 2 30 "GO:0005682" "U5 snRNP" 0.0609996822620811
3131 6.08367974056452e-05 2 25 "GO:0005684" "U2-type spliceosomal complex" 0.000939928519917218
3075 0.00227273670669438 4 15 "GO:0005685" "U1 snRNP" 0.0187310927529605
4752 2.40475212473832e-06 4 15 "GO:0005686" "U2 snRNP" 5.30763147531529e-05
