"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
676 0.565544337067795 2 11 "GO:0000109" "nucleotide-excision repair complex" 0.788745678514214
1416 0.0188399947573755 2 42 "GO:0000118" "histone deacetylase complex" 0.102736923255063
980 0.0655046182422366 2 54 "GO:0000123" "histone acetyltransferase complex" 0.235359616707571
-416 0.00838789193346861 2 640 "GO:0000139" "Golgi membrane" 0.0563403441760252
535 0.000890977688154457 2 616 "GO:0000151" "ubiquitin ligase complex" 0.0114713377349886
621 0.2919230240443 3 44 "GO:0000152" "nuclear ubiquitin ligase complex" 0.536929847795766
702 0.182882954174338 3 55 "GO:0000153" "cytoplasmic ubiquitin ligase complex" 0.424893479999026
1081 0.300111153346219 3 14 "GO:0000176" "nuclear exosome (RNase complex)" 0.54487524321769
696 0.489739499272217 3 15 "GO:0000177" "cytoplasmic exosome (RNase complex)" 0.729298820602964
1745 0.0320272264184542 3 23 "GO:0000178;GO:1905354" "exoribonuclease complex" 0.148818240049659
2001 2.44688722219915e-05 3 68 "GO:0000228" "nuclear chromosome" 0.000540062965471098
2484 0.0217375262216684 2 13 "GO:0000242" "pericentriolar material" 0.11384568817789
849 0.432905121407402 2 13 "GO:0000307" "cyclin-dependent protein kinase holoenzyme complex" 0.681235301661718
-56 0.95146828596055 3 18 "GO:0000322" "storage vacuole" 0.978381698375407
-1668 1.72073026424702e-15 2 356 "GO:0000323" "lytic vacuole" 3.54470434434886e-13
-171 0.869498674334712 4 14 "GO:0000324" "fungal-type vacuole" 0.939128810382394
1718 0.0881943452576343 2 15 "GO:0000407" "phagophore assembly site" 0.272078412416146
-448 0.646117315593878 2 16 "GO:0000421" "autophagosome membrane" 0.834621108727917
-862 0.126547340645034 2 48 "GO:0000428" "DNA-directed RNA polymerase complex" 0.341450133419069
-1771 0.00189133828320943 3 47 "GO:0000502" "proteasome complex" 0.0185531279210068
2531 1.38383894890285e-05 3 45 "GO:0000775" "chromosome, centromeric region" 0.000328927873239216
637 0.239787227405787 3 52 "GO:0000776" "kinetochore" 0.481131514729793
1669 0.00154458440402819 3 55 "GO:0000781" "chromosome, telomeric region" 0.016552475511982
1855 9.75040930318263e-06 2 87 "GO:0000785" "chromatin" 0.000241030117974675
-1066 0.0147627006111264 3 80 "GO:0000786" "nucleosome" 0.0850350521679011
2857 0.000190330192459609 3 26 "GO:0000792" "heterochromatin" 0.00317902862000104
1689 0.00561784521828285 4 41 "GO:0000793" "condensed chromosome" 0.0418292571674554
1763 0.00847840130804263 5 34 "GO:0000794" "condensed nuclear chromosome" 0.0563403441760252
3836 0.00187956015149601 2 10 "GO:0000795;GO:0099086" "synaptonemal complex" 0.0185531279210068
-591 0.61547023215854 3 11 "GO:0000812" "Swr1 complex" 0.816154679824211
