"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
1002 0.391947265219201 2 17 "GO:0000030" "mannosyltransferase activity" 0.646224950952221
-2601 0.000354827892216164 2 44 "GO:0000049" "tRNA binding" 0.00438171187829728
-1084 0.384192553417602 5 15 "GO:0000062;GO:1901567" "fatty-acyl-CoA binding" 0.639465896559568
-1277 0.26169329910952 3 18 "GO:0000099" "sulfur amino acid transmembrane transporter activity" 0.516576735416933
1373 0.240871237950277 2 17 "GO:0000146" "microfilament motor activity" 0.496709232433387
550 0.272751724829253 2 93 "GO:0000149" "SNARE binding" 0.531490517006728
861 0.392248783779887 5 23 "GO:0000175" "3'-5'-exoribonuclease activity" 0.646224950952221
-1636 0.0246538179917954 2 44 "GO:0000217" "DNA secondary structure binding" 0.114516421889598
-360 0.294567897583136 2 200 "GO:0000287" "magnesium ion binding" 0.55152375946512
849 0.481810053822301 3 16 "GO:0000339" "RNA cap binding" 0.718747987421632
-1591 0.161941098396401 3 18 "GO:0000400" "four-way junction DNA binding" 0.408467326930088
-2227 0.0738449533092904 4 15 "GO:0000403" "Y-form DNA binding" 0.247392241055099
-2359 0.122155144272953 3 10 "GO:0000405" "bubble DNA binding" 0.352523813092055
1257 4.59553222940075e-06 2 315 "GO:0000976;GO:0001067" "transcription regulatory region nucleic acid binding" 0.000119035493356673
1292 7.34572375785145e-05 2 222 "GO:0000977" "RNA polymerase II transcription regulatory region sequence-specific DNA binding" 0.0012382791477521
1128 0.00918438024118861 4 125 "GO:0000978" "RNA polymerase II cis-regulatory region sequence-specific DNA binding" 0.0591654979681133
3773 0.00246402561714976 2 15 "GO:0000979" "RNA polymerase II core promoter sequence-specific DNA binding" 0.0218066267117754
698 0.037286557083664 2 210 "GO:0000981" "DNA-binding transcription factor activity, RNA polymerase II-specific" 0.152301244703274
1074 0.00919237962781421 3 138 "GO:0000987" "cis-regulatory region sequence-specific DNA binding" 0.0591654979681133
2548 0.00831335062560296 2 25 "GO:0000993" "RNA polymerase II complex binding" 0.0558783440784199
1453 0.0413649489023255 3 46 "GO:0001046" "core promoter sequence-specific DNA binding" 0.166091252616559
1704 0.0459107968455087 4 32 "GO:0001099;GO:0001098" "basal RNA polymerase II transcription machinery binding" 0.179916111623359
2772 0.0692653393804178 -1 10 "GO:0001191" "obsolete transcriptional repressor activity, RNA polymerase II transcription factor binding" 0.240391471967332
-1689 0.245698643726773 2 11 "GO:0001221" "transcription coregulator binding" 0.501792230072756
643 0.551376627322256 3 20 "GO:0001227;GO:0001217" "DNA-binding transcription repressor activity, RNA polymerase II-specific" 0.770476287126626
1664 0.0121885833649394 3 53 "GO:0001228;GO:0001216" "DNA-binding transcription activator activity, RNA polymerase II-specific" 0.0711223930415695
-90 0.912530625364841 4 35 "GO:0001517" "N-acetylglucosamine 6-O-sulfotransferase activity" 0.955727341358443
885 0.152468565519083 3 61 "GO:0001530" "lipopolysaccharide binding" 0.392062025620499
1072 0.182870223073601 4 36 "GO:0001537" "N-acetylgalactosamine 4-O-sulfotransferase activity" 0.433500394875367
-232 0.612435889060558 4 112 "GO:0001540" "amyloid-beta binding" 0.816242131040323
234 0.62968456803803 2 99 "GO:0001594" "trace-amine receptor activity" 0.825586433649862
-1609 0.196667221014847 2 15 "GO:0001601" "peptide YY receptor activity" 0.448198688235553
-169 0.863893378851093 2 24 "GO:0001602" "pancreatic polypeptide receptor activity" 0.945735343262267
1680 0.209433367868464 2 13 "GO:0001607" "neuromedin U receptor activity" 0.464803853177375
173 0.656880425523013 3 155 "GO:0001609" "G protein-coupled adenosine receptor activity" 0.843539313065828
164 0.873044154278208 2 22 "GO:0001614;GO:0016502" "purinergic nucleotide receptor activity" 0.945735343262267
-2696 0.0104716729164843 3 21 "GO:0001618;GO:0140272" "virus receptor activity" 0.0644182547396423
1355 0.26150176861217 6 16 "GO:0001640" "adenylate cyclase inhibiting G protein-coupled glutamate receptor activity" 0.516576735416933
129 0.536331121217404 2 552 "GO:0001653" "peptide receptor activity" 0.760458812727481
-109 0.682443527416181 2 335 "GO:0001664" "G protein-coupled receptor binding" 0.860754187786204
5356 0.000232114226761613 2 11 "GO:0001671" "ATPase activator activity" 0.00320136764702381
-234 0.819945218597486 5 22 "GO:0001733;GO:0050694" "galactose 3-O-sulfotransferase activity" 0.930039111329759
2542 0.041311970774028 2 15 "GO:0001784" "phosphotyrosine residue binding" 0.166091252616559
1690 0.0108708487620578 3 53 "GO:0001786" "phosphatidylserine binding" 0.0655956896892351
-170 0.769703466978966 2 69 "GO:0001965" "G-protein alpha-subunit binding" 0.905206613724638
256 0.848126077300347 2 13 "GO:0001968" "fibronectin binding" 0.945735343262267
894 0.0307052401601524 3 137 "GO:0002020" "protease binding" 0.133097816530946
1593 0.0223705432564148 2 48 "GO:0002039" "p53 binding" 0.107015842064471
1728 0.151991345368408 2 16 "GO:0002162" "dystroglycan binding" 0.392062025620499
32 0.951053105702512 2 84 "GO:0003678" "DNA helicase activity" 0.981553351074896
-2259 0.0413747618358895 3 19 "GO:0003680" "minor groove of adenine-thymine-rich DNA binding" 0.166091252616559
746 0.00175499585651322 2 420 "GO:0003682" "chromatin binding" 0.0165130216628833
-96 0.877140737862599 2 60 "GO:0003684" "damaged DNA binding" 0.945735343262267
1016 2.87829792320708e-05 2 404 "GO:0003690" "double-stranded DNA binding" 0.000576745734801117
-68 0.892458682238631 2 93 "GO:0003697" "single-stranded DNA binding" 0.946108562318412
1140 4.89780061264723e-08 2 551 "GO:0003700" "DNA-binding transcription factor activity" 2.73761276349019e-06
-154 0.878024780845332 2 23 "GO:0003707" "steroid hormone receptor activity" 0.945735343262267
663 0.0642838609225368 2 183 "GO:0003712" "transcription coregulator activity" 0.230640068580183
735 0.114264725890153 3 108 "GO:0003713" "transcription coactivator activity" 0.33521861573299
806 0.196202696467373 2 60 "GO:0003714" "transcription corepressor activity" 0.448101642254516
443 0.00144068317346341 2 1304 "GO:0003723" "RNA binding" 0.0142991171048424
1249 0.171045836776854 2 28 "GO:0003725" "double-stranded RNA binding" 0.41951657888457
-80 0.897609618629037 2 60 "GO:0003727" "single-stranded RNA binding" 0.948518820879639
