"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
911 0.436639112614903 2 17 "GO:0000030" "mannosyltransferase activity" 0.799411033254414
-575 0.430079929867288 5 44 "GO:0000049" "tRNA binding" 0.796802575618795
-163 0.895914795946133 4 15 "GO:0000062;GO:1901567" "fatty-acyl-CoA binding" 0.980888158035869
-1775 0.118708385517071 3 18 "GO:0000099" "sulfur amino acid transmembrane transporter activity" 0.543397868185903
-2055 0.0792069917480387 2 17 "GO:0000146" "microfilament motor activity" 0.431830858557075
204 0.684225518542893 3 93 "GO:0000149" "SNARE binding" 0.909018177265266
-710 0.480381524334723 2 23 "GO:0000175" "3'-5'-exoribonuclease activity" 0.819513013854959
-452 0.53504618014759 4 44 "GO:0000217" "DNA secondary structure binding" 0.84775100155568
-231 0.500218625585053 5 200 "GO:0000287" "magnesium ion binding" 0.830058945177125
-4627 0.000126116868039574 2 16 "GO:0000339" "RNA cap binding" 0.00582330929817511
-1038 0.361455307921356 5 18 "GO:0000400" "four-way junction DNA binding" 0.748265938858865
53 0.965814459355231 6 15 "GO:0000403" "Y-form DNA binding" 0.996922859648531
-702 0.645550120911205 5 10 "GO:0000405" "bubble DNA binding" 0.895295077324773
-831 0.00242004179584118 2 316 "GO:0000976;GO:0001067" "transcription regulatory region nucleic acid binding" 0.0584110087996212
-640 0.0490957589368906 3 223 "GO:0000977" "RNA polymerase II transcription regulatory region sequence-specific DNA binding" 0.364613258678167
-739 0.0881345018548206 6 125 "GO:0000978" "RNA polymerase II cis-regulatory region sequence-specific DNA binding" 0.458817847891272
-1277 0.305723509170432 2 15 "GO:0000979" "RNA polymerase II core promoter sequence-specific DNA binding" 0.710564501240825
-298 0.371975325600449 3 211 "GO:0000981" "DNA-binding transcription factor activity, RNA polymerase II-specific" 0.749498564778608
-678 0.100087400789975 3 138 "GO:0000987" "cis-regulatory region sequence-specific DNA binding" 0.487581741463089
-88 0.927760300463511 3 25 "GO:0000993" "RNA polymerase II complex binding" 0.989405374624166
-1200 0.092204095704775 6 46 "GO:0001046" "core promoter sequence-specific DNA binding" 0.468520333198426
-172 0.84004269823176 4 32 "GO:0001099;GO:0001098" "basal RNA polymerase II transcription machinery binding" 0.964399931879515
-2925 0.0552615553336267 -1 10 "GO:0001191" "obsolete transcriptional repressor activity, RNA polymerase II transcription factor binding" 0.372886096454613
-209 0.886093654423694 2 11 "GO:0001221" "transcription coregulator binding" 0.97878211952356
-298 0.782233862158076 4 20 "GO:0001227;GO:0001217" "DNA-binding transcription repressor activity, RNA polymerase II-specific" 0.937921687951186
-346 0.598808756337195 3 54 "GO:0001228;GO:0001216" "DNA-binding transcription activator activity" 0.875943387369285
234 0.774258482701836 5 35 "GO:0001517" "N-acetylglucosamine 6-O-sulfotransferase activity" 0.937585528653763
51 0.934769860733308 2 61 "GO:0001530" "lipopolysaccharide binding" 0.990842505082972
2 0.99848244609841 5 36 "GO:0001537" "N-acetylgalactosamine 4-O-sulfotransferase activity" 0.999423522861933
602 0.18848739452358 4 112 "GO:0001540" "amyloid-beta binding" 0.61973254793821
-121 0.803473386435424 2 99 "GO:0001594" "trace-amine receptor activity" 0.9480985959938
813 0.514139875174071 7 15 "GO:0001601" "peptide YY receptor activity" 0.835821858269424
905 0.35865460844028 4 24 "GO:0001602" "pancreatic polypeptide receptor activity" 0.748265938858865
-190 0.886887304587387 2 13 "GO:0001607" "neuromedin U receptor activity" 0.97878211952356
-40 0.91854998478717 2 155 "GO:0001609" "G protein-coupled adenosine receptor activity" 0.987341429183386
246 0.810952517509726 5 22 "GO:0001614;GO:0016502" "purinergic nucleotide receptor activity" 0.951134650349403
1190 0.258798334918163 3 21 "GO:0001618;GO:0140272" "virus receptor activity" 0.676955250450958
-834 0.489426791197617 6 16 "GO:0001640" "adenylate cyclase inhibiting G protein-coupled glutamate receptor activity" 0.823697435786715
147 0.48075010134806 3 552 "GO:0001653" "peptide receptor activity" 0.819513013854959
232 0.38449223351748 2 335 "GO:0001664" "G protein-coupled receptor binding" 0.758132272147541
1209 0.406139863073209 3 11 "GO:0001671" "ATPase activator activity" 0.783316934653822
-707 0.491905827753611 3 22 "GO:0001733;GO:0050694" "galactose 3-O-sulfotransferase activity" 0.825282763150608
65 0.95864585006733 5 15 "GO:0001784" "phosphotyrosine residue binding" 0.996033233907471
409 0.538026530177522 3 53 "GO:0001786" "phosphatidylserine binding" 0.84775100155568
237 0.684206502001054 3 69 "GO:0001965" "G-protein alpha-subunit binding" 0.909018177265266
-345 0.796668669654097 3 13 "GO:0001968" "fibronectin binding" 0.945320812483409
609 0.141325306618882 2 137 "GO:0002020" "protease binding" 0.565251487874594
-647 0.353455387212589 2 48 "GO:0002039" "p53 binding" 0.747748249441772
-1177 0.329612704873174 3 16 "GO:0002162" "dystroglycan binding" 0.729500143047891
-757 0.151655614877051 2 84 "GO:0003678" "DNA helicase activity" 0.568119814482451
-179 0.871400416066858 5 19 "GO:0003680" "minor groove of adenine-thymine-rich DNA binding" 0.975479724443067
-764 0.0013517051794174 2 420 "GO:0003682" "chromatin binding" 0.035887772513532
-1530 0.0142101555704987 2 60 "GO:0003684" "damaged DNA binding" 0.195989418387917
-1051 1.49249828049621e-05 4 405 "GO:0003690" "double-stranded DNA binding" 0.00145573049939123
-1624 0.00121139228980439 3 93 "GO:0003697" "single-stranded DNA binding" 0.0332720685154961
-424 0.0421880043753773 2 552 "GO:0003700" "DNA-binding transcription factor activity" 0.334355676467542
150 0.881904990833566 3 23 "GO:0003707" "steroid hormone receptor activity" 0.97769135140822
-1045 0.00357439520518843 2 183 "GO:0003712" "transcription coregulator activity" 0.07746954505939
-595 0.201185736249315 2 108 "GO:0003713" "transcription coactivator activity" 0.639013989256707
-2341 0.000175247888170855 2 60 "GO:0003714" "transcription corepressor activity" 0.00715820220144031
-464 0.000850184331690793 3 1304 "GO:0003723" "RNA binding" 0.0250804377848784
-723 0.428028869382992 2 28 "GO:0003725" "double-stranded RNA binding" 0.796802575618795
-1753 0.00496169259053494 4 60 "GO:0003727" "single-stranded RNA binding" 0.0975799542805205
-1185 0.00529603019069084 4 130 "GO:0003729" "mRNA binding" 0.100435429687744
-1409 0.0844023940261405 6 35 "GO:0003730" "mRNA 3'-UTR binding" 0.44673086831853
3349 4.61327514989642e-16 2 138 "GO:0003735" "structural constituent of ribosome" 4.89929820919e-13
445 0.510794038842984 5 51 "GO:0003743" "translation initiation factor activity" 0.833276911292241
1204 0.368417928363256 3 13 "GO:0003746" "translation elongation factor activity" 0.749498564778608
136 0.860745393914957 2 39 "GO:0003755" "peptidyl-prolyl cis-trans isomerase activity" 0.972459157806047
-945 0.381297530474642 4 20 "GO:0003756;GO:0016864" "intramolecular oxidoreductase activity, transposing S-S bonds" 0.756893415633775
-1532 9.2309635529221e-05 1 153 "GO:0003774" "cytoskeletal motor activity" 0.00515962278589646
-1793 0.000146672639573586 2 105 "GO:0003777" "microtubule motor activity" 0.00649026430113118
-488 0.0363769057398708 4 440 "GO:0003779" "actin binding" 0.309058191165942
-1267 0.218444050090592 2 22 "GO:0003823" "antigen binding" 0.643794621932384
-536 0.688781925901846 3 13 "GO:0003846" "2-acylglycerol O-acyltransferase activity" 0.910163349091617
-2180 0.153278431305418 2 10 "GO:0003857" "3-hydroxyacyl-CoA dehydrogenase activity" 0.568119814482451
2501 0.101248741379979 2 10 "GO:0003884" "D-amino-acid oxidase activity" 0.488755287934262
-520 0.20922833269156 2 137 "GO:0003887" "DNA-directed DNA polymerase activity" 0.643687237812068
-337 0.655529250104838 3 41 "GO:0003899" "DNA-directed 5'-3' RNA polymerase activity" 0.897298694042374
-816 0.592906907153151 2 10 "GO:0003906" "DNA-(apurinic or apyrimidinic site) endonuclease activity" 0.874440089400645
8 0.978014589494262 2 277 "GO:0003924" "GTPase activity" 0.996922859648531
-1777 0.0558374226511601 2 27 "GO:0003943" "N-acetylgalactosamine-4-sulfatase activity" 0.372886096454613
965 0.146166603876055 2 53 "GO:0003950" "NAD+ ADP-ribosyltransferase activity" 0.568119814482451
384 0.80140436088645 2 10 "GO:0003951" "NAD+ kinase activity" 0.9480985959938
2910 0.00384440351678834 4 23 "GO:0003954" "NADH dehydrogenase activity" 0.0816551306965843
2851 0.0100510187221703 2 19 "GO:0003955" "NAD(P)H dehydrogenase (quinone) activity" 0.15931614750664
-90 0.729338487400145 2 352 "GO:0003964" "RNA-directed DNA polymerase activity" 0.922092230498755
3537 0.0111278276017905 3 12 "GO:0003968" "RNA-directed 5'-3' RNA polymerase activity" 0.16644722412819
237 0.849027390134005 5 15 "GO:0003990" "acetylcholinesterase activity" 0.967892357616877
1109 0.232698085735444 2 27 "GO:0003993" "acid phosphatase activity" 0.658319366084617
148 0.90260562134282 4 16 "GO:0003995" "acyl-CoA dehydrogenase activity" 0.981261080249146
854 0.349550789380309 2 28 "GO:0004033" "aldo-keto reductase (NADP) activity" 0.745427586991743
611 0.674626488550755 5 11 "GO:0004035" "alkaline phosphatase activity" 0.909018177265266
2429 0.0596799065992698 5 14 "GO:0004051" "arachidonate 5-lipoxygenase activity" 0.391131835581961
677 0.530360155807952 2 20 "GO:0004062" "aryl sulfotransferase activity" 0.845709437639707
-1236 0.141634571568848 2 33 "GO:0004065" "arylsulfatase activity" 0.565251487874594
-1035 0.391154002278192 5 16 "GO:0004089" "carbonate dehydratase activity" 0.762212019118238
1580 0.22067234958703 4 14 "GO:0004096" "catalase activity" 0.647386837738746
-139 0.902723234843141 3 18 "GO:0004104" "cholinesterase activity" 0.981261080249146
1047 0.400994316082812 2 15 "GO:0004112" "cyclic-nucleotide phosphodiesterase activity" 0.775693922914292
1364 0.290387360938307 6 14 "GO:0004114" "3',5'-cyclic-nucleotide phosphodiesterase activity" 0.701741395755975
3367 0.0119016516499896 3 13 "GO:0004129;GO:0016675" "oxidoreductase activity, acting on a heme group of donors" 0.175549361837347
415 0.775286977372077 2 11 "GO:0004144" "diacylglycerol O-acyltransferase activity" 0.937632046235116
1091 4.95814872573988e-10 3 795 "GO:0004175" "endopeptidase activity" 2.63277697336788e-07
193 0.821566461947772 2 32 "GO:0004177" "aminopeptidase activity" 0.956692524768129
254 0.710531587859663 2 50 "GO:0004180" "carboxypeptidase activity" 0.917042855494212
-632 0.504485012229108 2 26 "GO:0004181" "metallocarboxypeptidase activity" 0.830058945177125
-2591 0.089575899191958 3 10 "GO:0004185" "serine-type carboxypeptidase activity" 0.463089290713636
-21 0.953157328648122 4 185 "GO:0004190;GO:0070001" "aspartic-type peptidase activity" 0.996033233907471
528 0.303617024850854 2 89 "GO:0004197" "cysteine-type endopeptidase activity" 0.710564501240825
1665 0.213681383869862 3 13 "GO:0004198" "calcium-dependent cysteine-type endopeptidase activity" 0.643794621932384
