"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
-597 0.60993197862512 3 17 "GO:0000030" "mannosyltransferase activity" 0.885826878277291
583 0.423637396418406 2 44 "GO:0000049" "tRNA binding" 0.784168277204843
436 0.726685815329298 6 15 "GO:0000062;GO:1901567" "fatty-acyl-CoA binding" 0.945199011697389
-1688 0.137941694656655 2 18 "GO:0000099" "sulfur amino acid transmembrane transporter activity" 0.523792073162833
-2796 0.0169312301626533 2 17 "GO:0000146" "microfilament motor activity" 0.160544343149445
-188 0.707848563631393 2 93 "GO:0000149" "SNARE binding" 0.93264841252422
-763 0.448536881357439 2 23 "GO:0000175" "3'-5'-exoribonuclease activity" 0.801062799406014
481 0.50862927911606 2 44 "GO:0000217" "DNA secondary structure binding" 0.844257110504322
-92 0.788293866073224 2 200 "GO:0000287" "magnesium ion binding" 0.961953730909301
-4586 0.000144411853780864 2 16 "GO:0000339" "RNA cap binding" 0.00766826943576388
1074 0.345099970392271 2 18 "GO:0000400" "four-way junction DNA binding" 0.744476434055185
2501 0.0447971040541199 3 15 "GO:0000403" "Y-form DNA binding" 0.288330451548335
1835 0.229259877975216 3 10 "GO:0000405" "bubble DNA binding" 0.649263974425812
-844 0.00205656884721263 2 316 "GO:0000976;GO:0001067" "transcription regulatory region nucleic acid binding" 0.052638038764734
-894 0.00600239486758242 3 223 "GO:0000977" "RNA polymerase II transcription regulatory region sequence-specific DNA binding" 0.0902551028367857
-1037 0.0166957560248338 2 125 "GO:0000978" "RNA polymerase II cis-regulatory region sequence-specific DNA binding" 0.159737773859221
-1726 0.166026104786184 2 15 "GO:0000979" "RNA polymerase II core promoter sequence-specific DNA binding" 0.574331346198461
-234 0.483462847435931 3 211 "GO:0000981" "DNA-binding transcription factor activity, RNA polymerase II-specific" 0.825462289352024
-1231 0.00284501918183196 3 138 "GO:0000987" "cis-regulatory region sequence-specific DNA binding" 0.0656828341544683
-112 0.907528387008281 3 25 "GO:0000993" "RNA polymerase II complex binding" 0.981567516843706
-1256 0.0779625220967404 3 46 "GO:0001046" "core promoter sequence-specific DNA binding" 0.395580091984789
32 0.970393091992393 3 32 "GO:0001099;GO:0001098" "basal transcription machinery binding" 0.990240370488464
-3548 0.0200768548658854 -1 10 "GO:0001191" "obsolete transcriptional repressor activity, RNA polymerase II transcription factor binding" 0.177680165563086
1039 0.475301857366432 2 11 "GO:0001221" "transcription coregulator binding" 0.821037675421988
482 0.655209561225685 3 20 "GO:0001227;GO:0001217" "DNA-binding transcription repressor activity" 0.916265392929783
-819 0.21322451318589 2 54 "GO:0001228;GO:0001216" "DNA-binding transcription activator activity, RNA polymerase II-specific" 0.637871642263141
319 0.695750792559463 3 35 "GO:0001517" "N-acetylglucosamine 6-O-sulfotransferase activity" 0.93264841252422
-610 0.324506209260013 2 61 "GO:0001530" "lipopolysaccharide binding" 0.727058215683827
