"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
-450 0.700651816322642 4 17 "GO:0000030" "mannosyltransferase activity" 0.8436419829191
1663 0.0223948897409891 2 44 "GO:0000049" "tRNA binding" 0.14241540661635
-511 0.681928503340825 3 15 "GO:0000062;GO:1901567" "fatty-acyl-CoA binding" 0.841803450755703
-928 0.414863321631863 2 18 "GO:0000099" "sulfur amino acid transmembrane transporter activity" 0.689088624443512
-2629 0.0247295321847975 2 17 "GO:0000146" "microfilament motor activity" 0.150505092846506
901 0.0723352283657159 2 93 "GO:0000149" "SNARE binding" 0.264896594911691
-294 0.770062522925233 2 23 "GO:0000175" "3'-5'-exoribonuclease activity" 0.890330980590991
-2155 0.00308112982165281 3 44 "GO:0000217" "DNA secondary structure binding" 0.0351845147375837
-212 0.536886798863259 2 200 "GO:0000287" "magnesium ion binding" 0.769904477795856
-427 0.723608544316423 2 16 "GO:0000339" "RNA cap binding" 0.85958867344971
-569 0.616804061454675 4 18 "GO:0000400" "four-way junction DNA binding" 0.816765477886365
-870 0.485225031176455 2 15 "GO:0000403" "Y-form DNA binding" 0.730934727814745
247 0.871255026910203 4 10 "GO:0000405" "bubble DNA binding" 0.945120366270312
753 0.00601117249316478 3 316 "GO:0000976;GO:0001067" "transcription regulatory region nucleic acid binding" 0.056998796319116
636 0.0505369552984835 6 223 "GO:0000977" "RNA polymerase II transcription regulatory region sequence-specific DNA binding" 0.225295572799748
652 0.132396565874995 2 125 "GO:0000978" "RNA polymerase II cis-regulatory region sequence-specific DNA binding" 0.376957514636045
-186 0.881132282173348 2 15 "GO:0000979" "RNA polymerase II core promoter sequence-specific DNA binding" 0.951945558156761
860 0.0101084552631555 3 211 "GO:0000981" "DNA-binding transcription factor activity, RNA polymerase II-specific" 0.0832184456548151
452 0.273476877678612 2 138 "GO:0000987" "cis-regulatory region sequence-specific DNA binding" 0.570247137384265
1533 0.112286219462054 2 25 "GO:0000993" "RNA polymerase II complex binding" 0.349136355078531
916 0.198623656847939 4 46 "GO:0001046" "core promoter sequence-specific DNA binding" 0.475086314352503
1152 0.177210374399673 4 32 "GO:0001099;GO:0001098" "basal RNA polymerase II transcription machinery binding" 0.453487753283019
-1189 0.436030916601174 -1 10 "GO:0001191" "obsolete transcriptional repressor activity, RNA polymerase II transcription factor binding" 0.705305746908714
447 0.75844579001889 2 11 "GO:0001221" "transcription coregulator binding" 0.88319016337726
1706 0.113915711386643 3 20 "GO:0001227;GO:0001217" "DNA-binding transcription repressor activity" 0.350662276790188
279 0.670997582256242 3 54 "GO:0001228;GO:0001216" "DNA-binding transcription activator activity" 0.837457768410689
-1412 0.0837588577490492 5 35 "GO:0001517" "N-acetylglucosamine 6-O-sulfotransferase activity" 0.287463294805161
-330 0.593670204822473 2 61 "GO:0001530" "lipopolysaccharide binding" 0.806237541587553
-872 0.278413077629693 2 36 "GO:0001537" "N-acetylgalactosamine 4-O-sulfotransferase activity" 0.573012962098322
697 0.127336638498195 4 112 "GO:0001540" "amyloid-beta binding" 0.368088323187708
1404 0.00389652976292909 4 99 "GO:0001594" "trace-amine receptor activity" 0.0410496063706166
1481 0.234738970511277 2 15 "GO:0001601" "peptide YY receptor activity" 0.52091442063383
1930 0.050195461720491 7 24 "GO:0001602" "pancreatic polypeptide receptor activity" 0.225295572799748
1570 0.240889028195193 6 13 "GO:0001607" "neuromedin U receptor activity" 0.5296919523267
1317 0.000717918678994959 2 155 "GO:0001609" "G protein-coupled adenosine receptor activity" 0.0124988465097155
497 0.629090004187484 5 22 "GO:0001614;GO:0016502" "purinergic nucleotide receptor activity" 0.824806894379146
-1416 0.179005974458357 3 21 "GO:0001618;GO:0140272" "virus receptor activity" 0.455885719124161
1236 0.30583353624565 2 16 "GO:0001640" "adenylate cyclase inhibiting G protein-coupled glutamate receptor activity" 0.600360841946174
1331 1.83934329963016e-10 3 552 "GO:0001653" "peptide receptor activity" 2.44172823025904e-08
389 0.144067198237747 4 335 "GO:0001664" "G protein-coupled receptor binding" 0.399476147593962
2746 0.0591443361321059 2 11 "GO:0001671" "ATPase activator activity" 0.243454592915878
-765 0.457382283372923 6 22 "GO:0001733;GO:0050694" "galactosylceramide sulfotransferase activity" 0.717815490863309
-1897 0.12792010546933 5 15 "GO:0001784" "phosphotyrosine residue binding" 0.368088323187708
-940 0.156712159771838 2 53 "GO:0001786" "phosphatidylserine binding" 0.42456202468799
-392 0.500977083755227 3 69 "GO:0001965" "G-protein alpha-subunit binding" 0.742033002716947
