"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
-105 0.928806307600656 5 17 "GO:0000030" "mannosyltransferase activity" 0.976626038289007
254 0.727152021918705 2 44 "GO:0000049" "tRNA binding" 0.888233840359058
-194 0.876369400266213 2 15 "GO:0000062;GO:1901567" "fatty-acyl-CoA binding" 0.953669555759232
-1640 0.149435067668154 4 18 "GO:0000099" "sulfur amino acid transmembrane transporter activity" 0.395760702901695
-1304 0.265260816892596 2 17 "GO:0000146" "microfilament motor activity" 0.560189549771578
2 0.996731849192497 3 93 "GO:0000149" "SNARE binding" 0.999917251996084
-368 0.714678333952056 2 23 "GO:0000175" "3'-5'-exoribonuclease activity" 0.887521350298952
723 0.3204131653747 3 44 "GO:0000217" "DNA secondary structure binding" 0.625005660234832
-166 0.628857988320853 2 200 "GO:0000287" "magnesium ion binding" 0.846447634469893
-1139 0.345335072065136 2 16 "GO:0000339" "RNA cap binding" 0.645679307276716
1509 0.184597507778245 2 18 "GO:0000400" "four-way junction DNA binding" 0.451572393139817
1365 0.273289056852278 6 15 "GO:0000403" "Y-form DNA binding" 0.569084271327685
2082 0.172466826085656 2 10 "GO:0000405" "bubble DNA binding" 0.435978559321659
1034 0.000164218124560679 3 315 "GO:0000976;GO:0001067" "transcription regulatory region nucleic acid binding" 0.00322962311636002
671 0.0394220780564386 2 222 "GO:0000977" "RNA polymerase II transcription regulatory region sequence-specific DNA binding" 0.182027160417121
628 0.147029266755763 5 125 "GO:0000978" "RNA polymerase II cis-regulatory region sequence-specific DNA binding" 0.39121171481065
-230 0.853732353554619 2 15 "GO:0000979" "RNA polymerase II core promoter sequence-specific DNA binding" 0.945938134856434
203 0.543657244719332 2 210 "GO:0000981" "DNA-binding transcription factor activity, RNA polymerase II-specific" 0.792224008588751
335 0.416914382160296 2 138 "GO:0000987" "cis-regulatory region sequence-specific DNA binding" 0.706161202319353
2195 0.0229683316577832 5 25 "GO:0000993" "RNA polymerase II complex binding" 0.133291629620578
491 0.490644276770639 4 46 "GO:0001046" "core promoter sequence-specific DNA binding" 0.755788112162889
1789 0.0361199752077499 4 32 "GO:0001099;GO:0001098" "basal RNA polymerase II transcription machinery binding" 0.173892789233037
345 0.820930498697525 -1 10 "GO:0001191" "obsolete transcriptional repressor activity, RNA polymerase II transcription factor binding" 0.927948386631656
2150 0.139454325670708 4 11 "GO:0001221" "transcription coregulator binding" 0.379744856057159
1970 0.0679414697732163 4 20 "GO:0001227;GO:0001217" "DNA-binding transcription repressor activity, RNA polymerase II-specific" 0.253625032247218
315 0.634581243857136 3 53 "GO:0001228;GO:0001216" "DNA-binding transcription activator activity" 0.850311330520218
-298 0.714882636516998 2 35 "GO:0001517" "N-acetylglucosamine 6-O-sulfotransferase activity" 0.887521350298952
-133 0.82988782447544 3 61 "GO:0001530" "lipopolysaccharide binding" 0.929684461595904
-534 0.506635829875608 5 36 "GO:0001537" "N-acetylgalactosamine 4-O-sulfotransferase activity" 0.762523170113945
