"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
0 1 2 11 "GO:0000109" "nucleotide-excision repair complex" 1
0 1 2 43 "GO:0000118" "histone deacetylase complex" 1
0 1 3 5 "GO:0000120" "RNA polymerase I transcription regulator complex" 1
0 1 3 72 "GO:0000123;GO:0031248;GO:1902493" "acetyltransferase complex" 1
0 1 3 9 "GO:0000124" "SAGA complex" 1
0 0.0264842805586661 2 9 "GO:0000127;GO:0090576" "RNA polymerase III transcription regulator complex" 1
0 1 2 7 "GO:0000138" "Golgi trans cisterna" 1
0 1 2 713 "GO:0000139" "Golgi membrane" 1
0 1 2 13 "GO:0000145" "exocyst" 1
0 1 2 53 "GO:0000152" "nuclear ubiquitin ligase complex" 1
0 1 4 9 "GO:0000159" "protein phosphatase type 2A complex" 1
0 1 2 8 "GO:0000164" "protein phosphatase type 1 complex" 1
0 1 3 15 "GO:0000176" "nuclear exosome (RNase complex)" 1
0 1 4 15 "GO:0000177" "cytoplasmic exosome (RNase complex)" 1
0 1 3 24 "GO:0000178;GO:1905354" "exosome (RNase complex)" 1
0 1 2 5 "GO:0000220" "vacuolar proton-transporting V-type ATPase, V0 domain" 1
0 1 3 79 "GO:0000228" "nuclear chromosome" 1
0 1 2 15 "GO:0000242" "pericentriolar material" 1
0 1 5 8 "GO:0000243" "commitment complex" 1
0 1 2 5 "GO:0000276" "mitochondrial proton-transporting ATP synthase complex, coupling factor F(o)" 1
0 1 2 13 "GO:0000307" "cyclin-dependent protein kinase holoenzyme complex" 1
0 1 2 21 "GO:0000324;GO:0000322" "storage vacuole" 1
0 1 2 7 "GO:0000346" "transcription export complex" 1
0 1 2 15 "GO:0000407" "phagophore assembly site" 1
0 1 2 5 "GO:0000408" "EKC/KEOPS complex" 1
0 1 3 16 "GO:0000421" "autophagosome membrane" 1
0 1 2 8 "GO:0000438;GO:0000439" "transcription factor TFIIH core complex" 1
0 1 3 6 "GO:0000445;GO:0000347" "THO complex part of transcription export complex" 1
0 1 3 54 "GO:0000502;GO:1905369" "endopeptidase complex" 1
0 1 3 5 "GO:0000506" "glycosylphosphatidylinositol-N-acetylglucosaminyltransferase (GPI-GnT) complex" 1
0 0.130940995957042 2 47 "GO:0000775" "chromosome, centromeric region" 1
0 1 2 56 "GO:0000776" "kinetochore" 1
0 1 4 6 "GO:0000779" "condensed chromosome, centromeric region" 1
0 1 2 60 "GO:0000781" "chromosome, telomeric region" 1
0 1 2 9 "GO:0000783;GO:0000782" "nuclear telomere cap complex" 1
0 1 2 93 "GO:0000785" "chromatin" 1
0 1 2 100 "GO:0000786;GO:0044815" "DNA packaging complex" 1
0 1 2 9 "GO:0000791" "euchromatin" 1
0 1 3 29 "GO:0000792" "heterochromatin" 1
0 1 2 46 "GO:0000794;GO:0000793" "condensed chromosome" 1
0 1 2 11 "GO:0000795;GO:0099086" "synaptonemal complex" 1
0 1 2 8 "GO:0000800" "lateral element" 1
0 1 2 7 "GO:0000803" "sex chromosome" 1
0 1 3 11 "GO:0000812" "Swr1 complex" 1
0 1 3 8 "GO:0000813" "ESCRT I complex" 1
0 1 3 5 "GO:0000815" "ESCRT III complex" 1
0 1 2 403 "GO:0000922" "spindle pole" 1
0 1 2 5 "GO:0000930" "gamma-tubulin complex" 1
0 1 4 198 "GO:0000932" "P-body" 1
0 1 2 8 "GO:0000940" "outer kinetochore" 1
0 1 2 68 "GO:0000943" "retrotransposon nucleocapsid" 1
0 1 2 11 "GO:0000974" "Prp19 complex" 1
0 1 2 6 "GO:0001518" "voltage-gated sodium channel complex" 1
0 1 3 7 "GO:0001520" "outer dense fiber" 1
0 1 2 58 "GO:0001527" "microfibril" 1
0 1 2 7 "GO:0001533" "cornified envelope" 1
0 0.188750571200726 2 70 "GO:0001650" "fibrillar center" 1
0 1 3 39 "GO:0001669" "acrosomal vesicle" 1
0 1 2 9 "GO:0001673" "male germ cell nucleus" 1
0 1 2 7 "GO:0001674" "female germ cell nucleus" 1
0 1 3 44 "GO:0001725;GO:0097517;GO:0032432" "actin filament bundle" 1
0 1 3 84 "GO:0001726" "ruffle" 1
0 1 2 49 "GO:0001750" "photoreceptor outer segment" 1
0 1 2 10 "GO:0001772" "immunological synapse" 1
0 1 2 22 "GO:0001891" "phagocytic cup" 1
0 1 2 28 "GO:0001917" "photoreceptor inner segment" 1
0 1 5 7 "GO:0002080" "acrosomal membrane" 1
0 1 2 21 "GO:0002102" "podosome" 1
0 1 3 14 "GO:0002116" "semaphorin receptor complex" 1
0 1 2 6 "GO:0002133" "polycystin complex" 1
0 1 2 7 "GO:0002142;GO:1990696" "stereocilia ankle link complex" 1
0 1 2 5 "GO:0002177" "manchette" 1
0 1 2 5 "GO:0002199" "zona pellucida receptor complex" 1
0 0.017733344579476 2 6 "GO:0005577" "fibrinogen complex" 1
0 1 2 8 "GO:0005579" "membrane attack complex" 1
0 1 2 426 "GO:0005581" "collagen trimer" 1
0 1 3 37 "GO:0005583" "fibrillar collagen trimer" 1
0 1 2 13 "GO:0005584" "collagen type I trimer" 1
0 1 3 7 "GO:0005587;GO:0098642;GO:0098651" "network-forming collagen trimer" 1
0 1 2 8 "GO:0005588" "collagen type V trimer" 1
0 1 3 17 "GO:0005593;GO:0030934" "FACIT collagen trimer" 1
0 1 4 10 "GO:0005595" "collagen type XII trimer" 1
0 0.640124473512967 5 339 "GO:0005604;GO:0062023" "collagen-containing extracellular matrix" 1
0 1 2 5 "GO:0005610" "laminin-5 complex" 1
0 1 2 15 "GO:0005614" "interstitial matrix" 1
0 0.0398431766008419 2 1324 "GO:0005615" "extracellular space" 1
0 0.0214922230127448 2 76 "GO:0005618" "cell wall" 1
0 1 2 952 "GO:0005622" "intracellular anatomical structure" 1
0 1 -1 56 "GO:0005623" "obsolete cell" 1
0 0.110598561376074 4 191 "GO:0005635;GO:0031967;GO:0031975" "organelle envelope" 1
0 1 2 21 "GO:0005637" "nuclear inner membrane" 1
0 1 3 38 "GO:0005639;GO:0031229" "integral component of nuclear inner membrane" 1
0 1 4 7 "GO:0005640" "nuclear outer membrane" 1
0 1 2 31 "GO:0005641" "nuclear envelope lumen" 1
0 1 2 8 "GO:0005642" "annulate lamellae" 1
0 1 3 53 "GO:0005643" "nuclear pore" 1
0 0.881513169869336 2 1647 "GO:0005654" "nucleoplasm" 1
0 1 2 73 "GO:0005657" "replication fork" 1
0 1 3 6 "GO:0005658" "alpha DNA polymerase:primase complex" 1
0 1 2 9 "GO:0005662" "DNA replication factor A complex" 1
0 1 2 8 "GO:0005663" "DNA replication factor C complex" 1
0 1 2 7 "GO:0005664;GO:0000808" "origin recognition complex" 1
0 1 6 18 "GO:0005665" "RNA polymerase II, core complex" 1
0 1 2 17 "GO:0005666" "RNA polymerase III complex" 1
0 0.456247452216321 2 203 "GO:0005667" "transcription regulator complex" 1
0 1 3 23 "GO:0005669" "transcription factor TFIID complex" 1
0 1 -1 14 "GO:0005671" "obsolete Ada2/Gcn5/Ada3 transcription activator complex" 1
0 1 3 14 "GO:0005675;GO:0032806" "carboxy-terminal domain protein kinase complex" 1
0 1 2 19 "GO:0005680" "anaphase-promoting complex" 1
0 1 2 191 "GO:0005681" "spliceosomal complex" 1
0 1 2 30 "GO:0005682" "U5 snRNP" 1
0 1 4 26 "GO:0005684" "U2-type spliceosomal complex" 1
0 1 5 16 "GO:0005685" "U1 snRNP" 1
0 1 2 16 "GO:0005686" "U2 snRNP" 1
0 1 2 6 "GO:0005687" "U4 snRNP" 1
0 1 2 8 "GO:0005688" "U6 snRNP" 1
0 1 2 22 "GO:0005689" "U12-type spliceosomal complex" 1
0 0.554740011238951 2 269 "GO:0005694" "chromosome" 1
0 1 2 10 "GO:0005697" "telomerase holoenzyme complex" 1
0 1 2 34 "GO:0005700;GO:0035059" "polytene chromosome" 1
0 1 2 7 "GO:0005703" "polytene chromosome puff" 1
0 1 4 11 "GO:0005721" "pericentric heterochromatin" 1
0 1 2 638 "GO:0005730" "nucleolus" 1
0 1 2 18 "GO:0005732" "sno(s)RNA-containing ribonucleoprotein complex" 1
0 1 5 10 "GO:0005736" "RNA polymerase I complex" 1
0 0.192670604560242 5 1035 "GO:0005739" "mitochondrion" 1
0 1 3 10 "GO:0005740" "mitochondrial envelope" 1
0 1 2 144 "GO:0005741;GO:0031968;GO:0019867" "outer membrane" 1
0 1 4 9 "GO:0005742" "mitochondrial outer membrane translocase complex" 1
0 1 2 310 "GO:0005743;GO:0019866" "organelle inner membrane" 1
0 1 2 7 "GO:0005744" "TIM23 mitochondrial import inner membrane translocase complex" 1
0 1 3 31 "GO:0005747;GO:0045271;GO:0030964" "respiratory chain complex I" 1
0 1 4 5 "GO:0005749;GO:0045257;GO:0045283;GO:0045281" "fumarate reductase complex" 1
0 1 4 5 "GO:0005750;GO:0045275" "mitochondrial respiratory chain complex III" 1
0 1 2 6 "GO:0005751;GO:0045277" "mitochondrial respiratory chain complex IV" 1
0 1 3 8 "GO:0005753;GO:0045259" "mitochondrial proton-transporting ATP synthase complex" 1
0 1 2 51 "GO:0005758" "mitochondrial intermembrane space" 1
0 0.441263781644706 2 194 "GO:0005759" "mitochondrial matrix" 1
0 1 4 16 "GO:0005761;GO:0000313" "mitochondrial ribosome" 1
0 1 3 45 "GO:0005762;GO:0000315" "mitochondrial large ribosomal subunit" 1
0 1 2 26 "GO:0005763;GO:0000314" "mitochondrial small ribosomal subunit" 1
0 4.95198557478502e-05 6 452 "GO:0005764;GO:0000323;GO:0005773" "vacuole" 0.0388730867620624
0 0.0950265080069976 2 366 "GO:0005765;GO:0098852;GO:0005774" "vacuolar membrane" 1
0 1 8 10 "GO:0005767" "secondary lysosome" 1
0 0.932683764070779 7 879 "GO:0005768" "endosome" 1
0 1 8 474 "GO:0005769" "early endosome" 1
