"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
0 1 3 11 "GO:0000109" "nucleotide-excision repair complex" 1
0 1.88298412838422e-06 3 43 "GO:0000118" "histone deacetylase complex" 0.00147814254078161
0 0.242827112579206 2 5 "GO:0000120" "RNA polymerase I transcription regulator complex" 1
0 0.193597316826137 4 72 "GO:0000123;GO:0031248;GO:1902493" "acetyltransferase complex" 1
0 0.0103692323068725 2 9 "GO:0000124" "SAGA complex" 0.45221374227194
0 1 2 9 "GO:0000127;GO:0090576" "RNA polymerase III transcription regulator complex" 1
0 1 3 7 "GO:0000138" "Golgi trans cisterna" 1
0 0.630021445426091 3 713 "GO:0000139" "Golgi membrane" 1
0 0.153888914900924 3 13 "GO:0000145" "exocyst" 1
0 1 2 53 "GO:0000152" "nuclear ubiquitin ligase complex" 1
0 0.393930901313984 2 9 "GO:0000159" "protein phosphatase type 2A complex" 1
0 1 5 8 "GO:0000164" "protein phosphatase type 1 complex" 1
0 0.566025233095585 3 15 "GO:0000176" "nuclear exosome (RNase complex)" 1
0 0.566025233095585 2 15 "GO:0000177" "cytoplasmic exosome (RNase complex)" 1
0 0.375643199258278 4 24 "GO:0000178;GO:1905354" "exosome (RNase complex)" 1
0 1 2 5 "GO:0000220" "vacuolar proton-transporting V-type ATPase, V0 domain" 1
0 0.426175928775415 3 79 "GO:0000228" "nuclear chromosome" 1
0 0.193308050917559 2 15 "GO:0000242" "pericentriolar material" 1
0 1 2 8 "GO:0000243" "commitment complex" 1
0 1 2 5 "GO:0000276" "mitochondrial proton-transporting ATP synthase complex, coupling factor F(o)" 1
0 0.514908712822354 2 13 "GO:0000307" "cyclin-dependent protein kinase holoenzyme complex" 1
0 0.315553970207447 2 21 "GO:0000324;GO:0000322" "storage vacuole" 1
0 0.322574069755328 2 7 "GO:0000346" "transcription export complex" 1
0 1 2 15 "GO:0000407" "phagophore assembly site" 1
0 1 2 5 "GO:0000408" "EKC/KEOPS complex" 1
0 0.589528919616192 4 16 "GO:0000421" "autophagosome membrane" 1
0 1 3 8 "GO:0000438;GO:0000439" "transcription factor TFIIH core complex" 1
0 1 2 6 "GO:0000445;GO:0000347" "THO complex part of transcription export complex" 1
0 0.334636689848912 2 54 "GO:0000502;GO:1905369" "endopeptidase complex" 1
0 0.242827112579206 2 5 "GO:0000506" "glycosylphosphatidylinositol-N-acetylglucosaminyltransferase (GPI-GnT) complex" 1
0 0.0399841157485343 3 47 "GO:0000775" "chromosome, centromeric region" 0.729942578199987
0 0.359603148832824 3 56 "GO:0000776" "kinetochore" 1
0 1 2 6 "GO:0000779" "condensed chromosome, centromeric region" 1
0 0.22352860109111 3 60 "GO:0000781" "chromosome, telomeric region" 1
0 1 2 9 "GO:0000783;GO:0000782" "nuclear telomere cap complex" 1
0 0.0115730834809212 2 93 "GO:0000785" "chromatin" 0.478151080659113
0 0.912722520570084 2 100 "GO:0000786;GO:0044815" "DNA packaging complex" 1
0 1 3 9 "GO:0000791" "euchromatin" 1
0 1 3 29 "GO:0000792" "heterochromatin" 1
0 0.456992049259862 7 46 "GO:0000794;GO:0000793" "condensed chromosome" 1
0 0.116371589301372 3 11 "GO:0000795;GO:0099086" "synaptonemal complex" 1
0 0.00719990788054182 2 8 "GO:0000800" "lateral element" 0.354931838787282
0 0.322574069755328 3 7 "GO:0000803" "sex chromosome" 1
0 0.457779381611972 4 11 "GO:0000812" "Swr1 complex" 1
0 0.359243849455183 3 8 "GO:0000813" "ESCRT I complex" 1
0 0.242827112579206 3 5 "GO:0000815" "ESCRT III complex" 1
0 0.603294804134826 2 403 "GO:0000922" "spindle pole" 1
0 0.0262106818476398 2 5 "GO:0000930" "gamma-tubulin complex" 0.62349652273931
0 0.634267816650838 4 198 "GO:0000932" "P-body" 1
0 1 2 8 "GO:0000940" "outer kinetochore" 1
0 1 2 68 "GO:0000943" "retrotransposon nucleocapsid" 1
0 0.457779381611972 2 11 "GO:0000974" "Prp19 complex" 1
0 1 5 6 "GO:0001518" "voltage-gated sodium channel complex" 1
0 1 4 7 "GO:0001520" "outer dense fiber" 1
0 0.960537493975821 3 58 "GO:0001527" "microfibril" 1
0 1 2 7 "GO:0001533" "cornified envelope" 1
0 0.528796295511403 2 70 "GO:0001650" "fibrillar center" 1
0 0.353901766525275 2 39 "GO:0001669" "acrosomal vesicle" 1
0 0.0103692323068725 3 9 "GO:0001673" "male germ cell nucleus" 0.45221374227194
0 1 3 7 "GO:0001674" "female germ cell nucleus" 1
0 0.0875373992630706 2 44 "GO:0001725;GO:0097517;GO:0032432" "actin filament bundle" 0.967843076359302
0 0.30227072435767 2 84 "GO:0001726" "ruffle" 1
0 0.934780980570511 2 49 "GO:0001750" "photoreceptor outer segment" 1
0 1 2 10 "GO:0001772" "immunological synapse" 1
0 0.706128656528915 2 22 "GO:0001891" "phagocytic cup" 1
0 0.789634815727392 2 28 "GO:0001917" "photoreceptor inner segment" 1
0 1 4 7 "GO:0002080" "acrosomal membrane" 1
0 0.689294584777385 2 21 "GO:0002102" "podosome" 1
0 1 2 14 "GO:0002116" "semaphorin receptor complex" 1
0 1 2 6 "GO:0002133" "polycystin complex" 1
0 1 2 7 "GO:0002142;GO:1990696" "stereocilia ankle link complex" 1
0 0.0262106818476398 2 5 "GO:0002177" "manchette" 0.62349652273931
0 1 2 5 "GO:0002199" "zona pellucida receptor complex" 1
0 0.283808372056338 2 6 "GO:0005577" "fibrinogen complex" 1
0 1 2 8 "GO:0005579" "membrane attack complex" 1
0 0.999814357029999 2 426 "GO:0005581" "collagen trimer" 1
0 0.872623337664343 2 37 "GO:0005583" "fibrillar collagen trimer" 1
0 0.514908712822354 2 13 "GO:0005584" "collagen type I trimer" 1
0 1 4 7 "GO:0005587;GO:0098642;GO:0098651" "collagen type IV trimer" 1
0 1 2 8 "GO:0005588" "collagen type V trimer" 1
0 0.611761107708247 2 17 "GO:0005593;GO:0030934" "FACIT collagen trimer" 1
0 1 2 10 "GO:0005595" "collagen type XII trimer" 1
0 0.377242247306296 2 339 "GO:0005604;GO:0062023" "collagen-containing extracellular matrix" 1
0 1 3 5 "GO:0005610" "laminin-5 complex" 1
0 1 2 15 "GO:0005614" "interstitial matrix" 1
0 0.87840037148735 2 1324 "GO:0005615" "extracellular space" 1
0 0.922488750473067 2 76 "GO:0005618" "cell wall" 1
0 0.999541110218779 2 952 "GO:0005622" "intracellular anatomical structure" 1
0 1 -1 56 "GO:0005623" "obsolete cell" 1
0 0.460078221228155 2 191 "GO:0005635;GO:0031967;GO:0031975" "organelle envelope" 1
0 0.689294584777385 3 21 "GO:0005637" "nuclear inner membrane" 1
0 0.879531790351031 2 38 "GO:0005639;GO:0031229" "integral component of nuclear inner membrane" 1
0 1 3 7 "GO:0005640" "nuclear outer membrane" 1
0 0.23422215461606 2 31 "GO:0005641" "nuclear envelope lumen" 1
0 1 2 8 "GO:0005642" "annulate lamellae" 1
0 0.00723427951668345 2 53 "GO:0005643" "nuclear pore" 0.354931838787282
0 4.84181014550836e-05 2 1647 "GO:0005654" "nucleoplasm" 0.0190041048211203
0 0.562324994259763 2 73 "GO:0005657" "replication fork" 1
0 1 2 6 "GO:0005658" "alpha DNA polymerase:primase complex" 1
0 0.393930901313984 2 9 "GO:0005662" "DNA replication factor A complex" 1
0 0.359243849455183 2 8 "GO:0005663" "DNA replication factor C complex" 1
0 1 2 7 "GO:0005664;GO:0000808" "origin recognition complex" 1
0 0.632790504750874 2 18 "GO:0005665" "RNA polymerase II, core complex" 1
0 0.0608901238601864 2 17 "GO:0005666" "RNA polymerase III complex" 0.85354905768297
0 0.0491617026548957 2 203 "GO:0005667" "transcription regulator complex" 0.772778591755989
0 0.722051687389102 2 23 "GO:0005669" "transcription factor TFIID complex" 1
0 0.173415507157978 -1 14 "GO:0005671" "obsolete Ada2/Gcn5/Ada3 transcription activator complex" 1
0 0.541177420950383 2 14 "GO:0005675;GO:0032806" "carboxy-terminal domain protein kinase complex" 1
0 1 2 19 "GO:0005680" "anaphase-promoting complex" 1
0 0.00358239966217919 2 191 "GO:0005681" "spliceosomal complex" 0.312464859423407
0 0.811823017608273 4 30 "GO:0005682" "U5 snRNP" 1
0 0.163869291308935 3 26 "GO:0005684" "U2-type spliceosomal complex" 1
0 0.589528919616192 5 16 "GO:0005685" "U1 snRNP" 1
0 0.0521748603351177 5 16 "GO:0005686" "U2 snRNP" 0.772778591755989
0 0.283808372056338 2 6 "GO:0005687" "U4 snRNP" 1
0 0.359243849455183 5 8 "GO:0005688" "U6 snRNP" 1
0 0.113302892329354 3 22 "GO:0005689" "U12-type spliceosomal complex" 1
0 0.793594206572765 2 269 "GO:0005694" "chromosome" 1
0 0.426742309583736 2 10 "GO:0005697" "telomerase holoenzyme complex" 1
0 0.849432098338631 6 34 "GO:0005700;GO:0035059" "polytene chromosome" 1
0 1 3 7 "GO:0005703" "polytene chromosome puff" 1
0 1 2 11 "GO:0005721" "pericentric heterochromatin" 1
0 0.0411365107051695 5 638 "GO:0005730" "nucleolus" 0.733912747808138
0 1 2 18 "GO:0005732" "sno(s)RNA-containing ribonucleoprotein complex" 1
0 0.426742309583736 2 10 "GO:0005736" "RNA polymerase I complex" 1
0 0.214898212672985 2 1035 "GO:0005739" "mitochondrion" 1
0 0.426742309583736 2 10 "GO:0005740" "mitochondrial envelope" 1
0 0.797819202589781 3 144 "GO:0005741;GO:0031968;GO:0019867" "outer membrane" 1
0 0.393930901313984 2 9 "GO:0005742" "mitochondrial outer membrane translocase complex" 1
0 0.320228972191774 2 310 "GO:0005743;GO:0019866" "organelle inner membrane" 1
0 1 2 7 "GO:0005744" "TIM23 mitochondrial import inner membrane translocase complex" 1
0 1 3 31 "GO:0005747;GO:0045271;GO:0030964" "mitochondrial respiratory chain complex I" 1
0 1 4 5 "GO:0005749;GO:0045257;GO:0045283;GO:0045281" "fumarate reductase complex" 1
0 1 3 5 "GO:0005750;GO:0045275" "respiratory chain complex III" 1
0 1 2 6 "GO:0005751;GO:0045277" "mitochondrial respiratory chain complex IV" 1
0 0.359243849455183 2 8 "GO:0005753;GO:0045259" "mitochondrial proton-transporting ATP synthase complex" 1
0 0.140355403794117 2 51 "GO:0005758" "mitochondrial intermembrane space" 1
0 0.728860725052257 3 194 "GO:0005759" "mitochondrial matrix" 1
0 0.589528919616192 6 16 "GO:0005761;GO:0000313" "organellar ribosome" 1
0 0.918472272245022 2 45 "GO:0005762;GO:0000315" "mitochondrial large ribosomal subunit" 1
0 0.41448629881184 3 26 "GO:0005763;GO:0000314" "organellar small ribosomal subunit" 1
0 0.0210053384860347 4 452 "GO:0005764;GO:0000323;GO:0005773" "vacuole" 0.62349652273931
0 0.696546877785026 2 366 "GO:0005765;GO:0098852;GO:0005774" "vacuolar membrane" 1
0 1 6 10 "GO:0005767" "secondary lysosome" 1
0 0.778999675809764 3 879 "GO:0005768" "endosome" 1
0 0.856930461135904 2 474 "GO:0005769" "early endosome" 1
0 0.118894548350213 4 136 "GO:0005770" "late endosome" 1
0 0.028555866274105 2 22 "GO:0005771" "multivesicular body" 0.640467286433498
0 0.22496197918178 2 45 "GO:0005776" "autophagosome" 1
0 0.147033493505884 4 142 "GO:0005777;GO:0042579" "microbody" 1
0 0.522905432960872 3 32 "GO:0005778;GO:0031903" "peroxisomal membrane" 1
0 0.541177420950383 2 14 "GO:0005779;GO:0031231" "integral component of peroxisomal membrane" 1
0 1 4 26 "GO:0005782;GO:0031907" "peroxisomal matrix" 1
0 0.394820811218363 5 776 "GO:0005783" "endoplasmic reticulum" 1
0 1 3 6 "GO:0005785" "signal recognition particle receptor complex" 1
0 1 4 7 "GO:0005786;GO:0048500" "signal recognition particle" 1
0 0.498397693915628 5 215 "GO:0005788" "endoplasmic reticulum lumen" 1
0 0.733936504069349 2 765 "GO:0005789" "endoplasmic reticulum membrane" 1
0 0.0521748603351177 2 16 "GO:0005790" "smooth endoplasmic reticulum" 0.772778591755989
0 0.938320981884824 2 50 "GO:0005791" "rough endoplasmic reticulum" 1
0 0.000814994033609655 2 38 "GO:0005793" "endoplasmic reticulum-Golgi intermediate compartment" 0.0956125171181437
0 0.105530220270349 2 789 "GO:0005794" "Golgi apparatus" 1
0 0.0271830397560607 2 43 "GO:0005795" "Golgi stack" 0.627608417897284
0 0.551074280217132 2 91 "GO:0005796" "Golgi lumen" 1
0 0.811823017608273 3 30 "GO:0005797" "Golgi medial cisterna" 1
0 0.730419976810376 2 47 "GO:0005798" "Golgi-associated vesicle" 1
0 0.0241449234842413 5 31 "GO:0005801" "cis-Golgi network" 0.62349652273931
0 0.352159320988379 2 193 "GO:0005802" "trans-Golgi network" 1
0 0.836230471816371 2 59 "GO:0005811" "lipid droplet" 1
0 0.188108983455723 2 416 "GO:0005813" "centrosome" 1
0 0.110573891119511 2 119 "GO:0005814" "centriole" 1
0 0.219436999697091 2 843 "GO:0005815" "microtubule organizing center" 1
0 0.306747812323275 2 186 "GO:0005819" "spindle" 1
0 0.611761107708247 3 17 "GO:0005826;GO:0070938" "contractile ring" 1
0 1 6 15 "GO:0005827" "polar microtubule" 1
0 1 8 13 "GO:0005828" "kinetochore microtubule" 1
0 1 3 11 "GO:0005832;GO:0101031" "chaperone complex" 1
0 0.541177420950383 3 14 "GO:0005834;GO:1905360" "GTPase complex" 1
0 1 2 10 "GO:0005838" "proteasome regulatory particle" 1
0 0.611761107708247 2 17 "GO:0005839" "proteasome core complex" 1
0 0.769943916312631 2 96 "GO:0005840" "ribosome" 1
0 1 2 35 "GO:0005844" "polysome" 1
0 1 2 11 "GO:0005845" "mRNA cap binding complex" 1
0 0.457779381611972 3 11 "GO:0005847" "mRNA cleavage and polyadenylation specificity factor complex" 1
0 0.566025233095585 2 15 "GO:0005849" "mRNA cleavage factor complex" 1
0 1 2 6 "GO:0005851" "eukaryotic translation initiation factor 2B complex" 1
0 1 2 21 "GO:0005852" "eukaryotic translation initiation factor 3 complex" 1
0 0.286028687641026 2 814 "GO:0005856" "cytoskeleton" 1
