"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
0 0.0877251407761379 2 6 "GO:0000014" "single-stranded DNA endodeoxyribonuclease activity" 0.949876319387526
0 1 2 17 "GO:0000030" "mannosyltransferase activity" 1
0 0.542189997725467 3 51 "GO:0000049" "tRNA binding" 1
0 0.217216135959749 7 16 "GO:0000062;GO:0120227;GO:1901567" "acyl-CoA binding" 1
0 1 2 18 "GO:0000099" "sulfur amino acid transmembrane transporter activity" 1
0 1 2 18 "GO:0000146" "microfilament motor activity" 1
0 1 3 109 "GO:0000149" "SNARE binding" 1
0 1 4 7 "GO:0000150" "DNA strand exchange activity" 1
0 1 2 24 "GO:0000175" "3'-5'-exoribonuclease activity" 1
0 0.11522751653954 2 8 "GO:0000182" "rDNA binding" 1
0 0.170417529577391 3 49 "GO:0000217" "DNA secondary structure binding" 1
0 1 4 6 "GO:0000224" "peptide-N4-(N-acetyl-beta-glucosaminyl)asparagine amidase activity" 1
0 1 2 5 "GO:0000234" "phosphoethanolamine N-methyltransferase activity" 1
0 0.649079761139484 2 219 "GO:0000287" "magnesium ion binding" 1
0 1 4 7 "GO:0000295;GO:0005346;GO:0015216" "purine nucleotide transmembrane transporter activity" 1
0 0.24082641089482 3 18 "GO:0000339" "RNA cap binding" 1
0 0.128667210122659 2 9 "GO:0000340" "RNA 7-methylguanosine cap binding" 1
0 1 2 22 "GO:0000400" "four-way junction DNA binding" 1
0 1 2 18 "GO:0000403" "Y-form DNA binding" 1
0 0.0877251407761379 3 6 "GO:0000900" "translation repressor activity, mRNA regulatory element binding" 0.949876319387526
0 8.54386117986288e-05 4 460 "GO:0000976;GO:0001067;GO:1990837;GO:0003690" "double-stranded DNA binding" 0.0141080507732486
0 0.00211532552869151 2 259 "GO:0000977" "RNA polymerase II transcription regulatory region sequence-specific DNA binding" 0.127015682881886
0 0.0404201273260649 2 165 "GO:0000978;GO:0000987" "cis-regulatory region sequence-specific DNA binding" 0.675885926553566
0 1 3 16 "GO:0000979" "RNA polymerase II core promoter sequence-specific DNA binding" 1
0 0.0432843511081927 3 304 "GO:0000981" "DNA-binding transcription factor activity, RNA polymerase II-specific" 0.691910977667104
0 1 -1 7 "GO:0000989" "obsolete transcription factor activity, transcription factor binding" 1
0 0.118159833253409 3 39 "GO:0000993;GO:0001099;GO:0043175;GO:0001098" "basal RNA polymerase II transcription machinery binding" 1
0 0.000946000265446311 2 50 "GO:0001046" "core promoter sequence-specific DNA binding" 0.0761668347307845
0 1 2 9 "GO:0001091" "RNA polymerase II general transcription initiation factor binding" 1
0 1 3 6 "GO:0001094" "TFIID-class transcription factor complex binding" 1
0 1 3 5 "GO:0001156;GO:0001025" "TFIIIC-class transcription factor complex binding" 1
0 1 3 5 "GO:0001164;GO:0001163" "RNA polymerase I core promoter sequence-specific DNA binding" 1
0 1 -1 5 "GO:0001190" "obsolete transcriptional activator activity, RNA polymerase II transcription factor binding" 1
0 0.000688901248006845 -1 12 "GO:0001191" "obsolete transcriptional repressor activity, RNA polymerase II transcription factor binding" 0.0638427458962074
0 1 2 14 "GO:0001221" "transcription coregulator binding" 1
0 1 3 9 "GO:0001223" "transcription coactivator binding" 1
0 0.307482497125318 3 24 "GO:0001227;GO:0001217" "DNA-binding transcription repressor activity" 1
0 0.0109545832528761 2 57 "GO:0001228;GO:0001216" "DNA-binding transcription activator activity, RNA polymerase II-specific" 0.326795019282655
0 1 5 45 "GO:0001517" "N-acetylglucosamine 6-O-sulfotransferase activity" 1
0 0.678355496398945 2 74 "GO:0001530" "lipopolysaccharide binding" 1
0 1 4 137 "GO:0001540" "amyloid-beta binding" 1
0 1 3 6 "GO:0001566;GO:0001565" "non-kinase phorbol ester receptor activity" 1
0 1 2 6 "GO:0001587" "Gq/11-coupled serotonin receptor activity" 1
0 1 5 10 "GO:0001588" "dopamine neurotransmitter receptor activity, coupled via Gs" 1
0 1 4 13 "GO:0001591" "dopamine neurotransmitter receptor activity, coupled via Gi/Go" 1
0 1 2 168 "GO:0001594" "trace-amine receptor activity" 1
0 1 7 21 "GO:0001601" "peptide YY receptor activity" 1
0 1 2 33 "GO:0001602" "pancreatic polypeptide receptor activity" 1
0 1 4 280 "GO:0001609" "G protein-coupled adenosine receptor activity" 1
0 0.274917496054144 3 21 "GO:0001618;GO:0140272" "virus receptor activity" 1
0 1 3 21 "GO:0001640;GO:0098988" "G protein-coupled glutamate receptor activity" 1
0 1 4 9 "GO:0001641" "group II metabotropic glutamate receptor activity" 1
0 0.998464719943723 2 419 "GO:0001664" "G protein-coupled receptor binding" 1
0 0.0160498684756727 2 13 "GO:0001671;GO:0140677" "molecular function activator activity" 0.407728389545455
0 1 2 6 "GO:0001727" "lipid kinase activity" 1
0 1 5 23 "GO:0001733;GO:0050694" "galactose 3-O-sulfotransferase activity" 1
0 1 2 15 "GO:0001784" "phosphotyrosine residue binding" 1
0 0.601236064633979 3 60 "GO:0001786" "phosphatidylserine binding" 1
0 1 2 6 "GO:0001848;GO:0001846" "opsonin binding" 1
0 1 2 9 "GO:0001882" "nucleoside binding" 1
0 0.702131508059517 3 79 "GO:0001965" "G-protein alpha-subunit binding" 1
0 1 3 13 "GO:0001968" "fibronectin binding" 1
0 0.128667210122659 3 9 "GO:0001972" "retinoic acid binding" 1
0 1 2 149 "GO:0002020" "protease binding" 1
0 0.0402449913293583 3 50 "GO:0002039" "p53 binding" 0.675885926553566
0 1 2 6 "GO:0002151" "G-quadruplex RNA binding" 1
0 1 2 10 "GO:0002161" "aminoacyl-tRNA editing activity" 1
0 0.263726818809762 3 20 "GO:0002162" "dystroglycan binding" 1
0 1 2 8 "GO:0002951;GO:0000048" "leukotriene-C(4) hydrolase" 1
0 0.0364705113027811 5 20 "GO:0003680" "minor groove of adenine-thymine-rich DNA binding" 0.651047911229376
0 1.90316437332745e-06 2 490 "GO:0003682" "chromatin binding" 0.00062852003429139
0 0.270657061478292 3 67 "GO:0003684" "damaged DNA binding" 1
0 1 2 9 "GO:0003688" "DNA replication origin binding" 1
0 1 2 10 "GO:0003689" "DNA clamp loader activity" 1
0 0.0877251407761379 5 6 "GO:0003696" "satellite DNA binding" 0.949876319387526
0 0.48994791072671 2 108 "GO:0003697" "single-stranded DNA binding" 1
0 8.52535670602401e-07 2 852 "GO:0003700;GO:0140110" "transcription regulator activity" 0.000563099810432886
0 0.00622500722492114 2 25 "GO:0003707" "steroid hormone receptor activity" 0.246069586220738
0 1.05111650132331e-05 2 197 "GO:0003712" "transcription coregulator activity" 0.00231420816374682
0 0.00188217327705607 2 115 "GO:0003713" "transcription coactivator activity" 0.124317544949553
0 0.00306651341193602 3 65 "GO:0003714" "transcription corepressor activity" 0.168786009048645
0 1 3 5 "GO:0003720" "telomerase activity" 1
0 1.40227534945292e-09 2 1567 "GO:0003723" "RNA binding" 1.85240573662731e-06
0 1 3 5 "GO:0003724" "RNA helicase activity" 1
0 1 3 37 "GO:0003725" "double-stranded RNA binding" 1
0 0.365399021770019 2 84 "GO:0003727" "single-stranded RNA binding" 1
0 0.000421131884698115 2 147 "GO:0003729" "mRNA binding" 0.0463596016405175
0 0.103411794822334 2 36 "GO:0003730" "mRNA 3'-UTR binding" 1
0 0.0287507287133264 2 152 "GO:0003735" "structural constituent of ribosome" 0.612576010166196
0 0.220037914695119 2 58 "GO:0003743" "translation initiation factor activity" 1
0 0.0185391081110865 3 14 "GO:0003746" "translation elongation factor activity" 0.437324318120451
0 0.00743711998371941 2 51 "GO:0003755;GO:0016859" "cis-trans isomerase activity" 0.265525283743063
0 0.0364705113027811 3 20 "GO:0003756;GO:0016864" "intramolecular oxidoreductase activity, transposing S-S bonds" 0.651047911229376
0 0.0424460239074264 1 167 "GO:0003774" "cytoskeletal motor activity" 0.691910977667104
0 0.00792269432179797 2 114 "GO:0003777" "microtubule motor activity" 0.266936224182545
0 0.334601841032066 4 493 "GO:0003779" "actin binding" 1
0 1 5 9 "GO:0003785" "actin monomer binding" 1
0 1 4 5 "GO:0003810" "protein-glutamine gamma-glutamyltransferase activity" 1
0 1 2 23 "GO:0003823" "antigen binding" 1
0 1 4 6 "GO:0003829" "beta-1,3-galactosyl-O-glycosyl-glycoprotein beta-1,6-N-acetylglucosaminyltransferase activity" 1
0 1 2 7 "GO:0003831" "beta-N-acetylglucosaminylglycopeptide beta-1,4-galactosyltransferase activity" 1
0 1 7 9 "GO:0003841;GO:0042171;GO:0071617" "1-acylglycerol-3-phosphate O-acyltransferase activity" 1
0 1 4 13 "GO:0003846" "2-acylglycerol O-acyltransferase activity" 1
0 1 3 11 "GO:0003857" "3-hydroxyacyl-CoA dehydrogenase activity" 1
0 1 3 5 "GO:0003881" "CDP-diacylglycerol-inositol 3-phosphatidyltransferase activity" 1
0 1 2 10 "GO:0003884" "D-amino-acid oxidase activity" 1
0 0.986203545716135 2 278 "GO:0003887" "DNA-directed DNA polymerase activity" 1
0 1 3 5 "GO:0003896" "DNA primase activity" 1
0 1 2 44 "GO:0003899" "DNA-directed 5'-3' RNA polymerase activity" 1
0 0.11522751653954 2 8 "GO:0003909;GO:0003910" "DNA ligase activity" 1
0 0.101581215277571 2 7 "GO:0003916" "DNA topoisomerase activity" 1
0 0.465310536226881 3 295 "GO:0003924" "GTPase activity" 1
0 1 5 9 "GO:0003941" "L-serine ammonia-lyase activity" 1
0 1 2 55 "GO:0003950" "NAD+ ADP-ribosyltransferase activity" 1
0 1 2 11 "GO:0003951" "NAD+ kinase activity" 1
0 1 5 7 "GO:0003958" "NADPH-hemoprotein reductase activity" 1
0 1 2 7 "GO:0003960" "NADPH:quinone reductase activity" 1
0 1 3 5 "GO:0003963" "RNA-3'-phosphate cyclase activity" 1
0 0.999998988852427 2 1216 "GO:0003964;GO:0034061;GO:0016779" "nucleotidyltransferase activity" 1
0 0.205137971416203 6 15 "GO:0003968" "RNA-directed 5'-3' RNA polymerase activity" 1
0 1 2 6 "GO:0003973" "(S)-2-hydroxy-acid oxidase activity" 1
0 1 4 6 "GO:0003988" "acetyl-CoA C-acyltransferase activity" 1
0 1 5 29 "GO:0003993" "acid phosphatase activity" 1
0 1 4 16 "GO:0003995" "acyl-CoA dehydrogenase activity" 1
0 1 3 7 "GO:0003997" "acyl-CoA oxidase activity" 1
0 1 2 8 "GO:0004000" "adenosine deaminase activity" 1
0 1 2 5 "GO:0004016" "adenylate cyclase activity" 1
0 1 3 7 "GO:0004017" "adenylate kinase activity" 1
0 1 4 5 "GO:0004022;GO:0018455" "alcohol dehydrogenase (NAD+) activity" 1
0 1 6 13 "GO:0004029;GO:0004030" "aldehyde dehydrogenase [NAD(P)+] activity" 1
0 1 5 5 "GO:0004032;GO:0019119;GO:0019118" "alditol:NADP+ 1-oxidoreductase activity" 1
0 0.0113796903005315 3 31 "GO:0004033;GO:0008106" "aldo-keto reductase (NADP) activity" 0.326795019282655
