"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
0 1 2 6 "GO:0000014" "single-stranded DNA endodeoxyribonuclease activity" 1
0 1 2 17 "GO:0000030" "mannosyltransferase activity" 1
0 0.714558942486849 4 51 "GO:0000049" "tRNA binding" 1
0 1 4 16 "GO:0000062;GO:0120227;GO:1901567" "acyl-CoA binding" 1
0 1 2 18 "GO:0000099" "sulfur amino acid transmembrane transporter activity" 1
0 0.215965833542989 2 18 "GO:0000146" "microfilament motor activity" 1
0 0.276643844418527 3 109 "GO:0000149" "SNARE binding" 1
0 0.293629754771641 2 7 "GO:0000150" "DNA strand exchange activity" 1
0 0.325239833123102 2 24 "GO:0000175" "3'-5'-exoribonuclease activity" 1
0 1 3 8 "GO:0000182" "rDNA binding" 1
0 0.087308967791649 2 49 "GO:0000217" "DNA secondary structure binding" 1
0 1 2 6 "GO:0000224" "peptide-N4-(N-acetyl-beta-glucosaminyl)asparagine amidase activity" 1
0 0.219861873900202 2 5 "GO:0000234" "phosphoethanolamine N-methyltransferase activity" 1
0 0.372584663336052 2 219 "GO:0000287" "magnesium ion binding" 1
0 1 4 7 "GO:0000295;GO:0005346;GO:0015216" "purine ribonucleotide transmembrane transporter activity" 1
0 0.591032736695814 3 18 "GO:0000339" "RNA cap binding" 1
0 1 5 9 "GO:0000340" "RNA 7-methylguanosine cap binding" 1
0 0.664765566304756 3 22 "GO:0000400" "four-way junction DNA binding" 1
0 0.215965833542989 3 18 "GO:0000403" "Y-form DNA binding" 1
0 1 3 6 "GO:0000900" "translation repressor activity, mRNA regulatory element binding" 1
0 0.0266497890878506 3 461 "GO:0000976;GO:0001067;GO:1990837;GO:0003690" "double-stranded DNA binding" 0.879799869174228
0 0.279735025885166 2 260 "GO:0000977" "RNA polymerase II transcription regulatory region sequence-specific DNA binding" 1
0 0.060208845125275 2 166 "GO:0000978;GO:0000987" "cis-regulatory region sequence-specific DNA binding" 0.986908841051257
0 1 7 16 "GO:0000979" "RNA polymerase II core promoter sequence-specific DNA binding" 1
0 0.992432170338018 2 304 "GO:0000981" "DNA-binding transcription factor activity, RNA polymerase II-specific" 1
0 0.0418458035339204 -1 7 "GO:0000989" "obsolete transcription factor activity, transcription factor binding" 0.945627699395374
0 1 3 39 "GO:0000993;GO:0001099;GO:0043175;GO:0001098" "basal transcription machinery binding" 1
0 0.0933517699597811 6 50 "GO:0001046" "core promoter sequence-specific DNA binding" 1
0 1 5 9 "GO:0001091" "RNA polymerase II general transcription initiation factor binding" 1
0 1 2 6 "GO:0001094" "TFIID-class transcription factor complex binding" 1
0 0.219861873900202 5 5 "GO:0001156;GO:0001025" "RNA polymerase III general transcription initiation factor binding" 1
0 0.219861873900202 2 5 "GO:0001164;GO:0001163" "RNA polymerase I core promoter sequence-specific DNA binding" 1
0 1 -1 5 "GO:0001190" "obsolete transcriptional activator activity, RNA polymerase II transcription factor binding" 1
0 0.448982544375266 -1 12 "GO:0001191" "obsolete transcriptional repressor activity, RNA polymerase II transcription factor binding" 1
0 1 4 14 "GO:0001221" "transcription coregulator binding" 1
0 1 5 9 "GO:0001223" "transcription coactivator binding" 1
0 1 3 24 "GO:0001227;GO:0001217" "DNA-binding transcription repressor activity, RNA polymerase II-specific" 1
0 0.770220982035822 2 57 "GO:0001228;GO:0001216" "DNA-binding transcription activator activity, RNA polymerase II-specific" 1
0 1 3 45 "GO:0001517" "N-acetylglucosamine 6-O-sulfotransferase activity" 1
0 0.702020509177597 2 74 "GO:0001530" "lipopolysaccharide binding" 1
0 0.656952726429954 4 137 "GO:0001540" "amyloid-beta binding" 1
0 1 4 6 "GO:0001566;GO:0001565" "non-kinase phorbol ester receptor activity" 1
0 0.257660618880537 3 6 "GO:0001587" "Gq/11-coupled serotonin receptor activity" 1
0 1 4 10 "GO:0001588" "dopamine neurotransmitter receptor activity, coupled via Gs" 1
0 1 4 13 "GO:0001591" "dopamine neurotransmitter receptor activity, coupled via Gi/Go" 1
0 1 6 168 "GO:0001594" "trace-amine receptor activity" 1
0 1 7 21 "GO:0001601" "peptide YY receptor activity" 1
0 1 3 33 "GO:0001602" "pancreatic polypeptide receptor activity" 1
0 1 3 280 "GO:0001609" "G protein-coupled adenosine receptor activity" 1
0 0.647681655762386 3 21 "GO:0001618;GO:0140272" "virus receptor activity" 1
0 0.270656374113325 2 21 "GO:0001640;GO:0098988" "G protein-coupled glutamate receptor activity" 1
0 0.0672892391625857 7 9 "GO:0001641" "group II metabotropic glutamate receptor activity" 0.986908841051257
0 0.999858160168628 4 419 "GO:0001664" "G protein-coupled receptor binding" 1
0 0.0225062024898776 2 13 "GO:0001671;GO:0140677" "molecular function activator activity" 0.825227424628845
0 1 2 6 "GO:0001727" "lipid kinase activity" 1
0 0.681021888457035 3 23 "GO:0001733;GO:0050694" "galactose 3-O-sulfotransferase activity" 1
0 1 2 15 "GO:0001784" "phosphotyrosine residue binding" 1
0 0.561013302714513 3 60 "GO:0001786" "phosphatidylserine binding" 1
0 1 3 6 "GO:0001848;GO:0001846" "opsonin binding" 1
0 1 2 9 "GO:0001882" "nucleoside binding" 1
0 0.743167935380622 3 79 "GO:0001965" "G-protein alpha-subunit binding" 1
0 0.128500361965582 3 13 "GO:0001968" "fibronectin binding" 1
0 1 2 9 "GO:0001972" "retinoic acid binding" 1
0 0.0583496862550653 2 149 "GO:0002020" "protease binding" 0.986908841051257
0 0.0329237482784603 3 50 "GO:0002039" "p53 binding" 0.879799869174228
0 1 3 6 "GO:0002151" "G-quadruplex RNA binding" 1
0 1 2 10 "GO:0002161" "aminoacyl-tRNA editing activity" 1
0 0.629728070921954 3 20 "GO:0002162" "dystroglycan binding" 1
0 0.327857755200286 2 8 "GO:0002951;GO:0000048" "leukotriene-C(4) hydrolase" 1
0 0.0699084311371764 3 20 "GO:0003680" "minor groove of adenine-thymine-rich DNA binding" 0.992248700011536
0 0.274807434220448 2 491 "GO:0003682" "chromatin binding" 1
0 0.105163692818902 4 67 "GO:0003684" "damaged DNA binding" 1
0 1 6 9 "GO:0003688" "DNA replication origin binding" 1
0 0.391423080011156 2 10 "GO:0003689" "DNA clamp loader activity" 1
0 1 3 6 "GO:0003696" "satellite DNA binding" 1
0 0.604796332273663 3 108 "GO:0003697" "single-stranded DNA binding" 1
0 0.195092312874992 2 852 "GO:0003700;GO:0140110" "transcription regulator activity" 1
0 1 3 25 "GO:0003707" "steroid hormone receptor activity" 1
0 0.0154413892257611 2 197 "GO:0003712" "transcription coregulator activity" 0.771012501730807
0 0.052422138390109 3 115 "GO:0003713" "transcription coactivator activity" 0.977048662162805
0 0.0128937930229534 2 65 "GO:0003714" "transcription corepressor activity" 0.771012501730807
0 1 2 5 "GO:0003720" "telomerase activity" 1
0 0.0394145293709985 2 1567 "GO:0003723" "RNA binding" 0.945627699395374
0 1 3 5 "GO:0003724" "RNA helicase activity" 1
0 0.102413111300627 4 37 "GO:0003725" "double-stranded RNA binding" 1
0 0.779658787486235 3 84 "GO:0003727" "single-stranded RNA binding" 1
0 0.572771296569684 2 147 "GO:0003729" "mRNA binding" 1
0 0.83288329764884 4 36 "GO:0003730" "mRNA 3'-UTR binding" 1
0 0.865001420154156 2 152 "GO:0003735" "structural constituent of ribosome" 1
0 0.944089386466233 4 58 "GO:0003743" "translation initiation factor activity" 1
0 1 4 14 "GO:0003746" "translation elongation factor activity" 1
0 0.714558942486849 2 51 "GO:0003755;GO:0016859" "cis-trans isomerase activity" 1
0 0.629728070921954 4 20 "GO:0003756;GO:0016864" "intramolecular oxidoreductase activity, transposing S-S bonds" 1
0 0.112156511422043 1 167 "GO:0003774" "cytoskeletal motor activity" 1
0 0.477309073590255 2 114 "GO:0003777" "microtubule motor activity" 1
0 0.217235189079487 2 493 "GO:0003779" "actin binding" 1
0 0.0672892391625857 3 9 "GO:0003785" "actin monomer binding" 0.986908841051257
0 1 2 5 "GO:0003810" "protein-glutamine gamma-glutamyltransferase activity" 1
0 1 2 23 "GO:0003823" "antigen binding" 1
0 1 2 6 "GO:0003829" "beta-1,3-galactosyl-O-glycosyl-glycoprotein beta-1,6-N-acetylglucosaminyltransferase activity" 1
