"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
0 1 2 6 "GO:0000014" "single-stranded DNA endodeoxyribonuclease activity" 1
0 1 2 17 "GO:0000030" "mannosyltransferase activity" 1
0 1 2 51 "GO:0000049" "tRNA binding" 1
0 1 7 16 "GO:0000062;GO:0120227;GO:1901567" "acyl-CoA binding" 1
0 1 2 18 "GO:0000099" "sulfur amino acid transmembrane transporter activity" 1
0 1 2 18 "GO:0000146" "microfilament motor activity" 1
0 1 2 109 "GO:0000149" "SNARE binding" 1
0 1 2 7 "GO:0000150" "DNA strand exchange activity" 1
0 1 2 24 "GO:0000175" "3'-5'-exoribonuclease activity" 1
0 1 2 8 "GO:0000182" "rDNA binding" 1
0 1 2 49 "GO:0000217" "DNA secondary structure binding" 1
0 1 5 6 "GO:0000224" "peptide-N4-(N-acetyl-beta-glucosaminyl)asparagine amidase activity" 1
0 1 6 5 "GO:0000234" "phosphoethanolamine N-methyltransferase activity" 1
0 1 2 219 "GO:0000287" "magnesium ion binding" 1
0 1 3 7 "GO:0000295;GO:0005346;GO:0015216" "adenine nucleotide transmembrane transporter activity" 1
0 1 4 18 "GO:0000339" "RNA cap binding" 1
0 1 2 9 "GO:0000340" "RNA 7-methylguanosine cap binding" 1
0 1 3 22 "GO:0000400" "four-way junction DNA binding" 1
0 1 2 18 "GO:0000403" "Y-form DNA binding" 1
0 1 2 6 "GO:0000900" "translation repressor activity, mRNA regulatory element binding" 1
0 0.449322195906677 2 461 "GO:0000976;GO:0001067;GO:1990837;GO:0003690" "double-stranded DNA binding" 1
0 0.21037556595238 3 260 "GO:0000977" "RNA polymerase II transcription regulatory region sequence-specific DNA binding" 1
0 0.422217581099134 4 166 "GO:0000978;GO:0000987" "cis-regulatory region sequence-specific DNA binding" 1
0 1 2 16 "GO:0000979" "RNA polymerase II core promoter sequence-specific DNA binding" 1
0 1 2 304 "GO:0000981" "DNA-binding transcription factor activity, RNA polymerase II-specific" 1
0 1 -1 7 "GO:0000989" "obsolete transcription factor activity, transcription factor binding" 1
0 1 2 39 "GO:0000993;GO:0001099;GO:0043175;GO:0001098" "basal RNA polymerase II transcription machinery binding" 1
0 1 3 50 "GO:0001046" "core promoter sequence-specific DNA binding" 1
0 1 2 9 "GO:0001091" "RNA polymerase II general transcription initiation factor binding" 1
0 1 2 6 "GO:0001094" "TFIID-class transcription factor complex binding" 1
0 1 2 5 "GO:0001156;GO:0001025" "TFIIIC-class transcription factor complex binding" 1
0 1 4 5 "GO:0001164;GO:0001163" "RNA polymerase I core promoter sequence-specific DNA binding" 1
0 1 -1 5 "GO:0001190" "obsolete transcriptional activator activity, RNA polymerase II transcription factor binding" 1
0 1 -1 12 "GO:0001191" "obsolete transcriptional repressor activity, RNA polymerase II transcription factor binding" 1
0 1 2 14 "GO:0001221" "transcription coregulator binding" 1
0 1 3 9 "GO:0001223" "transcription coactivator binding" 1
0 1 2 24 "GO:0001227;GO:0001217" "DNA-binding transcription repressor activity, RNA polymerase II-specific" 1
0 1 2 57 "GO:0001228;GO:0001216" "DNA-binding transcription activator activity, RNA polymerase II-specific" 1
0 1 5 45 "GO:0001517" "N-acetylglucosamine 6-O-sulfotransferase activity" 1
0 1 2 74 "GO:0001530" "lipopolysaccharide binding" 1
0 1 3 137 "GO:0001540" "amyloid-beta binding" 1
0 1 3 6 "GO:0001566;GO:0001565" "non-kinase phorbol ester receptor activity" 1
0 1 2 6 "GO:0001587" "Gq/11-coupled serotonin receptor activity" 1
0 1 2 10 "GO:0001588" "dopamine neurotransmitter receptor activity, coupled via Gs" 1
0 1 2 13 "GO:0001591" "dopamine neurotransmitter receptor activity, coupled via Gi/Go" 1
0 1 2 168 "GO:0001594" "trace-amine receptor activity" 1
0 1 7 21 "GO:0001601" "peptide YY receptor activity" 1
0 1 2 33 "GO:0001602" "pancreatic polypeptide receptor activity" 1
0 1 3 280 "GO:0001609" "G protein-coupled adenosine receptor activity" 1
0 1 3 21 "GO:0001618;GO:0140272" "virus receptor activity" 1
0 1 2 21 "GO:0001640;GO:0098988" "G protein-coupled glutamate receptor activity" 1
0 1 2 9 "GO:0001641" "group II metabotropic glutamate receptor activity" 1
0 1 3 419 "GO:0001664" "G protein-coupled receptor binding" 1
0 1 3 13 "GO:0001671;GO:0140677" "molecular function activator activity" 1
0 1 3 6 "GO:0001727" "lipid kinase activity" 1
0 1 3 23 "GO:0001733;GO:0050694" "galactosylceramide sulfotransferase activity" 1
0 1 2 15 "GO:0001784" "phosphotyrosine residue binding" 1
0 1 2 60 "GO:0001786" "phosphatidylserine binding" 1
0 1 2 6 "GO:0001848;GO:0001846" "opsonin binding" 1
0 1 2 9 "GO:0001882" "nucleoside binding" 1
0 1 3 79 "GO:0001965" "G-protein alpha-subunit binding" 1
0 1 2 13 "GO:0001968" "fibronectin binding" 1
0 1 3 9 "GO:0001972" "retinoic acid binding" 1
0 1 2 149 "GO:0002020" "protease binding" 1
0 1 3 50 "GO:0002039" "p53 binding" 1
0 1 4 6 "GO:0002151" "G-quadruplex RNA binding" 1
0 1 2 10 "GO:0002161" "aminoacyl-tRNA editing activity" 1
0 1 3 20 "GO:0002162" "dystroglycan binding" 1
0 1 4 8 "GO:0002951;GO:0000048" "leukotriene-C(4) hydrolase" 1
0 1 3 20 "GO:0003680" "minor groove of adenine-thymine-rich DNA binding" 1
0 0.482077258879102 2 491 "GO:0003682" "chromatin binding" 1
0 1 2 67 "GO:0003684" "damaged DNA binding" 1
0 1 2 9 "GO:0003688" "DNA replication origin binding" 1
0 1 4 10 "GO:0003689" "DNA clamp loader activity" 1
0 1 6 6 "GO:0003696" "satellite DNA binding" 1
0 0.299789630448016 2 108 "GO:0003697" "single-stranded DNA binding" 1
0 0.775902082852511 2 852 "GO:0003700;GO:0140110" "transcription regulator activity" 1
0 1 3 25 "GO:0003707" "steroid hormone receptor activity" 1
0 0.13689507051963 2 197 "GO:0003712" "transcription coregulator activity" 1
0 0.31582349345372 2 115 "GO:0003713" "transcription coactivator activity" 1
0 0.192856647718482 2 65 "GO:0003714" "transcription corepressor activity" 1
0 1 6 5 "GO:0003720" "telomerase activity" 1
0 0.0696715864621004 3 1567 "GO:0003723" "RNA binding" 1
0 1 2 5 "GO:0003724" "RNA helicase activity" 1
0 1 2 37 "GO:0003725" "double-stranded RNA binding" 1
0 1 4 84 "GO:0003727" "single-stranded RNA binding" 1
0 0.384634952684561 2 147 "GO:0003729" "mRNA binding" 1
0 0.111817292934042 3 36 "GO:0003730" "mRNA 3'-UTR binding" 1
0 1 2 152 "GO:0003735" "structural constituent of ribosome" 1
0 0.173988875106697 2 58 "GO:0003743" "translation initiation factor activity" 1
0 1 5 14 "GO:0003746" "translation elongation factor activity" 1
0 1 2 51 "GO:0003755;GO:0016859" "cis-trans isomerase activity" 1
0 1 4 20 "GO:0003756;GO:0016864" "intramolecular oxidoreductase activity, transposing S-S bonds" 1
0 1 1 167 "GO:0003774" "cytoskeletal motor activity" 1
0 1 2 114 "GO:0003777" "microtubule motor activity" 1
0 0.484219609139587 2 493 "GO:0003779" "actin binding" 1
0 1 2 9 "GO:0003785" "actin monomer binding" 1
0 1 3 5 "GO:0003810" "protein-glutamine gamma-glutamyltransferase activity" 1
0 1 2 23 "GO:0003823" "antigen binding" 1
0 1 2 6 "GO:0003829" "beta-1,3-galactosyl-O-glycosyl-glycoprotein beta-1,6-N-acetylglucosaminyltransferase activity" 1
0 1 2 7 "GO:0003831" "beta-N-acetylglucosaminylglycopeptide beta-1,4-galactosyltransferase activity" 1
0 1 6 9 "GO:0003841;GO:0042171;GO:0071617" "lysophosphatidic acid acyltransferase activity" 1
0 1 2 13 "GO:0003846" "2-acylglycerol O-acyltransferase activity" 1
0 1 2 11 "GO:0003857" "3-hydroxyacyl-CoA dehydrogenase activity" 1
0 1 2 5 "GO:0003881" "CDP-diacylglycerol-inositol 3-phosphatidyltransferase activity" 1
0 1 2 10 "GO:0003884" "D-amino-acid oxidase activity" 1
0 1 2 278 "GO:0003887" "DNA-directed DNA polymerase activity" 1
0 1 4 5 "GO:0003896" "DNA primase activity" 1
0 1 3 44 "GO:0003899" "DNA-directed 5'-3' RNA polymerase activity" 1
