"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
0 0.0001708325013749 3 58 "GO:0000018" "regulation of DNA recombination" 0.00763051839474553
0 0.125951372534972 5 96 "GO:0000041" "transition metal ion transport" 1
0 0.172354629156102 5 220 "GO:0000082;GO:0044843;GO:0035278;GO:0035195;GO:0040033;GO:0035194;GO:0016441;GO:0010586;GO:0021915;GO:0072089" "G1/S transition of mitotic cell cycle" 1
0 0.0242491021439123 2 68 "GO:0000086;GO:0044839" "cell cycle G2/M phase transition" 0.380815859304826
0 0.874599267074258 3 68 "GO:0000096" "sulfur amino acid metabolic process" 1
0 0.00899489881164307 2 395 "GO:0000122" "negative regulation of transcription by RNA polymerase II" 0.174683542139155
0 0.983791228405661 2 177 "GO:0000165" "MAPK cascade" 1
0 0.964439476833497 -1 97 "GO:0000187" "obsolete activation of MAPK activity" 1
0 0.319964097938423 2 341 "GO:0000209" "protein polyubiquitination" 1
0 3.78311876934914e-06 2 231 "GO:0000226" "microtubule cytoskeleton organization" 0.000362098510780561
0 1 2 50 "GO:0000272" "polysaccharide catabolic process" 1
0 0.494257002502737 2 89 "GO:0000278" "mitotic cell cycle" 1
0 0.304170103049588 3 105 "GO:0000281;GO:0061640" "cytoskeleton-dependent cytokinesis" 1
0 0.829190809724271 4 110 "GO:0000302" "response to reactive oxygen species" 1
0 0.794904861905651 3 127 "GO:0000398;GO:0000377;GO:0000375" "RNA splicing, via transesterification reactions" 1
0 0.00465296904103461 2 110 "GO:0000723;GO:0032200" "telomere organization" 0.107499629568731
0 2.19463298944756e-05 5 103 "GO:0000724;GO:0000725" "recombinational repair" 0.00140038485993321
0 0.287816472609029 2 244 "GO:0000902" "cell morphogenesis" 1
0 0.320637483125101 3 178 "GO:0000904" "cell morphogenesis involved in differentiation" 1
0 0.100690271640327 2 137 "GO:0000910" "cytokinesis" 0.924143589027659
0 0.997969002282068 2 116 "GO:0001101;GO:0043200" "response to acid chemical" 1
0 0.933800166396101 4 215 "GO:0001501" "skeletal system development" 1
0 0.340489354181332 2 272 "GO:0001503" "ossification" 1
0 0.607724256357053 2 182 "GO:0001505" "regulation of neurotransmitter levels" 1
0 0.806928924257591 4 106 "GO:0001508" "action potential" 1
0 0.998480726482947 3 299 "GO:0001525" "angiogenesis" 1
0 0.343611069367734 3 57 "GO:0001539;GO:0060285" "cilium or flagellum-dependent cell motility" 1
0 0.532663369450753 2 249 "GO:0001558" "regulation of cell growth" 1
0 0.537141781172 2 113 "GO:0001568" "blood vessel development" 1
0 0.937707588278479 2 52 "GO:0001570" "vasculogenesis" 1
0 0.403290980701368 2 62 "GO:0001649" "osteoblast differentiation" 1
0 0.721969102324323 2 201 "GO:0001654;GO:0007423" "sensory organ development" 1
0 1 2 61 "GO:0001656" "metanephros development" 1
0 1 3 85 "GO:0001657;GO:0072164;GO:0072163" "mesonephric epithelium development" 1
0 0.791874237241743 2 80 "GO:0001659" "temperature homeostasis" 1
0 0.99136067506667 3 223 "GO:0001666;GO:0036293;GO:0070482" "response to oxygen levels" 1
0 0.991977298408737 2 195 "GO:0001667" "ameboidal-type cell migration" 1
0 0.769174640960355 4 53 "GO:0001676" "long-chain fatty acid metabolic process" 1
0 0.909718311262643 2 155 "GO:0001701;GO:0043009" "chordate embryonic development" 1
0 0.759931018770619 2 52 "GO:0001708" "cell fate specification" 1
0 0.498196136028987 3 51 "GO:0001709" "cell fate determination" 1
0 0.721380435333543 4 137 "GO:0001736;GO:0007164" "establishment of planar polarity" 1
0 1 4 50 "GO:0001755" "neural crest cell migration" 1
0 0.511299155850292 2 52 "GO:0001756" "somitogenesis" 1
0 0.997199543903432 4 110 "GO:0001764" "neuron migration" 1
0 0.949695088079263 4 56 "GO:0001776" "leukocyte homeostasis" 1
0 0.971859665439577 2 369 "GO:0001817" "regulation of cytokine production" 1
0 0.950595536886695 4 147 "GO:0001818" "negative regulation of cytokine production" 1
0 0.886743839991608 2 219 "GO:0001819" "positive regulation of cytokine production" 1
0 0.983884982399675 4 206 "GO:0001822" "kidney development" 1
0 0.986330556336119 3 118 "GO:0001837;GO:0048762" "mesenchymal cell differentiation" 1
0 0.97972489447479 2 73 "GO:0001838;GO:0072175" "epithelial tube formation" 1
0 0.138679178606222 5 114 "GO:0001843;GO:0060606" "tube closure" 1
0 0.725857807089553 2 94 "GO:0001889" "liver development" 1
0 0.281626888044614 5 225 "GO:0001894;GO:0060249" "anatomical structure homeostasis" 1
0 0.87912822965866 3 1384 "GO:0001932;GO:0031399;GO:0042325;GO:0019220;GO:0051174" "regulation of protein modification process" 1
0 0.846983063667114 3 868 "GO:0001934;GO:0031401;GO:0042327;GO:0045937;GO:0010562" "positive regulation of protein modification process" 1
0 0.769944975941551 2 77 "GO:0001936" "regulation of endothelial cell proliferation" 1
0 0.949695088079263 4 56 "GO:0001938" "positive regulation of endothelial cell proliferation" 1
0 0.642110267440581 5 63 "GO:0001947" "heart looping" 1
0 0.839235626340111 6 62 "GO:0001952" "regulation of cell-matrix adhesion" 1
0 0.97837138594728 2 108 "GO:0001959;GO:0060759" "regulation of response to cytokine stimulus" 1
0 0.863693917404159 2 66 "GO:0001960;GO:0060761" "negative regulation of response to cytokine stimulus" 1
0 0.38139690731545 6 78 "GO:0001975" "response to amphetamine" 1
0 0.4333252533863 3 83 "GO:0002024;GO:1990845;GO:0031649;GO:0040015;GO:2000969;GO:2000311;GO:0099601;GO:0061885;GO:0061884" "adaptive thermogenesis" 1
0 0.4333252533863 2 83 "GO:0002027" "regulation of heart rate" 1
0 0.718924396123391 7 115 "GO:0002028" "regulation of sodium ion transport" 1
0 1 2 58 "GO:0002040" "sprouting angiogenesis" 1
0 0.946933826277825 2 55 "GO:0002063" "chondrocyte development" 1
0 0.883482795802653 2 122 "GO:0002064" "epithelial cell development" 1
0 0.533489487494169 3 93 "GO:0002218" "activation of innate immune response" 1
0 0.65269308958862 5 64 "GO:0002220;GO:0002758" "innate immune response-activating signal transduction" 1
0 0.775841641710435 2 101 "GO:0002221" "pattern recognition receptor signaling pathway" 1
0 0.879745020835951 2 69 "GO:0002224" "toll-like receptor signaling pathway" 1
0 0.944349922441019 4 221 "GO:0002237;GO:0032496" "response to molecule of bacterial origin" 1
0 0.00582975820660298 2 76 "GO:0002244" "hematopoietic progenitor cell differentiation" 0.128063540931934
0 0.881237550759444 3 96 "GO:0002250" "adaptive immune response" 1
0 0.688198312717789 2 257 "GO:0002252" "immune effector process" 1
0 0.459799128604944 3 180 "GO:0002253" "activation of immune response" 1
0 0.557745698714234 2 214 "GO:0002274;GO:0002366;GO:0002263" "myeloid leukocyte activation" 1
0 0.545074374678258 1 1145 "GO:0002376" "immune system process" 1
0 0.0517240960399848 2 52 "GO:0002478;GO:0019884" "antigen processing and presentation of exogenous antigen" 0.618841863335532
0 0.347721342341899 2 146 "GO:0002521" "leukocyte differentiation" 1
0 0.496079049978828 2 70 "GO:0002573" "myeloid leukocyte differentiation" 1
0 0.339576269885783 2 127 "GO:0002576;GO:0032310;GO:0015732;GO:0140353" "platelet degranulation" 1
0 0.494257002502737 3 89 "GO:0002678;GO:0002676;GO:0031284;GO:0031282;GO:1900373;GO:1900371;GO:0030810;GO:0030808;GO:0010575;GO:0010574;GO:0060087;GO:0044557;GO:0090075" "relaxation of muscle" 1
0 0.932764548501535 2 951 "GO:0002682" "regulation of immune system process" 1
0 0.891602707161812 4 267 "GO:0002683" "negative regulation of immune system process" 1
0 0.949873213052725 2 508 "GO:0002684" "positive regulation of immune system process" 1
0 1 4 56 "GO:0002685" "regulation of leukocyte migration" 1
0 0.679642268778371 2 337 "GO:0002694;GO:0050865" "regulation of cell activation" 1
0 0.670740335371175 2 192 "GO:0002696;GO:0050867" "positive regulation of cell activation" 1
0 0.815885291681019 4 221 "GO:0002697;GO:0002699;GO:0002703" "regulation of immune effector process" 1
0 0.21902113182 3 62 "GO:0002700;GO:0002702" "regulation of production of molecular mediator of immune response" 1
0 0.863693917404159 2 66 "GO:0002711;GO:0002709" "regulation of T cell mediated immunity" 1
0 0.732843531010566 2 117 "GO:0002761" "regulation of myeloid leukocyte differentiation" 1
0 0.453859144055466 2 85 "GO:0002763;GO:0045639" "positive regulation of myeloid cell differentiation" 1
