"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
0 0.991004701476706 2 58 "GO:0000018" "regulation of DNA recombination" 1
0 0.972070444866198 5 96 "GO:0000041" "transition metal ion transport" 1
0 0.995946313979901 2 220 "GO:0000082;GO:0044843;GO:0035278;GO:0035195;GO:0040033;GO:0035194;GO:0016441;GO:0010586;GO:0021915;GO:0072089" "G1/S transition of mitotic cell cycle" 1
0 0.99986919480175 2 68 "GO:0000086;GO:0044839" "cell cycle G2/M phase transition" 1
0 0.97262764017688 2 68 "GO:0000096" "sulfur amino acid metabolic process" 1
0 0.999824229722171 2 395 "GO:0000122" "negative regulation of transcription by RNA polymerase II" 1
0 0.994077897470087 5 177 "GO:0000165" "MAPK cascade" 1
0 0.0042290409098436 -1 97 "GO:0000187" "obsolete activation of MAPK activity" 0.415497305049507
0 0.919808136851688 2 341 "GO:0000209" "protein polyubiquitination" 1
0 0.999999362647542 2 231 "GO:0000226" "microtubule cytoskeleton organization" 1
0 0.629833657882804 2 50 "GO:0000272" "polysaccharide catabolic process" 1
0 0.987389157145414 3 89 "GO:0000278" "mitotic cell cycle" 1
0 0.981148230928836 2 105 "GO:0000281;GO:0061640" "cytoskeleton-dependent cytokinesis" 1
0 0.957755876352135 3 110 "GO:0000302" "response to reactive oxygen species" 1
0 0.999991566350524 3 127 "GO:0000398;GO:0000377;GO:0000375" "RNA splicing, via transesterification reactions" 1
0 0.999044852381627 5 110 "GO:0000723;GO:0032200" "telomere organization" 1
0 0.965212168916934 2 103 "GO:0000724;GO:0000725" "recombinational repair" 1
0 0.663779544194286 2 244 "GO:0000902" "cell morphogenesis" 1
0 0.466133081565259 4 178 "GO:0000904" "cell morphogenesis involved in differentiation" 1
0 0.996872016674188 2 137 "GO:0000910" "cytokinesis" 1
0 0.906609174590368 2 116 "GO:0001101;GO:0043200" "response to acid chemical" 1
0 0.770106116298712 2 215 "GO:0001501" "skeletal system development" 1
0 0.364975469723389 2 272 "GO:0001503" "ossification" 1
0 0.578839672080623 2 182 "GO:0001505" "regulation of neurotransmitter levels" 1
0 0.945385249296745 3 106 "GO:0001508" "action potential" 1
0 0.225163629834696 3 299 "GO:0001525" "angiogenesis" 1
0 0.993223865161832 2 57 "GO:0001539;GO:0060285" "cilium or flagellum-dependent cell motility" 1
0 0.812920469741749 2 249 "GO:0001558" "regulation of cell growth" 1
0 0.957021050542924 3 113 "GO:0001568" "blood vessel development" 1
0 0.321852828866503 3 52 "GO:0001570" "vasculogenesis" 1
0 0.431831737008734 3 62 "GO:0001649" "osteoblast differentiation" 1
0 0.956610986117219 2 201 "GO:0001654;GO:0007423" "sensory organ development" 1
0 0.465333315727352 5 61 "GO:0001656" "metanephros development" 1
0 0.34039109058346 2 85 "GO:0001657;GO:0072164;GO:0072163" "mesonephric epithelium development" 1
0 0.385834675207989 4 80 "GO:0001659" "temperature homeostasis" 1
0 0.963861643023241 2 223 "GO:0001666;GO:0036293;GO:0070482" "response to oxygen levels" 1
0 0.634293659320317 4 195 "GO:0001667" "ameboidal-type cell migration" 1
0 0.737300587237532 2 53 "GO:0001676" "long-chain fatty acid metabolic process" 1
