"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
0 0.0608011510336566 3 58 "GO:0000018" "regulation of DNA recombination" 1
0 0.917004625054014 2 96 "GO:0000041" "transition metal ion transport" 1
0 0.922258713096503 4 220 "GO:0000082;GO:0044843;GO:0035278;GO:0035195;GO:0040033;GO:0035194;GO:0016441;GO:0010586;GO:0021915;GO:0072089" "cell cycle G1/S phase transition" 1
0 1 3 68 "GO:0000086;GO:0044839" "cell cycle G2/M phase transition" 1
0 1 2 68 "GO:0000096" "sulfur amino acid metabolic process" 1
0 0.974542607420883 3 395 "GO:0000122" "negative regulation of transcription by RNA polymerase II" 1
0 0.989901216485134 3 177 "GO:0000165" "MAPK cascade" 1
0 0.712756114090683 -1 97 "GO:0000187" "obsolete activation of MAPK activity" 1
0 0.975926139111691 8 341 "GO:0000209" "protein polyubiquitination" 1
0 0.982436480108633 2 231 "GO:0000226" "microtubule cytoskeleton organization" 1
0 0.366586247667859 2 50 "GO:0000272" "polysaccharide catabolic process" 1
0 1 2 89 "GO:0000278" "mitotic cell cycle" 1
0 1 2 105 "GO:0000281;GO:0061640" "cytoskeleton-dependent cytokinesis" 1
0 1 3 110 "GO:0000302" "response to reactive oxygen species" 1
0 1 6 127 "GO:0000398;GO:0000377;GO:0000375" "RNA splicing, via transesterification reactions" 1
0 0.775266925502854 3 110 "GO:0000723;GO:0032200" "telomere organization" 1
0 1 2 103 "GO:0000724;GO:0000725" "recombinational repair" 1
0 0.950429481262328 3 244 "GO:0000902" "cell morphogenesis" 1
0 0.990160801824987 2 178 "GO:0000904" "cell morphogenesis involved in differentiation" 1
0 1 2 137 "GO:0000910" "cytokinesis" 1
0 1 2 116 "GO:0001101;GO:0043200" "response to acid chemical" 1
0 0.914790161389331 4 215 "GO:0001501" "skeletal system development" 1
0 0.827225119963193 2 272 "GO:0001503" "ossification" 1
0 0.686703334402148 2 182 "GO:0001505" "regulation of neurotransmitter levels" 1
0 0.757420458694942 2 106 "GO:0001508" "action potential" 1
0 0.778488359477521 2 299 "GO:0001525" "angiogenesis" 1
0 0.0577232366407344 3 57 "GO:0001539;GO:0060285" "cilium or flagellum-dependent cell motility" 1
0 0.998454701197454 2 249 "GO:0001558" "regulation of cell growth" 1
0 0.946633316565815 3 113 "GO:0001568" "blood vessel development" 1
0 0.740030133292728 4 52 "GO:0001570" "vasculogenesis" 1
0 1 2 62 "GO:0001649" "osteoblast differentiation" 1
0 0.408283112375743 5 201 "GO:0001654;GO:0007423" "sensory organ development" 1
0 1 2 61 "GO:0001656" "metanephros development" 1
0 1 5 85 "GO:0001657;GO:0072164;GO:0072163" "mesonephric epithelium development" 1
0 0.609778269704888 2 80 "GO:0001659" "temperature homeostasis" 1
0 0.926447597990688 2 223 "GO:0001666;GO:0036293;GO:0070482" "response to oxygen levels" 1
0 0.961153570008092 4 195 "GO:0001667" "ameboidal-type cell migration" 1
0 0.153422508465976 2 53 "GO:0001676" "long-chain fatty acid metabolic process" 1
0 0.760621945273249 6 155 "GO:0001701;GO:0043009" "chordate embryonic development" 1
0 0.740030133292728 2 52 "GO:0001708" "cell fate specification" 1
0 1 3 51 "GO:0001709" "cell fate determination" 1
0 0.68351518069713 4 137 "GO:0001736;GO:0007164" "establishment of planar polarity" 1
0 0.726192722900096 2 50 "GO:0001755" "neural crest cell migration" 1
0 1 4 52 "GO:0001756" "somitogenesis" 1
0 0.942307093728774 2 110 "GO:0001764" "neuron migration" 1
0 0.765644854860371 2 56 "GO:0001776" "leukocyte homeostasis" 1
0 0.912169217798785 4 369 "GO:0001817" "regulation of cytokine production" 1
0 1 4 147 "GO:0001818" "negative regulation of cytokine production" 1
0 0.48914822991254 2 219 "GO:0001819" "positive regulation of cytokine production" 1
0 0.995256031665701 4 206 "GO:0001822" "kidney development" 1
0 1 2 118 "GO:0001837;GO:0048762" "mesenchymal cell differentiation" 1
0 0.849217726476432 4 73 "GO:0001838;GO:0072175" "epithelial tube formation" 1
0 1 2 114 "GO:0001843;GO:0060606" "tube closure" 1
0 1 2 94 "GO:0001889" "liver development" 1
0 0.929124132058305 3 225 "GO:0001894;GO:0060249" "anatomical structure homeostasis" 1
0 0.994896759164746 3 1384 "GO:0001932;GO:0042325;GO:0019220;GO:0051174;GO:0031399" "regulation of protein modification process" 1
0 0.98802055310433 2 868 "GO:0001934;GO:0031401;GO:0042327;GO:0045937;GO:0010562" "positive regulation of protein modification process" 1
0 1 4 77 "GO:0001936" "regulation of endothelial cell proliferation" 1
0 1 3 56 "GO:0001938" "positive regulation of endothelial cell proliferation" 1
0 1 2 63 "GO:0001947" "heart looping" 1
0 1 3 62 "GO:0001952" "regulation of cell-matrix adhesion" 1
0 0.766491876411793 2 108 "GO:0001959;GO:0060759" "regulation of response to cytokine stimulus" 1
0 1 2 66 "GO:0001960;GO:0060761" "negative regulation of response to cytokine stimulus" 1
0 0.13903009717821 4 78 "GO:0001975" "response to amphetamine" 1
0 0.883684517779979 2 83 "GO:0002024;GO:1990845;GO:0031649;GO:0040015;GO:2000969;GO:2000311;GO:0099601;GO:0061885;GO:0061884" "adaptive thermogenesis" 1
0 0.883684517779979 5 83 "GO:0002027" "regulation of heart rate" 1
0 0.566098534476375 7 115 "GO:0002028" "regulation of sodium ion transport" 1
0 1 2 58 "GO:0002040" "sprouting angiogenesis" 1
0 0.759487754212221 2 55 "GO:0002063" "chondrocyte development" 1
0 0.957763010491687 3 122 "GO:0002064" "epithelial cell development" 1
