"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
0 1 2 11 "GO:0000109" "nucleotide-excision repair complex" 1
0 1 3 42 "GO:0000118" "histone deacetylase complex" 1
0 1 4 67 "GO:0000123;GO:0031248;GO:1902493" "protein acetyltransferase complex" 1
0 0.321084433245747 2 640 "GO:0000139" "Golgi membrane" 1
0 0.200685482800988 2 44 "GO:0000152" "nuclear ubiquitin ligase complex" 1
0 1 3 14 "GO:0000176" "nuclear exosome (RNase complex)" 1
0 1 3 15 "GO:0000177" "cytoplasmic exosome (RNase complex)" 1
0 1 3 23 "GO:0000178;GO:1905354" "exoribonuclease complex" 1
0 1 4 68 "GO:0000228" "nuclear chromosome" 1
0 1 2 13 "GO:0000242" "pericentriolar material" 1
0 1 2 13 "GO:0000307" "cyclin-dependent protein kinase holoenzyme complex" 1
0 0.28972623705137 7 18 "GO:0000324;GO:0000322" "storage vacuole" 1
0 1 2 15 "GO:0000407" "phagophore assembly site" 1
0 1 5 16 "GO:0000421" "autophagosome membrane" 1
0 0.620866446095408 3 51 "GO:0000502;GO:1905369" "endopeptidase complex" 1
0 1 3 45 "GO:0000775" "chromosome, centromeric region" 1
0 0.628014857852524 2 52 "GO:0000776" "kinetochore" 1
0 1 3 55 "GO:0000781" "chromosome, telomeric region" 1
0 0.489299655739945 2 87 "GO:0000785" "chromatin" 1
0 1 2 83 "GO:0000786;GO:0044815" "DNA packaging complex" 1
0 1 3 26 "GO:0000792" "heterochromatin" 1
0 0.541391287345528 2 41 "GO:0000794;GO:0000793" "condensed chromosome" 1
0 1 3 10 "GO:0000795;GO:0099086" "synaptonemal complex" 1
0 1 2 11 "GO:0000812" "Swr1 complex" 1
0 0.688786239948871 2 366 "GO:0000922" "spindle pole" 1
0 0.686303095900935 2 187 "GO:0000932" "P-body" 1
0 0.412722467381993 2 28 "GO:0000943" "retrotransposon nucleocapsid" 1
0 1 2 11 "GO:0000974" "Prp19 complex" 1
0 0.0885516874863758 2 56 "GO:0001527" "microfibril" 1
0 0.332900475152298 2 63 "GO:0001650" "fibrillar center" 1
0 1 2 32 "GO:0001669" "acrosomal vesicle" 1
0 1 3 40 "GO:0001725;GO:0097517;GO:0032432" "actin filament bundle" 1
0 0.768919094987484 2 77 "GO:0001726" "ruffle" 1
0 1 2 43 "GO:0001750" "photoreceptor outer segment" 1
0 1 2 22 "GO:0001891" "phagocytic cup" 1
0 1 2 26 "GO:0001917" "photoreceptor inner segment" 1
0 1 2 19 "GO:0002102" "podosome" 1
0 1 2 13 "GO:0002116" "semaphorin receptor complex" 1
0 0.0209103314660678 2 1978 "GO:0005576" "extracellular region" 1
0 0.174103697800058 2 376 "GO:0005581" "collagen trimer" 1
0 0.445293908606195 3 31 "GO:0005583" "fibrillar collagen trimer" 1
0 1 4 11 "GO:0005584" "collagen type I trimer" 1
0 1 3 14 "GO:0005593;GO:0030934" "FACIT collagen trimer" 1
0 0.93118883604839 5 308 "GO:0005604;GO:0062023" "collagen-containing extracellular matrix" 1
0 1 2 13 "GO:0005614" "interstitial matrix" 1
0 0.135088429412066 2 1191 "GO:0005615" "extracellular space" 1
0 1 3 54 "GO:0005618" "cell wall" 1
0 0.0758134578780754 2 749 "GO:0005622" "intracellular anatomical structure" 1
0 1 -1 44 "GO:0005623" "obsolete cell" 1
0 0.841833083462722 4 174 "GO:0005635;GO:0031967;GO:0031975" "organelle envelope" 1
0 1 2 19 "GO:0005637" "nuclear inner membrane" 1
0 0.423786365862079 2 29 "GO:0005639;GO:0031229" "integral component of nuclear inner membrane" 1
0 0.0969963898721263 2 28 "GO:0005641" "nuclear envelope lumen" 1
0 1 3 51 "GO:0005643" "nuclear pore" 1
0 0.987811657600001 2 1445 "GO:0005654" "nucleoplasm" 1
0 0.680565398814265 2 60 "GO:0005657" "replication fork" 1
0 1 6 15 "GO:0005665" "RNA polymerase II, core complex" 1
0 1 2 16 "GO:0005666" "RNA polymerase III complex" 1
0 1 2 180 "GO:0005667" "transcription regulator complex" 1
0 1 2 20 "GO:0005669" "transcription factor TFIID complex" 1
0 1 -1 13 "GO:0005671" "obsolete Ada2/Gcn5/Ada3 transcription activator complex" 1
0 1 3 12 "GO:0005675;GO:0032806" "carboxy-terminal domain protein kinase complex" 1
0 0.0489520734307653 4 19 "GO:0005680" "anaphase-promoting complex" 1
0 1 2 181 "GO:0005681" "spliceosomal complex" 1
0 1 3 30 "GO:0005682" "U5 snRNP" 1
0 1 4 25 "GO:0005684" "U2-type spliceosomal complex" 1
0 1 4 15 "GO:0005685" "U1 snRNP" 1
0 1 5 15 "GO:0005686" "U2 snRNP" 1
0 1 4 22 "GO:0005689" "U12-type spliceosomal complex" 1
0 0.919706903381554 3 219 "GO:0005694" "chromosome" 1
0 1 2 22 "GO:0005700;GO:0035059" "polytene chromosome" 1
0 0.998863081292945 2 579 "GO:0005730" "nucleolus" 1
0 0.262199880451455 3 16 "GO:0005732" "sno(s)RNA-containing ribonucleoprotein complex" 1
0 1 6 10 "GO:0005736" "RNA polymerase I complex" 1
0 0.328995131677312 5 946 "GO:0005739" "mitochondrion" 1
0 0.433898044755824 2 128 "GO:0005741;GO:0031968;GO:0019867" "outer membrane" 1
0 0.907348066129132 2 286 "GO:0005743;GO:0019866" "organelle inner membrane" 1
0 0.102933309939608 3 29 "GO:0005747;GO:0045271;GO:0030964" "respiratory chain complex I" 1
0 0.583014509418741 6 46 "GO:0005758" "mitochondrial intermembrane space" 1
0 0.650144184876643 2 177 "GO:0005759" "mitochondrial matrix" 1
0 1 6 15 "GO:0005761;GO:0000313" "organellar ribosome" 1
0 1 2 39 "GO:0005762;GO:0000315" "mitochondrial large ribosomal subunit" 1
0 1 5 24 "GO:0005763;GO:0000314" "organellar small ribosomal subunit" 1
0 0.954434244464864 2 415 "GO:0005764;GO:0000323;GO:0005773" "vacuole" 1
0 0.877870879758851 2 335 "GO:0005765;GO:0098852;GO:0005774" "vacuolar membrane" 1
0 1 8 10 "GO:0005767" "secondary lysosome" 1
0 0.66671109446463 4 755 "GO:0005768" "endosome" 1
0 0.600042409208745 5 389 "GO:0005769" "early endosome" 1
0 0.42892443393804 2 127 "GO:0005770" "late endosome" 1
0 1 6 22 "GO:0005771" "multivesicular body" 1
0 1 3 44 "GO:0005776" "autophagosome" 1
