"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
0 0.103744838655773 2 11 "GO:0000109" "nucleotide-excision repair complex" 0.887594730721613
0 0.0182029998336592 2 42 "GO:0000118" "histone deacetylase complex" 0.327047230344744
0 0.440899407573423 2 67 "GO:0000123;GO:0031248;GO:1902493" "protein acetyltransferase complex" 1
0 0.691506659085995 4 640 "GO:0000139" "Golgi membrane" 1
0 0.0698344949474705 3 44 "GO:0000152" "nuclear ubiquitin ligase complex" 0.710203637295974
0 0.516281384757108 3 14 "GO:0000176" "nuclear exosome (RNase complex)" 1
0 0.173845652904211 4 15 "GO:0000177" "cytoplasmic exosome (RNase complex)" 1
0 0.325255203011061 3 23 "GO:0000178;GO:1905354" "exosome (RNase complex)" 1
0 0.0554268876545902 2 68 "GO:0000228" "nuclear chromosome" 0.649458531430959
0 0.49051994621227 2 13 "GO:0000242" "pericentriolar material" 1
0 0.49051994621227 5 13 "GO:0000307" "cyclin-dependent protein kinase holoenzyme complex" 1
0 0.606950630239004 2 18 "GO:0000324;GO:0000322" "storage vacuole" 1
0 0.540741079889458 2 15 "GO:0000407" "phagophore assembly site" 1
0 1 2 16 "GO:0000421" "autophagosome membrane" 1
0 0.929165196004784 3 51 "GO:0000502;GO:1905369" "endopeptidase complex" 1
0 0.00698706358179014 3 45 "GO:0000775" "chromosome, centromeric region" 0.184349432064458
0 0.0463554092690315 3 52 "GO:0000776" "kinetochore" 0.594894418952571
0 0.0202473985314372 3 55 "GO:0000781" "chromosome, telomeric region" 0.352043477691763
0 0.0123139635219611 2 87 "GO:0000785" "chromatin" 0.245823197716186
0 0.410178051991535 3 83 "GO:0000786;GO:0044815" "DNA packaging complex" 1
0 0.00886112369420697 3 26 "GO:0000792" "heterochromatin" 0.207658507442502
0 0.151402303824448 3 41 "GO:0000794;GO:0000793" "condensed chromosome" 1
0 1 2 10 "GO:0000795;GO:0099086" "synaptonemal complex" 1
0 1 3 11 "GO:0000812" "Swr1 complex" 1
0 0.831202088688657 2 366 "GO:0000922" "spindle pole" 1
0 0.0281397246733445 2 187 "GO:0000932" "P-body" 0.45961550299796
0 0.166288698305604 2 28 "GO:0000943" "retrotransposon nucleocapsid" 1
0 0.434811248862171 2 11 "GO:0000974" "Prp19 complex" 1
0 0.543017795299455 4 56 "GO:0001527" "microfibril" 1
0 0.0391482837040292 2 63 "GO:0001650" "fibrillar center" 0.552645145012487
0 0.218379501808044 2 32 "GO:0001669" "acrosomal vesicle" 1
0 0.607100460425146 3 40 "GO:0001725;GO:0097517;GO:0032432" "actin filament bundle" 1
0 0.0939911518193275 2 77 "GO:0001726" "ruffle" 0.8586649293325
0 1 2 43 "GO:0001750" "photoreceptor outer segment" 1
0 0.680634238644495 2 22 "GO:0001891" "phagocytic cup" 1
0 0.381043970633451 2 26 "GO:0001917" "photoreceptor inner segment" 1
0 0.626828351848501 5 19 "GO:0002102" "podosome" 1
0 1 2 13 "GO:0002116" "semaphorin receptor complex" 1
0 0.998826581682759 2 1978 "GO:0005576" "extracellular region" 1
0 0.969474869830492 2 376 "GO:0005581" "collagen trimer" 1
0 1 3 31 "GO:0005583" "fibrillar collagen trimer" 1
0 1 2 11 "GO:0005584" "collagen type I trimer" 1
0 1 3 14 "GO:0005593;GO:0030934" "FACIT collagen trimer" 1
0 0.988993769387979 2 308 "GO:0005604;GO:0062023" "collagen-containing extracellular matrix" 1
0 1 2 13 "GO:0005614" "interstitial matrix" 1
0 0.999437120472731 2 1191 "GO:0005615" "extracellular space" 1
0 0.518266112686056 3 54 "GO:0005618" "cell wall" 1
0 0.816322375064974 2 749 "GO:0005622" "intracellular anatomical structure" 1
0 0.385217054129515 -1 44 "GO:0005623" "obsolete cell" 1
0 0.265757298369491 2 174 "GO:0005635;GO:0031967;GO:0031975" "organelle envelope" 1
0 1 2 19 "GO:0005637" "nuclear inner membrane" 1
0 1 4 29 "GO:0005639;GO:0031229" "intrinsic component of nuclear inner membrane" 1
0 1 2 28 "GO:0005641" "nuclear envelope lumen" 1
0 0.0427601651297368 2 51 "GO:0005643" "nuclear pore" 0.576193225123203
0 3.03145264812662e-07 2 1445 "GO:0005654" "nucleoplasm" 4.08488244335062e-05
0 0.000788672205742601 2 60 "GO:0005657" "replication fork" 0.0326995629919432
0 1 6 15 "GO:0005665" "RNA polymerase II, core complex" 1
0 1 2 16 "GO:0005666" "RNA polymerase III complex" 1
0 0.0399306888925375 2 180 "GO:0005667" "transcription regulator complex" 0.552645145012487
0 0.64570146123163 3 20 "GO:0005669" "transcription factor TFIID complex" 1
0 0.49051994621227 -1 13 "GO:0005671" "obsolete Ada2/Gcn5/Ada3 transcription activator complex" 1
0 1 2 12 "GO:0005675;GO:0032806" "carboxy-terminal domain protein kinase complex" 1
0 0.068225390010519 2 19 "GO:0005680" "anaphase-promoting complex" 0.710203637295974
0 0.432597610269506 2 181 "GO:0005681" "spliceosomal complex" 1
0 1 4 30 "GO:0005682" "U5 snRNP" 1
0 0.362641367274088 3 25 "GO:0005684" "U2-type spliceosomal complex" 1
