"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
0 0.912192273961823 2 11 "GO:0000109" "nucleotide-excision repair complex" 0.999999999915491
0 0.805285526541317 2 42 "GO:0000118" "histone deacetylase complex" 0.999999999915491
0 0.692507470150997 2 67 "GO:0000123;GO:0031248;GO:1902493" "protein acetyltransferase complex" 0.999999999915491
0 0.579709261623658 2 640 "GO:0000139" "Golgi membrane" 0.999999999915491
0 0.500610987932807 3 44 "GO:0000152" "nuclear ubiquitin ligase complex" 0.999999999915491
0 0.557402017964183 2 14 "GO:0000176" "nuclear exosome (RNase complex)" 0.999999999915491
0 0.697210207129403 2 15 "GO:0000177" "cytoplasmic exosome (RNase complex)" 0.999999999915491
0 0.406312498518996 4 23 "GO:0000178;GO:1905354" "exosome (RNase complex)" 0.999999999915491
0 0.954878174347274 5 68 "GO:0000228" "nuclear chromosome" 0.999999999915491
0 0.629573643793083 2 13 "GO:0000242" "pericentriolar material" 0.999999999915491
0 0.928844373907782 3 13 "GO:0000307" "cyclin-dependent protein kinase holoenzyme complex" 0.999999999915491
0 0.503804961307695 2 18 "GO:0000324;GO:0000322" "storage vacuole" 0.999999999915491
0 0.999135315872957 2 15 "GO:0000407" "phagophore assembly site" 0.999999999915491
0 0.914567124601371 2 16 "GO:0000421" "autophagosome membrane" 0.999999999915491
0 0.999999969490681 3 51 "GO:0000502;GO:1905369" "endopeptidase complex" 0.999999999915491
0 0.998629472289386 3 45 "GO:0000775" "chromosome, centromeric region" 0.999999999915491
0 0.999541359908543 2 52 "GO:0000776" "kinetochore" 0.999999999915491
0 0.99655744572621 3 55 "GO:0000781" "chromosome, telomeric region" 0.999999999915491
0 0.999984967585186 2 87 "GO:0000785" "chromatin" 0.999999999915491
0 0.948041040270359 2 83 "GO:0000786;GO:0044815" "DNA packaging complex" 0.999999999915491
0 0.999707505558763 2 26 "GO:0000792" "heterochromatin" 0.999999999915491
0 0.987965948946548 6 41 "GO:0000794;GO:0000793" "condensed chromosome" 0.999999999915491
0 0.946395730562391 2 10 "GO:0000795;GO:0099086" "synaptonemal complex" 0.999999999915491
0 0.102468386383166 2 11 "GO:0000812" "Swr1 complex" 0.999999999915491
0 0.9251494489508 2 366 "GO:0000922" "spindle pole" 0.999999999915491
0 0.99336876840322 3 187 "GO:0000932" "P-body" 0.999999999915491
0 0.878700815712283 2 28 "GO:0000943" "retrotransposon nucleocapsid" 0.999999999915491
0 0.912192273961823 2 11 "GO:0000974" "Prp19 complex" 0.999999999915491
0 0.98992116138805 5 56 "GO:0001527" "microfibril" 0.999999999915491
0 0.984485076661289 2 63 "GO:0001650" "fibrillar center" 0.999999999915491
0 0.739453445822322 7 32 "GO:0001669" "acrosomal vesicle" 0.999999999915491
0 0.996546773964691 3 40 "GO:0001725;GO:0097517;GO:0032432" "actin filament bundle" 0.999999999915491
0 0.983064837329596 2 77 "GO:0001726" "ruffle" 0.999999999915491
0 0.286429714806418 2 43 "GO:0001750" "photoreceptor outer segment" 0.999999999915491
0 0.145053562311593 2 22 "GO:0001891" "phagocytic cup" 0.999999999915491
0 0.927597491210339 2 26 "GO:0001917" "photoreceptor inner segment" 0.999999999915491
0 0.986953479824198 5 19 "GO:0002102" "podosome" 0.999999999915491
0 0.185126244076909 2 13 "GO:0002116" "semaphorin receptor complex" 0.999999999915491
0 0.0853867401353812 2 1978 "GO:0005576" "extracellular region" 0.999999999915491
0 0.618438850096187 2 376 "GO:0005581" "collagen trimer" 0.999999999915491
0 0.778660902977101 2 31 "GO:0005583" "fibrillar collagen trimer" 0.999999999915491
0 0.999939009529476 2 11 "GO:0005584" "collagen type I trimer" 0.999999999915491
0 0.557402017964183 2 14 "GO:0005593;GO:0030934" "FACIT collagen trimer" 0.999999999915491
0 0.482338819642205 3 308 "GO:0005604;GO:0062023" "collagen-containing extracellular matrix" 0.999999999915491
0 0.185126244076909 3 13 "GO:0005614" "interstitial matrix" 0.999999999915491
0 0.462084025921452 2 1191 "GO:0005615" "extracellular space" 0.999999999915491
0 0.955315864242022 2 54 "GO:0005618" "cell wall" 0.999999999915491
0 0.908823364308557 2 749 "GO:0005622" "intracellular anatomical structure" 0.999999999915491
0 0.899141961063725 -1 44 "GO:0005623" "obsolete cell" 0.999999999915491
0 0.981669659573332 3 174 "GO:0005635;GO:0031967;GO:0031975" "organelle envelope" 0.999999999915491
0 0.256733426380472 2 19 "GO:0005637" "nuclear inner membrane" 0.999999999915491
