"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
0 0.0540758794249809 2 11 "GO:0000109" "nucleotide-excision repair complex" 0.220809840985339
0 0.12265554954441 2 42 "GO:0000118" "histone deacetylase complex" 0.384368262816494
0 0.0921783955579634 4 67 "GO:0000123;GO:0031248;GO:1902493" "protein acetyltransferase complex" 0.310631179852044
0 0.172476017675542 5 640 "GO:0000139" "Golgi membrane" 0.481681728119778
0 0.883091339306997 2 44 "GO:0000152" "nuclear ubiquitin ligase complex" 1
0 1 2 14 "GO:0000176" "nuclear exosome (RNase complex)" 1
0 0.720008592437855 3 15 "GO:0000177" "cytoplasmic exosome (RNase complex)" 0.977543151949632
0 0.858040735598812 3 23 "GO:0000178;GO:1905354" "exoribonuclease complex" 1
0 0.0475543628538234 3 68 "GO:0000228" "nuclear chromosome" 0.20182520927725
0 0.0830695028656956 2 13 "GO:0000242" "pericentriolar material" 0.292643542775228
0 0.286081745114594 6 13 "GO:0000307" "cyclin-dependent protein kinase holoenzyme complex" 0.658966071011821
0 1 2 18 "GO:0000324;GO:0000322" "storage vacuole" 1
0 0.720008592437855 2 15 "GO:0000407" "phagophore assembly site" 0.977543151949632
0 0.378189616141872 2 16 "GO:0000421" "autophagosome membrane" 0.744462396083818
0 1 3 51 "GO:0000502;GO:1905369" "endopeptidase complex" 1
0 7.95095435313358e-06 2 45 "GO:0000775" "chromosome, centromeric region" 0.000285704293089267
0 0.000205082076016783 2 52 "GO:0000776" "kinetochore" 0.00368464129910153
0 0.0323157790763668 3 55 "GO:0000781" "chromosome, telomeric region" 0.159800045157447
0 1.2287914198761e-06 2 87 "GO:0000785" "chromatin" 5.51932146094348e-05
0 0.000321475823559832 2 83 "GO:0000786;GO:0044815" "DNA packaging complex" 0.00495072768282141
0 0.000779779288872513 3 26 "GO:0000792" "heterochromatin" 0.0105075259175571
0 0.0160358278824174 2 41 "GO:0000794;GO:0000793" "condensed chromosome" 0.089597953325426
0 0.0417948549031026 3 10 "GO:0000795;GO:0099086" "synaptonemal complex" 0.186177080932002
0 0.606809859727935 3 11 "GO:0000812" "Swr1 complex" 0.923928006760895
0 0.00125425966654007 2 366 "GO:0000922" "spindle pole" 0.0146966513101108
0 0.00504378776751026 2 187 "GO:0000932" "P-body" 0.0418246401028928
0 1 2 28 "GO:0000943" "retrotransposon nucleocapsid" 1
0 1 2 11 "GO:0000974" "Prp19 complex" 1
0 0.0358266634428172 5 56 "GO:0001527" "microfibril" 0.170185942723773
0 0.406767492625761 2 63 "GO:0001650" "fibrillar center" 0.761276661546129
0 0.746377716297098 4 32 "GO:0001669" "acrosomal vesicle" 0.998257044873786
0 0.000253984794684484 3 40 "GO:0001725;GO:0097517;GO:0032432" "actin filament bundle" 0.00427805638546678
0 0.0938822048366552 4 77 "GO:0001726" "ruffle" 0.31430129445315
0 0.133328555252494 2 43 "GO:0001750" "photoreceptor outer segment" 0.408318700460763
0 0.845459927618243 2 22 "GO:0001891" "phagocytic cup" 1
0 0.355604052373059 2 26 "GO:0001917" "photoreceptor inner segment" 0.718498364900253
0 0.197415110525138 2 19 "GO:0002102" "podosome" 0.516537595014803
0 0.668200005449284 2 13 "GO:0002116" "semaphorin receptor complex" 0.942826709259592
0 0.00257160129351922 2 1978 "GO:0005576" "extracellular region" 0.0243298972321731
0 6.21301842303427e-05 2 376 "GO:0005581" "collagen trimer" 0.00167440846500774
0 0.000112093809664284 3 31 "GO:0005583" "fibrillar collagen trimer" 0.00251744014204371
0 7.26675382589368e-09 4 11 "GO:0005584" "collagen type I trimer" 7.83356062431339e-07
0 0.317165906842102 2 14 "GO:0005593;GO:0030934" "FACIT collagen trimer" 0.683809695151572
