"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
0 1 5 17 "GO:0000030" "mannosyltransferase activity" 1
0 1 2 44 "GO:0000049" "tRNA binding" 1
0 0.269211199323099 3 16 "GO:0000062;GO:0120227;GO:1901567" "acyl-CoA binding" 1
0 1 2 18 "GO:0000099" "sulfur amino acid transmembrane transporter activity" 1
0 1 2 17 "GO:0000146" "microfilament motor activity" 1
0 1 3 93 "GO:0000149" "SNARE binding" 1
0 0.997641587983572 2 3581 "GO:0000166;GO:0097367;GO:0036094;GO:1901265;GO:0043168" "small molecule binding" 1
0 1 2 23 "GO:0000175" "3'-5'-exoribonuclease activity" 1
0 0.578058330170266 2 44 "GO:0000217" "DNA secondary structure binding" 1
0 0.90232298080897 2 200 "GO:0000287" "magnesium ion binding" 1
0 0.269211199323099 2 16 "GO:0000339" "RNA cap binding" 1
0 1 5 18 "GO:0000400" "four-way junction DNA binding" 1
0 0.254741354285072 2 15 "GO:0000403" "Y-form DNA binding" 1
0 0.985780097395908 2 405 "GO:0000976;GO:0001067;GO:1990837;GO:0003690" "double-stranded DNA binding" 1
0 0.98755467334332 2 223 "GO:0000977" "RNA polymerase II transcription regulatory region sequence-specific DNA binding" 1
0 1 3 138 "GO:0000978;GO:0000987" "cis-regulatory region sequence-specific DNA binding" 1
0 1 2 15 "GO:0000979" "RNA polymerase II core promoter sequence-specific DNA binding" 1
0 0.917899620786217 3 211 "GO:0000981" "DNA-binding transcription factor activity, RNA polymerase II-specific" 1
0 0.496557167667454 5 35 "GO:0000993;GO:0001099;GO:0043175;GO:0001098" "basal RNA polymerase II transcription machinery binding" 1
0 1 5 46 "GO:0001046" "core promoter sequence-specific DNA binding" 1
0 1 -1 10 "GO:0001191" "obsolete transcriptional repressor activity, RNA polymerase II transcription factor binding" 1
0 1 2 11 "GO:0001221" "transcription coregulator binding" 1
0 1 4 20 "GO:0001227;GO:0001217" "DNA-binding transcription repressor activity, RNA polymerase II-specific" 1
0 1 3 54 "GO:0001228;GO:0001216" "DNA-binding transcription activator activity" 1
0 1 2 35 "GO:0001517" "N-acetylglucosamine 6-O-sulfotransferase activity" 1
0 0.332209254563957 2 61 "GO:0001530" "lipopolysaccharide binding" 1
0 0.88907963102006 2 112 "GO:0001540" "amyloid-beta binding" 1
0 0.000699181683420831 6 99 "GO:0001594" "trace-amine receptor activity" 0.15539312914028
0 1 7 15 "GO:0001601" "peptide YY receptor activity" 1
0 1 3 24 "GO:0001602" "pancreatic polypeptide receptor activity" 1
0 0.00338311306484503 2 155 "GO:0001609" "G protein-coupled adenosine receptor activity" 0.501264585774539
0 1 2 21 "GO:0001618;GO:0140272" "virus receptor activity" 1
0 1 2 17 "GO:0001640;GO:0098988" "G protein-coupled glutamate receptor activity" 1
0 0.326249811265726 3 335 "GO:0001664" "G protein-coupled receptor binding" 1
0 1 2 13 "GO:0001671;GO:0140677" "molecular function activator activity" 1
0 0.350326622398462 3 22 "GO:0001733;GO:0050694" "galactosylceramide sulfotransferase activity" 1
0 1 5 15 "GO:0001784" "phosphotyrosine residue binding" 1
0 1 2 53 "GO:0001786" "phosphatidylserine binding" 1
0 0.150245878985363 2 69 "GO:0001965" "G-protein alpha-subunit binding" 1
0 1 3 13 "GO:0001968" "fibronectin binding" 1
0 1 4 137 "GO:0002020" "protease binding" 1
0 0.609916911735617 3 48 "GO:0002039" "p53 binding" 1
0 1 2 16 "GO:0002162" "dystroglycan binding" 1
0 0.968479567622147 3 1845 "GO:0003677" "DNA binding" 1
0 0.486990725901015 2 84 "GO:0003678" "DNA helicase activity" 1
0 1 3 19 "GO:0003680" "minor groove of adenine-thymine-rich DNA binding" 1
0 0.997629972976979 2 420 "GO:0003682" "chromatin binding" 1
0 1 2 60 "GO:0003684" "damaged DNA binding" 1
0 0.54128854096534 4 93 "GO:0003697" "single-stranded DNA binding" 1
0 0.964862258169121 2 704 "GO:0003700;GO:0140110" "transcription regulator activity" 1
0 1 2 23 "GO:0003707" "steroid hormone receptor activity" 1
0 1 2 183 "GO:0003712" "transcription coregulator activity" 1
0 1 2 108 "GO:0003713" "transcription coactivator activity" 1
0 1 2 60 "GO:0003714" "transcription corepressor activity" 1
0 0.99910151731333 3 1304 "GO:0003723" "RNA binding" 1
0 0.422452093428734 2 28 "GO:0003725" "double-stranded RNA binding" 1
0 0.325090968457704 2 60 "GO:0003727" "single-stranded RNA binding" 1
0 0.721027162120429 2 130 "GO:0003729" "mRNA binding" 1
0 1 3 35 "GO:0003730" "mRNA 3'-UTR binding" 1
0 0.751051286651907 2 138 "GO:0003735" "structural constituent of ribosome" 1
0 1 3 51 "GO:0003743" "translation initiation factor activity" 1
0 1 3 13 "GO:0003746" "translation elongation factor activity" 1
0 0.578058330170266 3 44 "GO:0003755;GO:0016859" "cis-trans isomerase activity" 1
0 1 2 20 "GO:0003756;GO:0016864" "protein disulfide isomerase activity" 1
0 0.950509623692398 1 153 "GO:0003774" "cytoskeletal motor activity" 1
0 1 2 105 "GO:0003777" "microtubule motor activity" 1
0 0.857755583440225 2 440 "GO:0003779" "actin binding" 1
0 1 2 22 "GO:0003823" "antigen binding" 1
0 1 4 13 "GO:0003846" "2-acylglycerol O-acyltransferase activity" 1
0 1 2 10 "GO:0003857" "3-hydroxyacyl-CoA dehydrogenase activity" 1
0 1 2 10 "GO:0003884" "D-amino-acid oxidase activity" 1
0 0.12862304396423 2 137 "GO:0003887" "DNA-directed DNA polymerase activity" 1
0 1 6 53 "GO:0003899;GO:0034062;GO:0097747" "5'-3' RNA polymerase activity" 1
0 1 2 10 "GO:0003906" "DNA-(apurinic or apyrimidinic site) endonuclease activity" 1
0 0.906838774787371 2 277 "GO:0003924" "GTPase activity" 1
0 1 2 53 "GO:0003950" "NAD+ ADP-ribosyltransferase activity" 1
0 1 2 10 "GO:0003951" "NAD+ kinase activity" 1
0 1 2 12 "GO:0003968" "RNA-directed 5'-3' RNA polymerase activity" 1
0 1 5 27 "GO:0003993" "acid phosphatase activity" 1
0 1 2 16 "GO:0003995" "acyl-CoA dehydrogenase activity" 1
0 1 5 28 "GO:0004033;GO:0008106;GO:0052650" "aldo-keto reductase (NADP) activity" 1
0 0.193944885233997 2 11 "GO:0004035" "alkaline phosphatase activity" 1
0 1 2 14 "GO:0004051" "arachidonate 5-lipoxygenase activity" 1
0 1 2 20 "GO:0004062" "aryl sulfotransferase activity" 1
0 0.476410447713542 5 33 "GO:0004065;GO:0003943" "arylsulfatase activity" 1
0 1 5 16 "GO:0004089" "carbonate dehydratase activity" 1
0 1 2 18 "GO:0004104;GO:0003990" "cholinesterase activity" 1
0 1 2 15 "GO:0004114;GO:0004112" "cyclic-nucleotide phosphodiesterase activity" 1
0 1 3 13 "GO:0004129;GO:0016675" "cytochrome-c oxidase activity" 1
0 1 4 11 "GO:0004144" "diacylglycerol O-acyltransferase activity" 1
0 1 5 32 "GO:0004177;GO:0070006" "aminopeptidase activity" 1
0 1 5 50 "GO:0004180" "carboxypeptidase activity" 1
0 1 2 26 "GO:0004181" "metallocarboxypeptidase activity" 1
0 1 6 10 "GO:0004185" "serine-type carboxypeptidase activity" 1
0 0.0104418033988236 2 185 "GO:0004190;GO:0070001" "aspartic-type peptidase activity" 1
0 0.825651918032092 2 89 "GO:0004197" "cysteine-type endopeptidase activity" 1
0 1 2 13 "GO:0004198" "calcium-dependent cysteine-type endopeptidase activity" 1
0 0.172604546039363 2 277 "GO:0004252;GO:0008236;GO:0017171" "serine hydrolase activity" 1
0 1 2 16 "GO:0004298" "threonine-type endopeptidase activity" 1
0 1 2 25 "GO:0004303" "estradiol 17-beta-dehydrogenase activity" 1
0 1 2 16 "GO:0004312" "fatty acid synthase activity" 1
0 0.486582450599266 2 34 "GO:0004364" "glutathione transferase activity" 1
0 1 2 30 "GO:0004383" "guanylate cyclase activity" 1
0 0.559138349903096 2 150 "GO:0004386" "helicase activity" 1
0 1 2 20 "GO:0004407;GO:0033558" "protein deacetylase activity" 1
