"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
0 1 2 17 "GO:0000030" "mannosyltransferase activity" 1
0 0.975282851866254 2 44 "GO:0000049" "tRNA binding" 1
0 0.739433790703786 2 16 "GO:0000062;GO:0120227;GO:1901567" "acyl-CoA binding" 1
0 0.779765585895998 2 18 "GO:0000099" "sulfur amino acid transmembrane transporter activity" 1
0 0.152667683942275 2 17 "GO:0000146" "microfilament motor activity" 0.511360696160374
0 0.0701398672888369 3 93 "GO:0000149" "SNARE binding" 0.305658539312627
0 0.855362519161599 5 23 "GO:0000175" "3'-5'-exoribonuclease activity" 1
0 2.81685480236748e-05 2 44 "GO:0000217" "DNA secondary structure binding" 0.000863511696311962
0 0.18673522065323 3 200 "GO:0000287" "magnesium ion binding" 0.559742000326145
0 0.739433790703786 2 16 "GO:0000339" "RNA cap binding" 1
0 0.432024534964468 2 18 "GO:0000400" "four-way junction DNA binding" 0.874874286066998
0 0.114853754409253 2 15 "GO:0000403" "Y-form DNA binding" 0.425437448624275
0 0.00289154383926049 2 405 "GO:0000976;GO:0001067;GO:1990837;GO:0003690" "double-stranded DNA binding" 0.0319815511533097
0 0.0586130905283765 4 223 "GO:0000977" "RNA polymerase II transcription regulatory region sequence-specific DNA binding" 0.269106870389635
0 0.145331917262881 2 138 "GO:0000978;GO:0000987" "cis-regulatory region sequence-specific DNA binding" 0.493130055140081
0 0.716578585873271 2 15 "GO:0000979" "RNA polymerase II core promoter sequence-specific DNA binding" 1
0 0.53732766045559 3 211 "GO:0000981" "DNA-binding transcription factor activity, RNA polymerase II-specific" 0.981342494239424
0 0.310854744069733 3 35 "GO:0000993;GO:0001099;GO:0043175;GO:0001098" "basal transcription machinery binding" 0.733745487537273
0 0.89474197806967 2 46 "GO:0001046" "core promoter sequence-specific DNA binding" 1
0 0.19008662426149 -1 10 "GO:0001191" "obsolete transcriptional repressor activity, RNA polymerase II transcription factor binding" 0.559742000326145
0 0.220583990943686 2 11 "GO:0001221" "transcription coregulator binding" 0.596046103188258
0 0.487263865416881 3 20 "GO:0001227;GO:0001217" "DNA-binding transcription repressor activity" 0.937613801635513
0 0.141731235350425 4 54 "GO:0001228;GO:0001216" "DNA-binding transcription activator activity, RNA polymerase II-specific" 0.482755050676352
0 0.543836540188849 2 35 "GO:0001517" "N-acetylglucosamine 6-O-sulfotransferase activity" 0.981342494239424
0 0.218797437734857 2 61 "GO:0001530" "lipopolysaccharide binding" 0.596046103188258
0 0.68967695597598 3 112 "GO:0001540" "amyloid-beta binding" 1
0 0.999759669811524 2 99 "GO:0001594" "trace-amine receptor activity" 1
0 0.716578585873271 6 15 "GO:0001601" "peptide YY receptor activity" 1
0 0.867029224812021 2 24 "GO:0001602" "pancreatic polypeptide receptor activity" 1
0 0.99999787139946 2 155 "GO:0001609" "G protein-coupled adenosine receptor activity" 1
0 0.0836547024032858 2 21 "GO:0001618;GO:0140272" "virus receptor activity" 0.34590246714661
0 0.40322822401198 2 17 "GO:0001640;GO:0098988" "G protein-coupled glutamate receptor activity" 0.839507941795434
0 0.9933408488649 2 335 "GO:0001664" "G protein-coupled receptor binding" 1
0 0.664681115903162 2 13 "GO:0001671;GO:0140677" "molecular function activator activity" 1
0 0.259408180652825 5 22 "GO:0001733;GO:0050694" "galactose 3-O-sulfotransferase activity" 0.65701958005801
0 0.00511899308408102 5 15 "GO:0001784" "phosphotyrosine residue binding" 0.0451668533628625
0 0.00293049751176779 3 53 "GO:0001786" "phosphatidylserine binding" 0.0319815511533097
0 0.485684480334803 3 69 "GO:0001965" "G-protein alpha-subunit binding" 0.937613801635513
0 0.0166614650439977 2 13 "GO:0001968" "fibronectin binding" 0.108912076647897
0 0.0140342943129784 2 137 "GO:0002020" "protease binding" 0.0990197432082365
0 0.548002327414122 2 48 "GO:0002039" "p53 binding" 0.981342494239424
0 0.133292314371226 2 16 "GO:0002162" "dystroglycan binding" 0.462878388578203
