"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
0 1 4 17 "GO:0000030" "mannosyltransferase activity" 1
0 1 4 44 "GO:0000049" "tRNA binding" 1
0 1 3 16 "GO:0000062;GO:0120227;GO:1901567" "acyl-CoA binding" 1
0 0.306218763254476 2 18 "GO:0000099" "sulfur amino acid transmembrane transporter activity" 1
0 1 2 17 "GO:0000146" "microfilament motor activity" 1
0 1 2 93 "GO:0000149" "SNARE binding" 1
0 1 2 23 "GO:0000175" "3'-5'-exoribonuclease activity" 1
0 1 2 44 "GO:0000217" "DNA secondary structure binding" 1
0 0.912790821419721 5 200 "GO:0000287" "magnesium ion binding" 1
0 1 4 16 "GO:0000339" "RNA cap binding" 1
0 1 6 18 "GO:0000400" "four-way junction DNA binding" 1
0 1 3 15 "GO:0000403" "Y-form DNA binding" 1
0 0.963707303821245 3 405 "GO:0000976;GO:0001067;GO:1990837;GO:0003690" "double-stranded DNA binding" 1
0 0.828321884311463 6 223 "GO:0000977" "RNA polymerase II transcription regulatory region sequence-specific DNA binding" 1
0 1 2 138 "GO:0000978;GO:0000987" "cis-regulatory region sequence-specific DNA binding" 1
0 0.262618750708402 2 15 "GO:0000979" "RNA polymerase II core promoter sequence-specific DNA binding" 1
0 0.615278698739232 3 211 "GO:0000981" "DNA-binding transcription factor activity, RNA polymerase II-specific" 1
0 1 3 35 "GO:0000993;GO:0001099;GO:0043175;GO:0001098" "basal RNA polymerase II transcription machinery binding" 1
0 0.607313951563875 5 46 "GO:0001046" "core promoter sequence-specific DNA binding" 1
0 1 -1 10 "GO:0001191" "obsolete transcriptional repressor activity, RNA polymerase II transcription factor binding" 1
0 1 4 11 "GO:0001221" "transcription coregulator binding" 1
0 0.333845883171163 3 20 "GO:0001227;GO:0001217" "DNA-binding transcription repressor activity" 1
0 0.666281004010249 4 54 "GO:0001228;GO:0001216" "DNA-binding transcription activator activity, RNA polymerase II-specific" 1
0 0.508890483327608 3 35 "GO:0001517" "N-acetylglucosamine 6-O-sulfotransferase activity" 1
0 1 2 61 "GO:0001530" "lipopolysaccharide binding" 1
0 0.897553617395643 2 112 "GO:0001540" "amyloid-beta binding" 1
0 0.594438013172909 2 99 "GO:0001594" "trace-amine receptor activity" 1
0 1 3 15 "GO:0001601" "peptide YY receptor activity" 1
0 0.385848511008268 3 24 "GO:0001602" "pancreatic polypeptide receptor activity" 1
0 0.202531751148486 5 155 "GO:0001609" "G protein-coupled adenosine receptor activity" 1
0 1 2 21 "GO:0001618;GO:0140272" "virus receptor activity" 1
0 1 6 17 "GO:0001640;GO:0098988" "G protein-coupled glutamate receptor activity" 1
0 0.805664405050192 4 335 "GO:0001664" "G protein-coupled receptor binding" 1
0 1 2 13 "GO:0001671;GO:0140677" "molecular function activator activity" 1
0 0.360374598588617 3 22 "GO:0001733;GO:0050694" "galactose 3-O-sulfotransferase activity" 1
0 1 2 15 "GO:0001784" "phosphotyrosine residue binding" 1
0 0.288504403676676 2 53 "GO:0001786" "phosphatidylserine binding" 1
0 0.405153361160481 3 69 "GO:0001965" "G-protein alpha-subunit binding" 1
0 1 3 13 "GO:0001968" "fibronectin binding" 1
0 0.764740925642261 4 137 "GO:0002020" "protease binding" 1
0 1 3 48 "GO:0002039" "p53 binding" 1
0 1 2 16 "GO:0002162" "dystroglycan binding" 1
0 0.906223853466194 4 1845 "GO:0003677" "DNA binding" 1
0 0.505630974303906 2 84 "GO:0003678" "DNA helicase activity" 1
0 1 3 19 "GO:0003680" "minor groove of adenine-thymine-rich DNA binding" 1
0 0.970638496856257 2 420 "GO:0003682" "chromatin binding" 1
0 1 2 60 "GO:0003684" "damaged DNA binding" 1
0 1 2 93 "GO:0003697" "single-stranded DNA binding" 1
0 0.97336159776956 2 704 "GO:0003700;GO:0140110" "transcription regulator activity" 1
0 1 3 23 "GO:0003707" "steroid hormone receptor activity" 1
0 0.975939965100446 2 183 "GO:0003712" "transcription coregulator activity" 1
0 0.888852432876781 3 108 "GO:0003713" "transcription coactivator activity" 1
0 1 3 60 "GO:0003714" "transcription corepressor activity" 1
0 0.997282863548792 2 1304 "GO:0003723" "RNA binding" 1
0 1 5 28 "GO:0003725" "double-stranded RNA binding" 1
0 1 4 60 "GO:0003727" "single-stranded RNA binding" 1
0 0.929022146768432 2 130 "GO:0003729" "mRNA binding" 1
0 1 2 35 "GO:0003730" "mRNA 3'-UTR binding" 1
0 0.939708070304829 2 138 "GO:0003735" "structural constituent of ribosome" 1
0 1 2 51 "GO:0003743" "translation initiation factor activity" 1
0 1 2 13 "GO:0003746" "translation elongation factor activity" 1
0 1 2 44 "GO:0003755;GO:0016859" "cis-trans isomerase activity" 1
0 1 2 20 "GO:0003756;GO:0016864" "protein disulfide isomerase activity" 1
0 1 1 153 "GO:0003774" "cytoskeletal motor activity" 1
0 1 2 105 "GO:0003777" "microtubule motor activity" 1
0 0.783414402272878 2 440 "GO:0003779" "actin binding" 1
0 1 2 22 "GO:0003823" "antigen binding" 1
0 0.232042872435123 5 13 "GO:0003846" "2-acylglycerol O-acyltransferase activity" 1
0 1 2 10 "GO:0003857" "3-hydroxyacyl-CoA dehydrogenase activity" 1
0 1 5 10 "GO:0003884" "D-amino-acid oxidase activity" 1
0 0.142812912341235 3 137 "GO:0003887" "DNA-directed DNA polymerase activity" 1
0 0.659423223580947 3 53 "GO:0003899;GO:0034062;GO:0097747" "5'-3' RNA polymerase activity" 1
0 1 4 10 "GO:0003906" "DNA-(apurinic or apyrimidinic site) endonuclease activity" 1
0 1 5 277 "GO:0003924" "GTPase activity" 1
0 0.288504403676676 4 53 "GO:0003950" "NAD+ ADP-ribosyltransferase activity" 1
0 1 3 10 "GO:0003951" "NAD+ kinase activity" 1
