gene,inMod
evm.TU.chromosome_1.1,1
evm.TU.chromosome_1.100,1
evm.TU.chromosome_1.1000,1
evm.TU.chromosome_1.1002,1
evm.TU.chromosome_1.1003_evm.TU.chromosome_1.1005,0
evm.TU.chromosome_1.1008,1
evm.TU.chromosome_1.1009,0
evm.TU.chromosome_1.101,0
evm.TU.chromosome_1.1010,1
evm.TU.chromosome_1.1011,1
evm.TU.chromosome_1.1012,1
evm.TU.chromosome_1.1013,1
evm.TU.chromosome_1.1017,1
evm.TU.chromosome_1.1018,1
evm.TU.chromosome_1.1019,1
evm.TU.chromosome_1.102,1
evm.TU.chromosome_1.1021,1
evm.TU.chromosome_1.1023,0
evm.TU.chromosome_1.1024,0
evm.TU.chromosome_1.1025,1
evm.TU.chromosome_1.1026,0
evm.TU.chromosome_1.1027,1
evm.TU.chromosome_1.1028,1
evm.TU.chromosome_1.1029,1
evm.TU.chromosome_1.103,1
evm.TU.chromosome_1.1030,1
evm.TU.chromosome_1.1032,0
evm.TU.chromosome_1.1033,0
evm.TU.chromosome_1.1034,1
evm.TU.chromosome_1.1035,0
evm.TU.chromosome_1.1037,1
evm.TU.chromosome_1.1039,1
evm.TU.chromosome_1.104,1
evm.TU.chromosome_1.1040,1
evm.TU.chromosome_1.1041,0
evm.TU.chromosome_1.1042,1
evm.TU.chromosome_1.1043,0
evm.TU.chromosome_1.1044,1
evm.TU.chromosome_1.1045,1
evm.TU.chromosome_1.1046,1
evm.TU.chromosome_1.1047,0
evm.TU.chromosome_1.1048,1
evm.TU.chromosome_1.105,0
evm.TU.chromosome_1.1050,0
evm.TU.chromosome_1.1051,0
evm.TU.chromosome_1.1052,1
evm.TU.chromosome_1.1053,1
evm.TU.chromosome_1.1054,0
evm.TU.chromosome_1.1056,1
evm.TU.chromosome_1.1057,1
evm.TU.chromosome_1.106,1
evm.TU.chromosome_1.1060,1
evm.TU.chromosome_1.1065,1
evm.TU.chromosome_1.1066,1
evm.TU.chromosome_1.1067,1
evm.TU.chromosome_1.107,1
evm.TU.chromosome_1.1070,0
evm.TU.chromosome_1.1071,0
evm.TU.chromosome_1.1072,0
evm.TU.chromosome_1.1073,1
evm.TU.chromosome_1.1074,1
evm.TU.chromosome_1.1075,0
evm.TU.chromosome_1.1076,1
evm.TU.chromosome_1.1077,1
evm.TU.chromosome_1.108,1
evm.TU.chromosome_1.1085,1
evm.TU.chromosome_1.1086,1
evm.TU.chromosome_1.1087,1
evm.TU.chromosome_1.1088,0
evm.TU.chromosome_1.1089,1
evm.TU.chromosome_1.109,1
evm.TU.chromosome_1.1090,1
evm.TU.chromosome_1.1091,1
evm.TU.chromosome_1.1093,0
evm.TU.chromosome_1.1094,0
evm.TU.chromosome_1.1095,1
evm.TU.chromosome_1.1096,1
evm.TU.chromosome_1.1097,1
evm.TU.chromosome_1.1098,1
evm.TU.chromosome_1.1099,0
evm.TU.chromosome_1.11,0
evm.TU.chromosome_1.110,1
evm.TU.chromosome_1.1100,1
