delta.rank	pval	level	nseqs	term	name	p.adj
0	1.45661278397022e-5	4	220	GO:0000082;GO:0044843;GO:0035278;GO:0035195;GO:0040033;GO:0035194;GO:0016441;GO:0010586;GO:0021915;GO:0072089	G1/S transition of mitotic cell cycle	4.43604802390931e-4
0	4.73511155471182e-6	4	68	GO:0000086;GO:0044839	cell cycle G2/M phase transition	1.92274226767086e-4
0	0.00276097286982029	4	395	GO:0000122	negative regulation of transcription by RNA polymerase II	0.0237120302269077
0	9.51572658795721e-4	2	177	GO:0000165	MAPK cascade	0.0110878901111849
0	3.22273339556929e-6	3	231	GO:0000226	microtubule cytoskeleton organization	1.39305250002027e-4
0	0.0170536010842794	2	50	GO:0000272	polysaccharide catabolic process	0.0921444574715097
0	3.80494866082432e-7	3	89	GO:0000278	mitotic cell cycle	3.39908747033639e-5
0	8.19158290342704e-5	2	105	GO:0000281;GO:0061640	cytoskeleton-dependent cytokinesis	0.00165329467040852
0	4.52642112573322e-4	3	110	GO:0000302	response to reactive oxygen species	0.00602495406409877
0	0.00118233090866666	3	110	GO:0000723;GO:0032200	telomere organization	0.0124749875402624
0	8.86668291697993e-5	2	137	GO:0000910	cytokinesis	0.00169733644410759
0	9.11521755046886e-4	3	116	GO:0001101;GO:0043200	response to acid chemical	0.0108091960332994
0	0.00218412143743601	2	215	GO:0001501	skeletal system development	0.0203244633761406
0	0.0161998948287948	3	299	GO:0001525	angiogenesis	0.0885153883557468
0	4.82260265168314e-4	3	57	GO:0001539;GO:0060285	cilium or flagellum-dependent cell motility	0.00633557603260334
0	6.4772427547362e-4	3	113	GO:0001568	blood vessel development	0.00811168718817431
0	0.00307417459666601	5	201	GO:0001654;GO:0007423	sensory organ development	0.0258445061689971
0	0.0124951083869631	2	108	GO:0001959;GO:0060759	regulation of response to cytokine stimulus	0.0737596706543196
0	0.0155429452152185	3	66	GO:0001960;GO:0060761	negative regulation of response to cytokine stimulus	0.0864213551385593
0	1.56451115518242e-4	2	58	GO:0002040	sprouting angiogenesis	0.00279525993059259
0	0.00271195485508905	4	76	GO:0002244	hematopoietic progenitor cell differentiation	0.0237120302269077
0	0.0057779292796715	1	1145	GO:0002376	immune system process	0.0405362577736116
0	0.00237024974915473	4	108	GO:0003341	cilium movement	0.0213163400259553
0	0.0111247488490748	2	564	GO:0005975	carbohydrate metabolic process	0.0674532283156572
0	0.00899532972432023	3	78	GO:0006026	aminoglycan catabolic process	0.0571267385335977
0	0.00986023272679081	2	62	GO:0006040;GO:1901071	amino sugar metabolic process	0.0614544737390683
0	0.00800160028412077	2	196	GO:0006260	DNA replication	0.0515487710611627
0	4.26782059204776e-5	2	86	GO:0006275	regulation of DNA replication	9.86013722990345e-4
0	0.0017983146577346	5	498	GO:0006281	DNA repair	0.0175893550464552
0	0.0103111656708962	2	171	GO:0006302	double-strand break repair	0.0639674166620412
0	2.88537203240332e-4	2	199	GO:0006325;GO:0006338	chromatin organization	0.00454870414520053
0	0.00505676439917241	4	1532	GO:0006351;GO:0097659;GO:0032774	RNA biosynthetic process	0.0378551077926873
0	5.41435373463696e-6	5	3103	GO:0006355;GO:1903506;GO:2001141;GO:0010556;GO:0031326;GO:0051252;GO:0009889;GO:0019219	regulation of biosynthetic process	1.9608740552469e-4
0	0.00221737359872457	2	991	GO:0006357	regulation of transcription by RNA polymerase II	0.0204915904985581
0	6.37013652252821e-5	3	2929	GO:0006464;GO:0036211;GO:0044267;GO:0043412	cellular protein metabolic process	0.00135491792701394
0	3.28508516602014e-5	2	552	GO:0006468;GO:0016310	phosphorylation	8.24393148709605e-4
0	0.0110979136304856	5	153	GO:0006470;GO:0016311	dephosphorylation	0.0674532283156572
0	0.0079133740482024	4	1079	GO:0006508	proteolysis	0.0514753457504428
0	0.0127782689694189	3	294	GO:0006518	peptide metabolic process	0.0744473061696579
0	2.50759050405241e-4	3	146	GO:0006575	cellular modified amino acid metabolic process	0.00404839912702437
0	5.37561363278386e-6	3	1306	GO:0006796;GO:0006793	phosphorus metabolic process	1.9608740552469e-4
0	0.00573800949765181	2	431	GO:0006897	endocytosis	0.0404680669834391
0	0.0110979136304856	3	153	GO:0006914;GO:0061919	autophagy	0.0674532283156572
0	4.12932607421737e-11	2	1202	GO:0006928	movement of cell or subcellular component	9.22216156575213e-9
0	9.05457568193092e-10	2	2536	GO:0006950	response to stress	1.10301194670795e-7
0	2.01123482187989e-4	2	799	GO:0006952	defense response	0.00350007098872604
0	8.44996502440314e-4	3	677	GO:0006974	cellular response to DNA damage stimulus	0.010109779582768
0	0.0027782005564362	2	276	GO:0006979	response to oxidative stress	0.0237120302269077
0	4.24096987970783e-16	2	1835	GO:0006996	organelle organization	1.89429987960283e-13
0	0.00471888740411167	3	89	GO:0007009	plasma membrane organization	0.0357249102910149
0	3.11896800203103e-9	2	573	GO:0007010	cytoskeleton organization	3.21493624824737e-7
0	5.74640144178244e-4	3	154	GO:0007015	actin filament organization	0.00738494148354968
0	3.05347732370405e-13	2	507	GO:0007017	microtubule-based process	1.02291490344086e-10
0	7.98149241456774e-10	2	268	GO:0007018	microtubule-based movement	1.10301194670795e-7
0	1.41705785760927e-5	2	714	GO:0007049	cell cycle	4.43604802390931e-4
0	1.32078592698124e-6	2	95	GO:0007051	spindle organization	7.82655812306285e-5
0	6.309990429079e-5	2	74	GO:0007059	chromosome segregation	0.00135491792701394
0	1.19598427035632e-9	3	52	GO:0007062	sister chromatid cohesion	1.33551576856456e-7
0	4.34180341916043e-4	2	126	GO:0007093;GO:0000075	cell cycle checkpoint signaling	0.00602495406409877
0	0.00127821500613192	2	1235	GO:0007155;GO:0022610	biological adhesion	0.0133813133454435
0	0.0124881947056725	4	90	GO:0007160	cell-matrix adhesion	0.0737596706543196
0	3.816102504703e-4	2	1766	GO:0007166	cell surface receptor signaling pathway	0.00555823625685002
0	1.40177160413066e-6	3	617	GO:0007167;GO:0007169	enzyme linked receptor protein signaling pathway	7.82655812306285e-5
0	1.95779726087244e-6	2	111	GO:0007178	transmembrane receptor protein serine/threonine kinase signaling pathway	1.04937933182763e-4
0	5.40359602821949e-6	3	56	GO:0007179	transforming growth factor beta receptor signaling pathway	1.9608740552469e-4
0	0.00563026560117187	2	144	GO:0007219	Notch signaling pathway	0.040130616518991
0	0.00342504497489811	2	103	GO:0007265	Ras protein signal transduction	0.0276479534118281
0	2.9945785388711e-4	3	613	GO:0007346	regulation of mitotic cell cycle	0.004612339358721
0	0.0172981794739206	4	112	GO:0007368;GO:0009855;GO:0009799	specification of symmetry	0.0927182419802144
0	0.0132325256006697	4	146	GO:0007605;GO:0050954	sensory perception of mechanical stimulus	0.0764292426935233
0	0.00205001274501135	3	1473	GO:0008104;GO:0033036	macromolecule localization	0.019482390626349
0	5.03132608668544e-5	2	530	GO:0008283	cell population proliferation	0.00112366282602641
0	0.00440488547685601	2	80	GO:0008360	regulation of cell shape	0.0339226812585463
0	3.33396634310305e-4	2	1475	GO:0009605	response to external stimulus	0.00507672147699783
0	0.00277549519106789	2	181	GO:0009615	response to virus	0.0237120302269077
0	6.69079842815285e-7	2	1759	GO:0009653	anatomical structure morphogenesis	4.71877362827622e-5
0	1.37169129069646e-6	3	560	GO:0009887	animal organ morphogenesis	7.82655812306285e-5
0	3.76392306785503e-5	3	623	GO:0009888	tissue development	9.00653019808168e-4
0	0.0141663198622017	2	2378	GO:0010033;GO:0042221	response to chemical	0.0807781643206395
0	0.00179244069220333	3	447	GO:0010035	response to inorganic substance	0.0175893550464552
0	3.99163685830234e-4	2	101	GO:0010172;GO:0010171	body morphogenesis	0.00575139074207004
0	0.0159824922820214	2	111	GO:0010212	response to ionizing radiation	0.0881339080572374
0	0.0149973013513227	2	92	GO:0010389;GO:1902749	regulation of cell cycle G2/M phase transition	0.0847948683998836
0	4.55831568338676e-7	2	889	GO:0010558;GO:0031327;GO:0009890	negative regulation of biosynthetic process	3.80433599218745e-5
0	9.33710357701232e-6	3	475	GO:0010564	regulation of cell cycle process	3.12792969829913e-4
0	2.648984724081e-5	2	2214	GO:0010604;GO:0031325;GO:0009893;GO:0051173	positive regulation of metabolic process	6.96007751033047e-4
0	3.02376456595073e-6	2	1735	GO:0010605;GO:0031324;GO:0009892;GO:0051172	negative regulation of metabolic process	1.35061483945799e-4
0	4.19388691179449e-4	2	661	GO:0010629	negative regulation of gene expression	0.00591668088356918
0	2.57624227978675e-4	2	189	GO:0010632	regulation of epithelial cell migration	0.00410971982727886
0	4.19466182044084e-4	2	134	GO:0010634	positive regulation of epithelial cell migration	0.00591668088356918
0	0.0054995581919058	2	2788	GO:0010646;GO:0023051;GO:0009966	regulation of signaling	0.039722800909595
0	0.0105953368658394	3	71	GO:0010718;GO:0010717	regulation of epithelial to mesenchymal transition	0.0654274258074875
0	0.0132325256006697	3	146	GO:0010810	regulation of cell-substrate adhesion	0.0764292426935233
0	3.50073291467435e-4	3	100	GO:0010970;GO:0030705	cytoskeleton-dependent intracellular transport	0.00515901814639558
0	0.00717528655913219	2	405	GO:0010975	regulation of neuron projection development	0.0485600201476623
0	0.00563026560117187	2	144	GO:0010976	positive regulation of neuron projection development	0.040130616518991
0	0.0175980688164423	4	698	GO:0014070	response to organic cyclic compound	0.0935770325953678
0	0.00752385100659352	5	68	GO:0014706;GO:0060537	muscle tissue development	0.0501590067106235
0	0.00266384453490814	2	2299	GO:0016070	RNA metabolic process	0.0234838926103744
0	4.98276306587545e-5	3	1289	GO:0016192	vesicle-mediated transport	0.00112366282602641
0	8.38817700408796e-6	3	884	GO:0016477;GO:0048870;GO:0040011	locomotion	2.88209158601997e-4
0	0.00726254151590709	4	138	GO:0016482	cytosolic transport	0.0489035458860075
0	0.00192144567945386	6	232	GO:0016570	histone modification	0.0185232892839437
0	0.00103479778621938	4	196	GO:0017148;GO:0034249	negative regulation of cellular amide metabolic process	0.0116523448196132
0	0.00569126743973268	4	117	GO:0018105;GO:0018209	peptidyl-serine modification	0.0403507850224433
0	0.0172066301435957	2	2777	GO:0018130;GO:0019438;GO:0044271;GO:1901362;GO:0034654;GO:0009059	cellular nitrogen compound biosynthetic process	0.0925979292868202
0	0.0023893779946263	6	556	GO:0018193	peptidyl-amino acid modification	0.0213451100853283
0	0.0137063612004558	2	100	GO:0019827;GO:0098727	stem cell population maintenance	0.078489418840217
