delta.rank	pval	level	nseqs	term	name	p.adj
0	7.81820634410688e-18	2	1845	GO:0003677	DNA binding	6.95038543991102e-15
0	8.26958611073074e-8	2	420	GO:0003682	chromatin binding	2.45055401747988e-5
0	8.81968942687095e-6	5	60	GO:0003684	damaged DNA binding	0.00156814078009766
0	2.11587394591105e-4	2	60	GO:0003714	transcription corepressor activity	0.0188101193791492
0	1.89587683657354e-7	2	150	GO:0004386	helicase activity	4.21358626928469e-5
0	0.00184867176758516	2	150	GO:0008017	microtubule binding	0.0747031455174185
0	8.58498891111022e-4	2	272	GO:0008134	transcription factor binding	0.0449784832983338
0	3.37059746905095e-4	2	106	GO:0008170	N-methyltransferase activity	0.0249705095832191
0	2.55050091016699e-5	2	95	GO:0008276	protein methyltransferase activity	0.00377899218189742
0	3.26150983182063e-4	3	203	GO:0015631	tubulin binding	0.0249705095832191
0	0.00198128724788554	7	164	GO:0016887	ATP hydrolysis activity	0.0765810592769672
0	6.50402936147579e-4	5	68	GO:0016922	nuclear receptor binding	0.0413005864453713
0	0.00138174284885272	7	25	GO:0030331	estrogen receptor binding	0.0630602501635523
0	0.0013053646919369	3	17	GO:0032357;GO:0032356	oxidized DNA binding	0.0630602501635523
0	8.22050281653613e-4	2	31	GO:0032451	demethylase activity	0.0449784832983338
0	8.60105979833155e-4	2	23	GO:0032452;GO:0140457	histone demethylase activity	0.0449784832983338
0	3.95127381630589e-5	2	34	GO:0035064;GO:0140034	methylated histone binding	0.00501811774670848
0	9.15678876701104e-5	4	74	GO:0042054;GO:0018024;GO:0016279;GO:0016278	lysine N-methyltransferase activity	0.010175481517341
0	9.44539195234633e-10	3	108	GO:0042393	histone binding	4.19847672281794e-7
0	5.68427308172671e-4	2	123	GO:0140030	modification-dependent protein binding	0.0388716828435004
0	0.00243881475106051	2	611	GO:0140097	catalytic activity, acting on DNA	0.0903377630705331
0	1.88999086550057e-4	2	909	GO:0140640	catalytic activity, acting on a nucleic acid	0.0186689097714445
0	0.00141867829389319	1	533	GO:0140657	ATP-dependent activity	0.0630602501635523
0	0.00170737200567432	2	11	GO:1905773;GO:0061821;GO:0062037;GO:0000405	telomeric D-loop binding	0.0722787482402129
