"Protein_ID","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Swiss.Prot_Hit","SP_E.value","Swiss.Prot_Description","Trembl_Hit","TB_E.value","Trembl_Description","NCBI_hit","nr_E.value","NCBI_Description","GO_Swiss.Prot","GO_Trembl"
"evm.TU.chromosome_6.2611",137.215549048938,-2.95773468606328,0.334509076874966,-8.84201622776543,9.40065648807041e-19,8.73320987741741e-15,"sp|Q8BW74|HLF_MOUSE",6.03e-14,"Hepatic leukemia factor OS=Mus musculus GN=Hlf PE=2 SV=1","tr|A0A2B4SU47|A0A2B4SU47_STYPI",1.05e-101,"Hepatic leukemia factor OS=Stylophora pistillata GN=HLF PE=4 SV=1","ref|XP_020604151.1|",1.18e-107,"thyrotroph embryonic factor-like [Orbicella faveolata]","GO:0005634; GO:0000977; GO:0043565; GO:0001077; GO:0001228; GO:0045944; GO:0048511; GO:0035914","GO:0003700"
"evm.TU.chromosome_13.489",133.866314901849,1.53254971239596,0.177074231459788,8.65484322457155,4.93589655762222e-18,2.29272395101552e-14,"sp|O14646|CHD1_HUMAN",0,"Chromodomain-helicase-DNA-binding protein 1 OS=Homo sapiens GN=CHD1 PE=1 SV=2","tr|A0A2B4ST78|A0A2B4ST78_STYPI",0,"Chromodomain-helicase-DNA-binding protein 1 OS=Stylophora pistillata GN=Chd1 PE=4 SV=1","ref|XP_020631936.1|",0,"chromodomain-helicase-DNA-binding protein 1-like [Orbicella faveolata]","GO:0005737; GO:0001650; GO:0005634; GO:0005524; GO:0004003; GO:0003677; GO:0035064; GO:0006338; GO:0016569; GO:0043923; GO:0006357; GO:0006351","GO:0005634; GO:0005524; GO:0003677; GO:0004386"
"evm.TU.chromosome_11.236",203.772301505707,-2.52859813829447,0.311245451124479,-8.1241288158881,4.50587022022635e-16,1.39531781153009e-12,"sp|Q9CXI3|MOXD1_MOUSE",3.51e-99,"DBH-like monooxygenase protein 1 OS=Mus musculus GN=Moxd1 PE=1 SV=1","tr|A0A2B4RED0|A0A2B4RED0_STYPI",0,"DBH-like monooxygenase protein 1 OS=Stylophora pistillata GN=Moxd1 PE=4 SV=1","gb|PFX15506.1|",0,"DBH-like monooxygenase protein 1 [Stylophora pistillata]","GO:0005789; GO:0005615; GO:0016021; GO:0016020; GO:0030667; GO:0005507; GO:0004500; GO:0042420; GO:0042421; GO:0006589","GO:0005507; GO:0016715"
"evm.TU.chromosome_14.1023",275.597906056222,-1.46414405306486,0.187272538603995,-7.81825282008339,5.35615348038837e-15,1.2439666458202e-11,"sp|B3EWZ6|MLRP2_ACRMI",0,"MAM and LDL-receptor class A domain-containing protein 2 (Fragment) OS=Acropora millepora PE=1 SV=1","tr|A0A1V0CMH7|A0A1V0CMH7_ACRDI",0,"MAM and LDL-receptor domain-containing protein (Fragment) OS=Acropora digitifera PE=2 SV=1","sp|B3EWZ6.1|",0,"RecName: Full=MAM and LDL-receptor class A domain-containing protein 2; AltName: Full=Skeletal organic matrix MAM and LDL-receptor 2; Short=SOM MAM and LDL-receptor 2","GO:0005576; GO:0016020","GO:0016021"
"evm.TU.chromosome_12.3217",62.328289271053,-1.72270712645457,0.245374024042513,-7.02073959611999,2.2069684670976e-12,3.41712284322278e-09,"sp|P26779|SAP_BOVIN",5.42e-57,"Prosaposin OS=Bos taurus GN=PSAP PE=1 SV=3","tr|A0A2B4RGL4|A0A2B4RGL4_STYPI",0,"Prosaposin OS=Stylophora pistillata GN=PSAP PE=4 SV=1","ref|XP_020606225.1|",0,"prosaposin-like [Orbicella faveolata]","GO:0005737; GO:0005615; GO:0005764; GO:0008047; GO:0001664; GO:0007193; GO:0060742; GO:0060736; GO:0019216; GO:0006665","GO:0005764; GO:0006665"
"evm.TU.chromosome_11.1132_evm.TU.chromosome_11.1133",23.9883933057716,-3.7053232923752,0.539353379352401,-6.86993617584109,6.42306347828849e-12,8.52432281618573e-09,"sp|F1NZI4|PGGHG_CHICK",5.42e-152,"Protein-glucosylgalactosylhydroxylysine glucosidase OS=Gallus gallus GN=PGGHG PE=1 SV=3","tr|A0A2B4R7S8|A0A2B4R7S8_STYPI",0,"Acid trehalase-like protein 1 OS=Stylophora pistillata GN=ATHL1 PE=4 SV=1","ref|XP_020627263.1|",0,"acid trehalase-like protein 1 [Orbicella faveolata]","GO:0005618; GO:0047402; GO:0005975","GO:0003824; GO:0005975"
"evm.TU.chromosome_5.2269",36.702328733009,2.99406903503612,0.460156549481762,6.50663135928003,7.68547001613447e-11,8.92475205623615e-08,"sp|Q6XLQ7|CALU_RABIT",5.19e-67,"Calumenin OS=Oryctolagus cuniculus GN=CALU PE=1 SV=2","tr|A0A2B4SRQ0|A0A2B4SRQ0_STYPI",1.77e-103,"Calumenin OS=Stylophora pistillata GN=Calu PE=4 SV=1","ref|XP_020617257.1|",5.55e-112,"calumenin-like [Orbicella faveolata]","GO:0005789; GO:0005576; GO:0005794; GO:0042470; GO:0033018; GO:0005509","GO:0005509"
"evm.TU.chromosome_9.1070",260.099331395169,-1.44818508851056,0.229819829971596,-6.30139308992415,2.94982218030846e-10,2.74038480550656e-07,"sp|P28798|GRN_MOUSE",1.48e-124,"Granulins OS=Mus musculus GN=Grn PE=1 SV=2","tr|W4Z754|W4Z754_STRPU",0,"Uncharacterized protein OS=Strongylocentrotus purpuratus PE=4 SV=1","gb|PIK47873.1|",0,"putative kielin/chordin-like protein isoform X1 [Apostichopus japonicus]","GO:0005783; GO:0005768; GO:0005615; GO:0005764; GO:0005739; GO:0005125; GO:0001835; GO:0007566; GO:0050679","GO:0016021"
"evm.TU.chromosome_13.490",41.831211423662,1.57734036969964,0.258430395251484,6.10354044525103,1.03744300140288e-09,7.40722020494245e-07,"sp|B6ZLK2|CHD1_CHICK",1.12e-40,"Chromodomain-helicase-DNA-binding protein 1 OS=Gallus gallus GN=CHD1 PE=1 SV=1","tr|A0A2B4ST78|A0A2B4ST78_STYPI",0,"Chromodomain-helicase-DNA-binding protein 1 OS=Stylophora pistillata GN=Chd1 PE=4 SV=1","ref|XP_020631936.1|",0,"chromodomain-helicase-DNA-binding protein 1-like [Orbicella faveolata]","GO:0000775; GO:0005634; GO:0005524; GO:0003677; GO:0004386; GO:0006355; GO:0006351","GO:0005634; GO:0005524; GO:0003677; GO:0004386"
"evm.TU.chromosome_8.1906",94.060883375378,-2.12029183191702,0.348054939372632,-6.09183089238395,1.11626569288691e-09,7.40722020494245e-07,"sp|Q6ZIX2|SMT1_ORYSJ",5e-88,"Cycloartenol-C-24-methyltransferase 1 OS=Oryza sativa subsp. japonica GN=Smt1-1 PE=2 SV=1","tr|A0A1X7ULF8|A0A1X7ULF8_AMPQE",2.82e-101,"Methyltransferase OS=Amphimedon queenslandica PE=3 SV=1","ref|XP_020604180.1|",4.87e-176,"cycloartenol-C-24-methyltransferase 1-like [Orbicella faveolata]","GO:0005737; GO:0008757; GO:0003838; GO:0032259; GO:0016126","GO:0008168; GO:0006694"
"evm.TU.chromosome_13.4162_evm.TU.chromosome_13.4163",28.8892343548929,4.00249814738546,0.675678302401022,5.92367422952993,3.14826836580215e-09,1.72043606578247e-06,NA,NA,NA,NA,NA,NA,"gb|KXJ15791.1|",2.66e-06,"hypothetical protein AC249_AIPGENE8638 [Exaiptasia pallida]",NA,NA
"evm.TU.chromosome_13.1388",15.2999147964479,-2.56141182057454,0.438067278671733,-5.84707405753066,5.00294808433075e-09,2.44617830018067e-06,"sp|P24369|PPIB_MOUSE",3.71e-78,"Peptidyl-prolyl cis-trans isomerase B OS=Mus musculus GN=Ppib PE=1 SV=2","tr|A0A2B4SYR2|A0A2B4SYR2_STYPI",6.52e-114,"Peptidyl-prolyl cis-trans isomerase B OS=Stylophora pistillata GN=Ppib PE=4 SV=1","ref|XP_020625898.1|",6.57e-137,"peptidyl-prolyl cis-trans isomerase B-like [Orbicella faveolata]","GO:0005783; GO:0034663; GO:0005788; GO:0032991; GO:0042470; GO:0005634; GO:0048471; GO:0005790; GO:0003755; GO:0032403; GO:0070063; GO:0060348; GO:0061077; GO:0044829; GO:0044794; GO:0040018; GO:0000413; GO:0050821","GO:0003755; GO:0006457"
"evm.TU.chromosome_2.1058",19.9829525487561,-3.19560561014681,0.556995978163423,-5.73721487304747,9.62461190737268e-09,4.25889108948605e-06,NA,NA,NA,"tr|A0A2B4RPF1|A0A2B4RPF1_STYPI",0,"Uncharacterized protein OS=Stylophora pistillata GN=AWC38_SpisGene16943 PE=4 SV=1","gb|PFX18683.1|",0,"uncharacterized protein LOC111339197 isoform X1 [Stylophora pistillata]",NA,"GO:0005576; GO:0009405"
