"Protein_ID","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Swiss.Prot_Hit","SP_E.value","Swiss.Prot_Description","Trembl_Hit","TB_E.value","Trembl_Description","NCBI_hit","nr_E.value","NCBI_Description","GO_Swiss.Prot","GO_Trembl"
"evm.TU.chromosome_7.236",150.132726356683,-0.972631041198506,0.170643823100912,-5.69977291603067,1.19967123925282e-08,4.21459857142798e-07,NA,NA,NA,"tr|A0A2B4SYJ6|A0A2B4SYJ6_STYPI",0,"Uncharacterized protein OS=Stylophora pistillata GN=AWC38_SpisGene1091 PE=4 SV=1","ref|XP_020614783.1|",0,"trichohyalin-like [Orbicella faveolata]",NA,""
"evm.TU.chromosome_3.281",2.94585498177365,-4.46148070906397,0.831514778011339,-5.36548577011957,8.07316452009995e-08,2.27483513721667e-06,"sp|P35067|H2B_ACRFO",1.83e-71,"Histone H2B OS=Acropora formosa PE=3 SV=1","tr|A0A2B4S7M4|A0A2B4S7M4_STYPI",6.24e-77,"Histone H2B OS=Stylophora pistillata GN=AWC38_SpisGene10873 PE=4 SV=1","ref|XP_020623408.1|",8.53e-78,"histone H2B, gonadal-like [Orbicella faveolata]","GO:0000786; GO:0005634; GO:0003677; GO:0046982","GO:0000786; GO:0005634; GO:0003677; GO:0046982; GO:0006352; GO:0006334"
"evm.TU.chromosome_4.1904",86.0421114950287,-0.864815787868793,0.162176470965245,-5.33256015944586,9.68376719779537e-08,2.65711059736711e-06,NA,NA,NA,"tr|A0A2B4RKP4|A0A2B4RKP4_STYPI",0,"Uncharacterized protein OS=Stylophora pistillata GN=AWC38_SpisGene17471 PE=4 SV=1","ref|XP_020617327.1|",0,"trichohyalin-like [Orbicella faveolata]",NA,""
"evm.TU.chromosome_12.3951",10.9787657620321,-2.59875319169911,0.522148150700858,-4.97704183805096,6.45633704203985e-07,1.429227219673e-05,"sp|B3EWY9|MLP_ACRMI",1.51e-25,"Mucin-like protein (Fragment) OS=Acropora millepora PE=1 SV=1","tr|A0A2B4RU94|A0A2B4RU94_STYPI",6.94e-140,"Cartilage matrix protein OS=Stylophora pistillata GN=MATN1 PE=4 SV=1","gb|PFX22014.1|",1.08e-139,"collagen alpha-5(VI) chain-like [Stylophora pistillata]","GO:0016021; GO:0005509; GO:0007160","GO:0005578; GO:0005201"
"evm.TU.chromosome_1.1751",17.6474644589777,-1.46775913069193,0.304978418481476,-4.81266555843549,1.48930404800909e-06,3.00445077551449e-05,"sp|E9Q5F9|SETD2_MOUSE",4.15e-119,"Histone-lysine N-methyltransferase SETD2 OS=Mus musculus GN=Setd2 PE=1 SV=1","tr|A0A2B4SHP3|A0A2B4SHP3_STYPI",0,"Histone-lysine N-methyltransferase SETD2 OS=Stylophora pistillata GN=Setd2 PE=4 SV=1","ref|XP_022785189.1|",0,"histone-lysine N-methyltransferase SETD2-like [Stylophora pistillata]","GO:0005694; GO:0005634; GO:0043014; GO:0046975; GO:0018024; GO:0046872; GO:0016279; GO:0001525; GO:0035441; GO:0060977; GO:0051607; GO:0048701; GO:0048568; GO:0060669; GO:0035987; GO:0030900; GO:0097676; GO:0010452; GO:0097198; GO:0048332; GO:1902850; GO:0006298; GO:0001763; GO:0001843; GO:0034728; GO:0018026; GO:0018023; GO:0060039; GO:0032727; GO:0032465; GO:0010569; GO:0010468; GO:0010793; GO:1905634; GO:0006355; GO:0034340; GO:0048864; GO:0048863; GO:0006368; GO:0001570","GO:0016021; GO:0005634; GO:0005201; GO:0018024"
"evm.TU.chromosome_10.2383",14.8041742500474,-2.32644030695461,0.48503319962628,-4.79645580703989,1.61497566489512e-06,3.23717025038684e-05,"sp|Q6P9I7|SMC6_XENLA",0,"Structural maintenance of chromosomes protein 6 OS=Xenopus laevis GN=smc6 PE=2 SV=1","tr|A0A2B4SV87|A0A2B4SV87_STYPI",0,"Structural maintenance of chromosomes protein 6 OS=Stylophora pistillata GN=smc6 PE=4 SV=1","ref|XP_020623364.1|",0,"structural maintenance of chromosomes protein 6-like isoform X1 [Orbicella faveolata]","GO:0000781; GO:0016605; GO:0030915; GO:0005524; GO:0090398; GO:0000724; GO:0000722","GO:0030915; GO:0000724"
"evm.TU.chromosome_2.414",6.51610122158403,3.00479779645245,0.627302773130114,4.79002791819191,1.66758109855458e-06,3.31310744964478e-05,"sp|A0JM23|NPHP3_XENTR",1.16e-40,"Nephrocystin-3 OS=Xenopus tropicalis GN=nphp3 PE=2 SV=2","tr|A0A2B4R6D3|A0A2B4R6D3_STYPI",0,"Nephrocystin-3 OS=Stylophora pistillata GN=nphp3 PE=4 SV=1","ref|XP_020626344.1|",0,"uncharacterized protein LOC110063686 [Orbicella faveolata]","GO:0005929; GO:0060271; GO:0090090; GO:2000095; GO:0016055","GO:0005871; GO:0003777"
"evm.TU.chromosome_7.1059",13.4989999678353,2.12938909235987,0.448485427190121,4.74795603884179,2.05482683735754e-06,3.97663467476283e-05,"sp|P13474|ETS1A_CHICK",6.53e-32,"Transforming protein p54/c-ets-1 OS=Gallus gallus GN=ETS1 PE=2 SV=1","tr|A0A2B4SWD7|A0A2B4SWD7_STYPI",1.71e-134,"Tetratricopeptide repeat protein 28 OS=Stylophora pistillata GN=TTC28 PE=4 SV=1","ref|XP_020605427.1|",0,"uncharacterized protein LOC110044246 [Orbicella faveolata]","GO:0005634; GO:0000981; GO:0043565; GO:0030154; GO:0010595; GO:0045765; GO:0006357; GO:0006351","GO:0005525; GO:0003924"
"evm.TU.chromosome_6.2606",13.669410125378,-2.17021119832002,0.466172440198293,-4.65538288234477,3.23379187945507e-06,5.93618287111665e-05,"sp|Q9BQ61|TRIR_HUMAN",2.18e-11,"Telomerase RNA component interacting RNase OS=Homo sapiens GN=TRIR PE=1 SV=1","tr|A0A2B4SWH9|A0A2B4SWH9_STYPI",8.43e-49,"Uncharacterized protein C19orf43-like OS=Stylophora pistillata GN=AWC38_SpisGene1688 PE=4 SV=1","ref|XP_020604125.1|",7.55e-69,"uncharacterized protein C19orf43 homolog [Orbicella faveolata]","GO:0008408; GO:0008409; GO:0003723; GO:0090503; GO:0016075",""
"evm.TU.chromosome_10.3088",5.0041986913153,-2.37693191809797,0.512878846991302,-4.63449005947848,3.57818427098423e-06,6.49995395058998e-05,"sp|O95260|ATE1_HUMAN",3.88e-149,"Arginyl-tRNA--protein transferase 1 OS=Homo sapiens GN=ATE1 PE=1 SV=2","tr|A0A2B4SV46|A0A2B4SV46_STYPI",0,"Arginyl-tRNA--protein transferase 1 OS=Stylophora pistillata GN=ATE1 PE=4 SV=1","ref|XP_022795585.1|",0,"arginyl-tRNA--protein transferase 1-like isoform X2 [Stylophora pistillata]","GO:0005737; GO:0005634; GO:0004057; GO:0010498; GO:0016598","GO:0004057"
"evm.TU.chromosome_13.577",22.9207335086666,-1.32686799263176,0.288886332052469,-4.59304524102846,4.36824315673085e-06,7.72067301181202e-05,NA,NA,NA,"tr|A0A2B4SRW5|A0A2B4SRW5_STYPI",0,"Uncharacterized protein OS=Stylophora pistillata GN=AWC38_SpisGene3399 PE=4 SV=1","ref|XP_020631916.1|",0,"uncharacterized protein LOC110068844 [Orbicella faveolata]",NA,"GO:0016021"
"evm.TU.chromosome_14.1243",8.34080748220659,-1.99392121514156,0.436721188802188,-4.56566172255202,4.97921154698554e-06,8.66393849555855e-05,NA,NA,NA,"tr|A0A2B4RDN1|A0A2B4RDN1_STYPI",5.03e-90,"Uncharacterized protein OS=Stylophora pistillata GN=AWC38_SpisGene21381 PE=4 SV=1","ref|XP_020602192.1|",6.87e-135,"uncharacterized protein LOC110041250 [Orbicella faveolata]",NA,""
"evm.TU.chromosome_13.2994",6.36360963978288,1.82773268663619,0.401476710722756,4.55252481108014,5.30059073646602e-06,9.13202761897192e-05,"sp|Q64380|SARDH_RAT",0,"Sarcosine dehydrogenase, mitochondrial OS=Rattus norvegicus GN=Sardh PE=1 SV=2","tr|A0A2B4SCC0|A0A2B4SCC0_STYPI",0,"Sarcosine dehydrogenase, mitochondrial OS=Stylophora pistillata GN=Sardh PE=4 SV=1","ref|XP_020603973.1|",0,"sarcosine dehydrogenase, mitochondrial-like [Orbicella faveolata]","GO:0005759; GO:0005739; GO:0050660; GO:0005542; GO:0016491; GO:0008480; GO:0042426; GO:0006545; GO:1901053; GO:0035999","GO:0016491"
"evm.TU.chromosome_1.1498",15.3049784039454,-1.56016933393917,0.342868901712391,-4.5503378292613,5.35598533178738e-06,9.20724970234425e-05,"sp|Q15542|TAF5_HUMAN",0,"Transcription initiation factor TFIID subunit 5 OS=Homo sapiens GN=TAF5 PE=1 SV=3","tr|A7ST98|A7ST98_NEMVE",0,"Predicted protein (Fragment) OS=Nematostella vectensis GN=v1g130839 PE=4 SV=1","ref|XP_022807092.1|",0,"transcription initiation factor TFIID subunit 5-like [Stylophora pistillata]","GO:0015629; GO:0000790; GO:0005654; GO:0005634; GO:0005669; GO:0033276; GO:0003700; GO:0042802; GO:0046983; GO:0044212; GO:0006325; GO:0006352; GO:0016573; GO:1901796; GO:0042795; GO:0006368; GO:0006366; GO:0006367; GO:0016032",""
"evm.TU.chromosome_8.2349",9.23411175755884,2.99659496400916,0.661018150698552,4.53330208987818,5.80686735777049e-06,9.84220120736586e-05,NA,NA,NA,"tr|A0A2B4T1K3|A0A2B4T1K3_STYPI",1.37e-46,"Uncharacterized protein OS=Stylophora pistillata GN=AWC38_SpisGene686 PE=4 SV=1","ref|XP_020630102.1|",6.46e-85,"uncharacterized protein LOC110067149 [Orbicella faveolata]",NA,""
"evm.TU.chromosome_10.921",7.54492010531999,-1.72579555568673,0.381526882952505,-4.5233917524537,6.08564500614299e-06,0.000102373202970433,"sp|O15013|ARHGA_HUMAN",2.95e-74,"Rho guanine nucleotide exchange factor 10 OS=Homo sapiens GN=ARHGEF10 PE=1 SV=4","tr|A0A2B4S646|A0A2B4S646_STYPI",0,"Rho guanine nucleotide exchange factor 10 OS=Stylophora pistillata GN=Arhgef10 PE=4 SV=1","ref|XP_020608096.1|",0,"rho guanine nucleotide exchange factor 10-like [Orbicella faveolata]","GO:0005813; GO:0005829; GO:0019894; GO:0005089; GO:0090630; GO:0051298; GO:0090307; GO:0022011; GO:0051496; GO:0035023","GO:0005089; GO:0035023"
"evm.TU.chromosome_4.129",3.87215103876335,-3.44081970360751,0.772322228366469,-4.45516078293532,8.38303458432753e-06,0.000134531419019449,NA,NA,NA,"tr|A0A2B4RRC1|A0A2B4RRC1_STYPI",1.84e-158,"Uncharacterized protein OS=Stylophora pistillata GN=AWC38_SpisGene16240 PE=4 SV=1","ref|XP_020618756.1|",0,"uncharacterized protein LOC110056584 [Orbicella faveolata]",NA,""
