"Protein_ID","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Swiss.Prot_Hit","SP_E.value","Swiss.Prot_Description","Trembl_Hit","TB_E.value","Trembl_Description","NCBI_hit","nr_E.value","NCBI_Description","GO_Swiss.Prot","GO_Trembl"
"evm.TU.chromosome_2.502",232.977209277315,-5.00627740121548,0.308675870830426,-16.2185576337637,3.72848112934489e-59,5.85185113250681e-55,NA,NA,NA,NA,NA,NA,"ref|XP_020606745.1|",9.99e-41,"uncharacterized protein LOC110045478 [Orbicella faveolata]",NA,NA
"evm.TU.chromosome_12.2419",165.079745782529,-4.35408919789744,0.329545515523924,-13.2124061557177,7.44073235513006e-40,5.83911471568831e-36,NA,NA,NA,"tr|A0A2B4SCY1|A0A2B4SCY1_STYPI",0,"Uncharacterized protein OS=Stylophora pistillata GN=AWC38_SpisGene9031 PE=4 SV=1","gb|PFX26305.1|",0,"hypothetical protein AWC38_SpisGene9031 [Stylophora pistillata]",NA,""
"evm.TU.chromosome_5.1573",81.2691865060815,2.43073909870187,0.18650772573705,13.0329137256699,7.9512259564106e-39,4.15981637952881e-35,"sp|Q80YE4|LMTK1_MOUSE",3.63e-57,"Serine/threonine-protein kinase LMTK1 OS=Mus musculus GN=Aatk PE=1 SV=1","tr|A0A2B4RSH6|A0A2B4RSH6_STYPI",0,"Serine/threonine-protein kinase LMTK1 OS=Stylophora pistillata GN=AATK PE=4 SV=1","ref|XP_020609330.1|",0,"NT-3 growth factor receptor-like [Orbicella faveolata]","GO:0044295; GO:0030425; GO:0005783; GO:0016021; GO:0048471; GO:0055037; GO:0005524; GO:0004674; GO:0004713; GO:0006915; GO:0007420; GO:0030517; GO:0051402; GO:0038083; GO:0046777; GO:0032482","GO:0016021; GO:0005524; GO:0004672"
"evm.TU.chromosome_9.2848",143.205518847712,3.95277885341308,0.306778273507316,12.8848070243762,5.4812433903014e-38,2.15070287526951e-34,"sp|P55012|S12A2_MOUSE",0,"Solute carrier family 12 member 2 OS=Mus musculus GN=Slc12a2 PE=1 SV=2","tr|A0A2B4RSA8|A0A2B4RSA8_STYPI",0,"Solute carrier family 12 member 2 OS=Stylophora pistillata GN=Slc12a2 PE=4 SV=1","ref|XP_020625110.1|",0,"solute carrier family 12 member 2-like [Orbicella faveolata]","GO:0016324; GO:0016323; GO:0016021; GO:0008519; GO:0005524; GO:0042626; GO:0015377; GO:0019901; GO:0015696; GO:0060444; GO:0050910; GO:0060763; GO:0035264; GO:0006813; GO:0006814; GO:0070634; GO:0030321","GO:0016021; GO:0015377"
"evm.TU.chromosome_7.1702",121.176116725566,-2.62933815423808,0.207559714018248,-12.6678636395062,8.91082509699209e-37,2.79710799794582e-33,"sp|P50532|SMC4_XENLA",0,"Structural maintenance of chromosomes protein 4 OS=Xenopus laevis GN=smc4 PE=1 SV=1","tr|A0A2B4S927|A0A2B4S927_STYPI",0,"Structural maintenance of chromosomes protein 4 OS=Stylophora pistillata GN=smc4 PE=4 SV=1","ref|XP_020611077.1|",0,"structural maintenance of chromosomes protein 4-like [Orbicella faveolata]","GO:0005694; GO:0005829; GO:0005634; GO:0005524; GO:0046982; GO:0051301; GO:0007076","GO:0005694; GO:0005634; GO:0005524; GO:0051276"
"evm.TU.chromosome_13.1603",114.927947615064,2.45466662190509,0.197599602997749,12.4224268908731,1.97478613317207e-35,5.16571139335593e-32,"sp|P23049|SEA_AVIET",1.41e-61,"Tyrosine-protein kinase transforming protein SEA OS=Avian erythroblastosis virus (strain S13) GN=V-SEA PE=3 SV=2","tr|A0A2B4S2L3|A0A2B4S2L3_STYPI",0,"Tyrosine-protein kinase transforming protein SEA OS=Stylophora pistillata GN=V-SEA PE=4 SV=1","ref|XP_020629538.1|",0,"tyrosine-protein kinase RYK-like [Orbicella faveolata]","GO:0005524; GO:0004715","GO:0016021; GO:0005524; GO:0004672"
"evm.TU.chromosome_4.1224",128.539778982064,2.03902726409337,0.165602547702969,12.3127771424788,7.73161823414658e-35,1.73353925978472e-31,NA,NA,NA,"tr|A0A2B4RX10|A0A2B4RX10_STYPI",0,"Metal-response element-binding transcription factor 2 OS=Stylophora pistillata GN=MTF2 PE=4 SV=1","ref|XP_020616260.1|",0,"uncharacterized protein LOC110054242 isoform X4 [Orbicella faveolata]",NA,"GO:0046872"
"evm.TU.chromosome_14.5320",47.6465196789632,4.29465138413442,0.352333607457795,12.1891619000577,3.55054031338946e-34,6.96571627733096e-31,NA,NA,NA,"tr|A0A2B4R970|A0A2B4R970_STYPI",1.03e-179,"Uncharacterized protein OS=Stylophora pistillata GN=AWC38_SpisGene22566 PE=4 SV=1","gb|PFX13353.1|",1.6e-179,"uncharacterized protein LOC111346153 [Stylophora pistillata]",NA,"GO:0016021"
"evm.TU.chromosome_6.1242",312.406797205721,2.80728176664515,0.232563735156705,12.0710211536358,1.5025808803789e-33,2.62033410194965e-30,"sp|P08183|MDR1_HUMAN",0,"Multidrug resistance protein 1 OS=Homo sapiens GN=ABCB1 PE=1 SV=3","tr|A0A2B4SKX2|A0A2B4SKX2_STYPI",0,"Multidrug resistance protein 1 OS=Stylophora pistillata GN=ABCB1 PE=4 SV=1","gb|PFX30016.1|",0,"multidrug resistance protein 1-like [Stylophora pistillata]","GO:0016324; GO:0009986; GO:0070062; GO:0016021; GO:0016020; GO:0005886; GO:0005524; GO:0042626; GO:0099038; GO:0090554; GO:0090555; GO:0005215; GO:0008559; GO:0099040; GO:0000086; GO:0045332; GO:1901529; GO:2001225; GO:0047484; GO:0042493; GO:0072089; GO:0055085; GO:0006810","GO:0016021; GO:0005524; GO:0042626"
"evm.TU.chromosome_1.592",108.240973529039,2.27253376951298,0.191741221049141,11.8520877100837,2.09895510244519e-32,3.29431003328772e-29,"sp|Q3ZBV1|IST1_BOVIN",2.25e-93,"IST1 homolog OS=Bos taurus GN=IST1 PE=2 SV=1","tr|A0A2B4RQ55|A0A2B4RQ55_STYPI",0,"IST1-like OS=Stylophora pistillata GN=IST1 PE=4 SV=1","gb|PFX18448.1|",0,"IST1-like [Stylophora pistillata]","GO:0031410; GO:0005815; GO:0030496; GO:0005635; GO:0007049; GO:0051301; GO:0015031","GO:0015031"
